[792, 612]
[website-link, [235.0, 19.0, 141.0, 18.0], TDzaJjdjl6, 5749875]
[folio, [488.0, 61.0, 71.0, 18.0], -SBXpwja_q, 5749875]
[paragraph, [188.0, 105.0, 366.0, 18.0], shoonya_2sUI3PF8QA52ML, 5749875]
[paragraph, [188.0, 123.0, 366.0, 18.0], shoonya_2sUI3PF8QA52ML, 5749875]
[paragraph, [189.0, 197.0, 365.0, 18.0], shoonya_0sAAAIVDPX0EK2, 5749875]
[paragraph, [189.0, 215.0, 365.0, 18.0], shoonya_0sAAAIVDPX0EK2, 5749875]
[paragraph, [189.0, 233.0, 365.0, 18.0], shoonya_0sAAAIVDPX0EK2, 5749875]
[paragraph, [189.0, 251.0, 365.0, 18.0], shoonya_0sAAAIVDPX0EK2, 5749875]
[paragraph, [189.0, 269.0, 365.0, 18.0], shoonya_0sAAAIVDPX0EK2, 5749875]
[paragraph, [189.0, 287.0, 365.0, 18.0], shoonya_0sAAAIVDPX0EK2, 5749875]
[paragraph, [189.0, 305.0, 365.0, 18.0], shoonya_0sAAAIVDPX0EK2, 5749875]
[paragraph, [189.0, 323.0, 365.0, 18.0], shoonya_0sAAAIVDPX0EK2, 5749875]
[paragraph, [189.0, 341.0, 365.0, 18.0], shoonya_0sAAAIVDPX0EK2, 5749875]
[paragraph, [189.0, 359.0, 365.0, 18.0], shoonya_0sAAAIVDPX0EK2, 5749875]
[paragraph, [188.0, 379.0, 365.0, 18.0], shoonya_1s41T1XCDGTM1F, 5749875]
[paragraph, [188.0, 397.0, 365.0, 18.0], shoonya_1s41T1XCDGTM1F, 5749875]
[paragraph, [188.0, 415.0, 365.0, 18.0], shoonya_1s41T1XCDGTM1F, 5749875]
[paragraph, [188.0, 433.0, 365.0, 18.0], shoonya_1s41T1XCDGTM1F, 5749875]
[paragraph, [188.0, 451.0, 365.0, 18.0], shoonya_1s41T1XCDGTM1F, 5749875]
[paragraph, [188.0, 469.0, 365.0, 18.0], shoonya_1s41T1XCDGTM1F, 5749875]
[paragraph, [188.0, 487.0, 365.0, 18.0], shoonya_1s41T1XCDGTM1F, 5749875]
[paragraph, [188.0, 505.0, 365.0, 18.0], shoonya_1s41T1XCDGTM1F, 5749875]
[paragraph, [188.0, 523.0, 365.0, 18.0], shoonya_1s41T1XCDGTM1F, 5749875]
[paragraph, [188.0, 541.0, 365.0, 18.0], shoonya_1s41T1XCDGTM1F, 5749875]
[paragraph, [188.0, 559.0, 365.0, 18.0], shoonya_1s41T1XCDGTM1F, 5749875]
[paragraph, [188.0, 577.0, 365.0, 18.0], shoonya_1s41T1XCDGTM1F, 5749875]
[paragraph, [188.0, 595.0, 365.0, 18.0], shoonya_1s41T1XCDGTM1F, 5749875]
[paragraph, [188.0, 613.0, 365.0, 18.0], shoonya_1s41T1XCDGTM1F, 5749875]
[paragraph, [188.0, 631.0, 365.0, 18.0], shoonya_1s41T1XCDGTM1F, 5749875]
[paragraph, [188.0, 649.0, 365.0, 18.0], shoonya_1s41T1XCDGTM1F, 5749875]
[paragraph, [186.0, 678.0, 373.0, 18.0], hkNOo-nviY, 5749875]
[paragraph, [186.0, 696.0, 373.0, 18.0], hkNOo-nviY, 5749875]
[website-link, [233.0, 746.0, 149.0, 18.0], p-qwNx3tHV, 5749875]
