[842, 596]
[website-link, [400.0, 28.0, 138.0, 18.0], CTpAPAmDWV, 6464081]
[folio, [59.0, 30.0, 81.0, 18.0], cIyaZvq4e1, 6464081]
[paragraph, [135.0, 66.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 84.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 102.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 120.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 138.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 156.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 174.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 192.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 210.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 228.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 246.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 264.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 282.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 300.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 318.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 336.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 354.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 372.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 390.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 408.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 426.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 444.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 462.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 480.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 498.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 516.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 534.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 552.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 570.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 588.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 606.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 624.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 642.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 660.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 678.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 696.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 714.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
[paragraph, [135.0, 732.0, 282.0, 18.0], shoonya_1sFZVFN198R1RG, 6464081]
