[1152, 739]
[paragraph, [94.0, 173.0, 554.0, 18.0], lsEVYIykcl, 5740531]
[paragraph, [94.0, 191.0, 554.0, 18.0], lsEVYIykcl, 5740531]
[paragraph, [94.0, 209.0, 554.0, 18.0], lsEVYIykcl, 5740531]
[paragraph, [94.0, 227.0, 554.0, 18.0], lsEVYIykcl, 5740531]
[paragraph, [94.0, 245.0, 554.0, 18.0], lsEVYIykcl, 5740531]
[paragraph, [94.0, 263.0, 554.0, 18.0], lsEVYIykcl, 5740531]
[paragraph, [94.0, 281.0, 554.0, 18.0], lsEVYIykcl, 5740531]
[paragraph, [94.0, 299.0, 554.0, 18.0], lsEVYIykcl, 5740531]
[paragraph, [94.0, 317.0, 554.0, 18.0], lsEVYIykcl, 5740531]
[paragraph, [154.0, 349.0, 168.0, 18.0], WuBX2VsY7V, 5740531]
[paragraph, [89.0, 379.0, 560.0, 18.0], OdoR_GrGLt, 5740531]
[paragraph, [89.0, 397.0, 560.0, 18.0], OdoR_GrGLt, 5740531]
[paragraph, [89.0, 415.0, 560.0, 18.0], OdoR_GrGLt, 5740531]
[paragraph, [89.0, 433.0, 560.0, 18.0], OdoR_GrGLt, 5740531]
[paragraph, [89.0, 451.0, 560.0, 18.0], OdoR_GrGLt, 5740531]
[paragraph, [89.0, 469.0, 560.0, 18.0], OdoR_GrGLt, 5740531]
[paragraph, [89.0, 487.0, 560.0, 18.0], OdoR_GrGLt, 5740531]
[paragraph, [153.0, 520.0, 178.0, 18.0], CxmiIR627c, 5740531]
[paragraph, [89.0, 559.0, 556.0, 18.0], NRYYPTdwCW, 5740531]
[paragraph, [89.0, 577.0, 556.0, 18.0], NRYYPTdwCW, 5740531]
[paragraph, [89.0, 595.0, 556.0, 18.0], NRYYPTdwCW, 5740531]
[paragraph, [89.0, 613.0, 556.0, 18.0], NRYYPTdwCW, 5740531]
[paragraph, [89.0, 631.0, 556.0, 18.0], NRYYPTdwCW, 5740531]
[paragraph, [89.0, 649.0, 556.0, 18.0], NRYYPTdwCW, 5740531]
[paragraph, [89.0, 667.0, 556.0, 18.0], NRYYPTdwCW, 5740531]
[paragraph, [91.0, 701.0, 557.0, 18.0], CjUtuFQkYV, 5740531]
[paragraph, [91.0, 719.0, 557.0, 18.0], CjUtuFQkYV, 5740531]
[paragraph, [91.0, 737.0, 557.0, 18.0], CjUtuFQkYV, 5740531]
[paragraph, [90.0, 772.0, 549.0, 18.0], tH1soyNLuN, 5740531]
[paragraph, [90.0, 790.0, 549.0, 18.0], tH1soyNLuN, 5740531]
[paragraph, [90.0, 808.0, 549.0, 18.0], tH1soyNLuN, 5740531]
[paragraph, [90.0, 846.0, 556.0, 18.0], eLDn4IAXbZ, 5740531]
[paragraph, [90.0, 864.0, 556.0, 18.0], eLDn4IAXbZ, 5740531]
[paragraph, [90.0, 882.0, 556.0, 18.0], eLDn4IAXbZ, 5740531]
[paragraph, [90.0, 900.0, 556.0, 18.0], eLDn4IAXbZ, 5740531]
[paragraph, [90.0, 918.0, 556.0, 18.0], eLDn4IAXbZ, 5740531]
[paragraph, [93.0, 955.0, 557.0, 18.0], x02GHZYNdB, 5740531]
[paragraph, [93.0, 973.0, 557.0, 18.0], x02GHZYNdB, 5740531]
[paragraph, [93.0, 991.0, 557.0, 18.0], x02GHZYNdB, 5740531]
[paragraph, [93.0, 1009.0, 557.0, 18.0], x02GHZYNdB, 5740531]
[footnote, [426.0, 1113.0, 263.0, 18.0], 7IaW-6gbeR, 5740531]
