[2339, 1653]
[paragraph, [326.0, 164.0, 1134.0, 36.0], shoonya_3sW434ZYE9CU41, 5734598]
[paragraph, [326.0, 200.0, 1134.0, 36.0], shoonya_3sW434ZYE9CU41, 5734598]
[paragraph, [326.0, 236.0, 1134.0, 36.0], shoonya_3sW434ZYE9CU41, 5734598]
[paragraph, [326.0, 272.0, 1134.0, 36.0], shoonya_3sW434ZYE9CU41, 5734598]
[paragraph, [326.0, 308.0, 1134.0, 36.0], shoonya_3sW434ZYE9CU41, 5734598]
[paragraph, [325.0, 386.0, 1137.0, 36.0], shoonya_2sSZA070CP5XCT, 5734598]
[paragraph, [325.0, 422.0, 1137.0, 36.0], shoonya_2sSZA070CP5XCT, 5734598]
[paragraph, [325.0, 458.0, 1137.0, 36.0], shoonya_2sSZA070CP5XCT, 5734598]
[paragraph, [325.0, 494.0, 1137.0, 36.0], shoonya_2sSZA070CP5XCT, 5734598]
[paragraph, [325.0, 530.0, 1137.0, 36.0], shoonya_2sSZA070CP5XCT, 5734598]
[paragraph, [325.0, 566.0, 1137.0, 36.0], shoonya_2sSZA070CP5XCT, 5734598]
[paragraph, [325.0, 602.0, 1137.0, 36.0], shoonya_2sSZA070CP5XCT, 5734598]
[paragraph, [325.0, 638.0, 1137.0, 36.0], shoonya_2sSZA070CP5XCT, 5734598]
[paragraph, [325.0, 674.0, 1137.0, 36.0], shoonya_2sSZA070CP5XCT, 5734598]
[paragraph, [325.0, 710.0, 1137.0, 36.0], shoonya_2sSZA070CP5XCT, 5734598]
[paragraph, [325.0, 746.0, 1137.0, 36.0], shoonya_2sSZA070CP5XCT, 5734598]
[paragraph, [325.0, 782.0, 1137.0, 36.0], shoonya_2sSZA070CP5XCT, 5734598]
[paragraph, [325.0, 818.0, 1137.0, 36.0], shoonya_2sSZA070CP5XCT, 5734598]
[paragraph, [326.0, 887.0, 1133.0, 36.0], shoonya_0sIQT19JTFV17F, 5734598]
[paragraph, [326.0, 923.0, 1133.0, 36.0], shoonya_0sIQT19JTFV17F, 5734598]
[paragraph, [326.0, 959.0, 1133.0, 36.0], shoonya_0sIQT19JTFV17F, 5734598]
[paragraph, [326.0, 995.0, 1133.0, 36.0], shoonya_0sIQT19JTFV17F, 5734598]
[paragraph, [326.0, 1031.0, 1133.0, 36.0], shoonya_0sIQT19JTFV17F, 5734598]
[paragraph, [326.0, 1067.0, 1133.0, 36.0], shoonya_0sIQT19JTFV17F, 5734598]
[paragraph, [326.0, 1103.0, 1133.0, 36.0], shoonya_0sIQT19JTFV17F, 5734598]
[paragraph, [326.0, 1139.0, 1133.0, 36.0], shoonya_0sIQT19JTFV17F, 5734598]
[paragraph, [326.0, 1175.0, 1133.0, 36.0], shoonya_0sIQT19JTFV17F, 5734598]
[paragraph, [326.0, 1211.0, 1133.0, 36.0], shoonya_0sIQT19JTFV17F, 5734598]
[paragraph, [326.0, 1247.0, 1133.0, 36.0], shoonya_0sIQT19JTFV17F, 5734598]
[paragraph, [326.0, 1283.0, 1133.0, 36.0], shoonya_0sIQT19JTFV17F, 5734598]
[paragraph, [326.0, 1319.0, 1133.0, 36.0], shoonya_0sIQT19JTFV17F, 5734598]
[paragraph, [326.0, 1355.0, 1133.0, 36.0], shoonya_0sIQT19JTFV17F, 5734598]
[paragraph, [326.0, 1391.0, 1133.0, 36.0], shoonya_0sIQT19JTFV17F, 5734598]
[paragraph, [326.0, 1427.0, 1133.0, 36.0], shoonya_0sIQT19JTFV17F, 5734598]
[paragraph, [326.0, 1463.0, 1133.0, 36.0], shoonya_0sIQT19JTFV17F, 5734598]
[paragraph, [326.0, 1499.0, 1133.0, 36.0], shoonya_0sIQT19JTFV17F, 5734598]
[paragraph, [326.0, 1535.0, 1133.0, 36.0], shoonya_0sIQT19JTFV17F, 5734598]
[paragraph, [326.0, 1571.0, 1133.0, 36.0], shoonya_0sIQT19JTFV17F, 5734598]
[paragraph, [326.0, 1607.0, 1133.0, 36.0], shoonya_0sIQT19JTFV17F, 5734598]
[paragraph, [326.0, 1668.0, 1134.0, 36.0], shoonya_1sIZNGGU1EKIP9, 5734598]
[paragraph, [326.0, 1704.0, 1134.0, 36.0], shoonya_1sIZNGGU1EKIP9, 5734598]
[paragraph, [326.0, 1740.0, 1134.0, 36.0], shoonya_1sIZNGGU1EKIP9, 5734598]
[paragraph, [326.0, 1776.0, 1134.0, 36.0], shoonya_1sIZNGGU1EKIP9, 5734598]
[paragraph, [326.0, 1812.0, 1134.0, 36.0], shoonya_1sIZNGGU1EKIP9, 5734598]
[paragraph, [326.0, 1848.0, 1134.0, 36.0], shoonya_1sIZNGGU1EKIP9, 5734598]
[paragraph, [326.0, 1884.0, 1134.0, 36.0], shoonya_1sIZNGGU1EKIP9, 5734598]
[paragraph, [326.0, 1920.0, 1134.0, 36.0], shoonya_1sIZNGGU1EKIP9, 5734598]
[paragraph, [326.0, 1956.0, 1134.0, 36.0], shoonya_1sIZNGGU1EKIP9, 5734598]
[paragraph, [326.0, 1992.0, 1134.0, 36.0], shoonya_1sIZNGGU1EKIP9, 5734598]
[paragraph, [326.0, 2028.0, 1134.0, 36.0], shoonya_1sIZNGGU1EKIP9, 5734598]
[paragraph, [326.0, 2064.0, 1134.0, 36.0], shoonya_1sIZNGGU1EKIP9, 5734598]
[folio, [821.0, 2159.0, 564.0, 36.0], dMLUutCN4K, 5734598]
