[3508, 2481]
[contact-info, [522.0, 303.0, 1426.0, 52.5], XFqQDfUebu, 6534541]
[contact-info, [522.0, 355.5, 1426.0, 52.5], XFqQDfUebu, 6534541]
[paragraph, [572.0, 452.0, 1352.0, 52.5], -NPybkBG88, 6534541]
[paragraph, [572.0, 504.5, 1352.0, 52.5], -NPybkBG88, 6534541]
[paragraph, [941.0, 704.0, 585.0, 52.5], YkCWx0pPvS, 6534541]
[section-title, [854.0, 807.0, 753.0, 93.0], 0ULvslPPA3, 6534541]
[paragraph, [222.0, 1317.0, 306.0, 52.5], LpMu-dmBqu, 6534541]
[paragraph, [219.0, 1426.0, 2030.0, 52.5], zUIzmQew93, 6534541]
[paragraph, [219.0, 1478.5, 2030.0, 52.5], zUIzmQew93, 6534541]
[paragraph, [219.0, 1531.0, 2030.0, 52.5], zUIzmQew93, 6534541]
[paragraph, [219.0, 1583.5, 2030.0, 52.5], zUIzmQew93, 6534541]
[paragraph, [219.0, 1636.0, 2030.0, 52.5], zUIzmQew93, 6534541]
[paragraph, [219.0, 1688.5, 2030.0, 52.5], zUIzmQew93, 6534541]
[paragraph, [215.0, 1786.0, 2042.0, 52.5], w27-LPxqfZ, 6534541]
[paragraph, [215.0, 1838.5, 2042.0, 52.5], w27-LPxqfZ, 6534541]
[paragraph, [215.0, 1891.0, 2042.0, 52.5], w27-LPxqfZ, 6534541]
[paragraph, [215.0, 1943.5, 2042.0, 52.5], w27-LPxqfZ, 6534541]
[paragraph, [215.0, 1996.0, 2042.0, 52.5], w27-LPxqfZ, 6534541]
[paragraph, [215.0, 2048.5, 2042.0, 52.5], w27-LPxqfZ, 6534541]
[paragraph, [215.0, 2101.0, 2042.0, 52.5], w27-LPxqfZ, 6534541]
[paragraph, [215.0, 2153.5, 2042.0, 52.5], w27-LPxqfZ, 6534541]
[paragraph, [215.0, 2206.0, 2042.0, 52.5], w27-LPxqfZ, 6534541]
[paragraph, [215.0, 2258.5, 2042.0, 52.5], w27-LPxqfZ, 6534541]
[section-title, [225.0, 2494.0, 588.0, 93.0], RRyqu0mKkS, 6534541]
[sub-section-title, [231.0, 2644.0, 466.0, 73.5], 3af7Z_OAdp, 6534541]
[paragraph, [215.0, 2750.0, 2052.0, 52.5], GT9wXVXtE1, 6534541]
[paragraph, [215.0, 2802.5, 2052.0, 52.5], GT9wXVXtE1, 6534541]
[sub-section-title, [215.0, 2966.0, 366.0, 73.5], B4dWl3lPBX, 6534541]
[paragraph, [228.0, 3069.0, 566.0, 52.5], wsiWfYnJli, 6534541]
[sub-section-title, [225.0, 3220.0, 425.0, 73.5], _Q7UyHrnJ3, 6534541]
[paragraph, [222.0, 3332.0, 272.0, 52.5], XTZIzREn5H, 6534541]
