[2481, 1654]
[folio, [337.0, 99.0, 150.0, 36.0], SALiG4z3Up, 5721591]
[paragraph, [217.0, 217.0, 1275.0, 36.0], MLTId8q2jL, 5721591]
[paragraph, [217.0, 253.0, 1275.0, 36.0], MLTId8q2jL, 5721591]
[paragraph, [217.0, 289.0, 1275.0, 36.0], MLTId8q2jL, 5721591]
[paragraph, [283.0, 326.0, 589.0, 36.0], lObeGJ0Shw, 5721591]
[paragraph, [225.0, 380.0, 1267.0, 36.0], rqerCKbUJN, 5721591]
[paragraph, [225.0, 416.0, 1267.0, 36.0], rqerCKbUJN, 5721591]
[paragraph, [281.0, 487.0, 1192.0, 36.0], -ZeoB_m6ar, 5721591]
[paragraph, [221.0, 539.0, 1273.0, 36.0], EDTmwQU0Y3, 5721591]
[paragraph, [221.0, 575.0, 1273.0, 36.0], EDTmwQU0Y3, 5721591]
[paragraph, [221.0, 611.0, 1273.0, 36.0], EDTmwQU0Y3, 5721591]
[paragraph, [221.0, 647.0, 1273.0, 36.0], EDTmwQU0Y3, 5721591]
[paragraph, [221.0, 700.0, 1275.0, 36.0], SeOAvh9k2N, 5721591]
[paragraph, [221.0, 736.0, 1275.0, 36.0], SeOAvh9k2N, 5721591]
[paragraph, [283.0, 808.0, 946.0, 36.0], nPsuyvH4_a, 5721591]
[section-title, [401.0, 942.0, 541.0, 52.5], pAMzAhIa1F, 5721591]
[paragraph, [221.0, 1058.0, 1265.0, 36.0], Ib71H2zvT4, 5721591]
[paragraph, [283.0, 1116.0, 556.0, 36.0], Ke9MtLh4gO, 5721591]
[paragraph, [219.0, 1168.0, 1273.0, 36.0], yTIANn3q1P, 5721591]
[paragraph, [219.0, 1204.0, 1273.0, 36.0], yTIANn3q1P, 5721591]
[paragraph, [219.0, 1240.0, 1273.0, 36.0], yTIANn3q1P, 5721591]
[paragraph, [219.0, 1276.0, 1273.0, 36.0], yTIANn3q1P, 5721591]
[paragraph, [221.0, 1327.0, 1271.0, 36.0], k4opSgKc7s, 5721591]
[paragraph, [221.0, 1363.0, 1271.0, 36.0], k4opSgKc7s, 5721591]
[paragraph, [221.0, 1399.0, 1271.0, 36.0], k4opSgKc7s, 5721591]
[paragraph, [221.0, 1435.0, 1271.0, 36.0], k4opSgKc7s, 5721591]
[paragraph, [225.0, 1490.0, 1265.0, 36.0], gPv5ice84z, 5721591]
[paragraph, [225.0, 1526.0, 1265.0, 36.0], gPv5ice84z, 5721591]
[paragraph, [217.0, 1598.0, 1279.0, 36.0], 2nVUgOQTOr, 5721591]
[paragraph, [217.0, 1634.0, 1279.0, 36.0], 2nVUgOQTOr, 5721591]
[paragraph, [217.0, 1670.0, 1279.0, 36.0], 2nVUgOQTOr, 5721591]
[paragraph, [217.0, 1706.0, 1279.0, 36.0], 2nVUgOQTOr, 5721591]
[paragraph, [285.0, 1755.0, 1019.0, 36.0], 23tBCTFJVr, 5721591]
[paragraph, [225.0, 1815.0, 1275.0, 36.0], shoonya_2sAAN7CKWHRUKV, 5721591]
[paragraph, [225.0, 1851.0, 1275.0, 36.0], shoonya_2sAAN7CKWHRUKV, 5721591]
[paragraph, [225.0, 1887.0, 1275.0, 36.0], shoonya_2sAAN7CKWHRUKV, 5721591]
[paragraph, [225.0, 1923.0, 1275.0, 36.0], shoonya_2sAAN7CKWHRUKV, 5721591]
[paragraph, [225.0, 1959.0, 1275.0, 36.0], shoonya_2sAAN7CKWHRUKV, 5721591]
[paragraph, [225.0, 1995.0, 1275.0, 36.0], shoonya_2sAAN7CKWHRUKV, 5721591]
[paragraph, [225.0, 2031.0, 1275.0, 36.0], shoonya_2sAAN7CKWHRUKV, 5721591]
[paragraph, [225.0, 2067.0, 1275.0, 36.0], shoonya_2sAAN7CKWHRUKV, 5721591]
[paragraph, [225.0, 2103.0, 1275.0, 36.0], shoonya_2sAAN7CKWHRUKV, 5721591]
[paragraph, [225.0, 2139.0, 1275.0, 36.0], shoonya_2sAAN7CKWHRUKV, 5721591]
