[1031, 622]
[section-title, [258.0, 69.0, 110.0, 30.0], shoonya_1s6TO35POHCDAY, 5709593]
[paragraph, [68.0, 115.0, 483.0, 18.0], shoonya_2s0A1HQBWEY8SO, 5709593]
[paragraph, [68.0, 133.0, 483.0, 18.0], shoonya_2s0A1HQBWEY8SO, 5709593]
[paragraph, [68.0, 151.0, 483.0, 18.0], shoonya_2s0A1HQBWEY8SO, 5709593]
[ordered-list, [71.0, 182.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 200.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 218.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 236.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 254.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 272.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 290.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 308.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 326.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 344.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 362.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 380.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 398.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 416.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 434.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 452.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 470.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 488.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 506.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 524.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 542.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 560.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 578.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 596.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 614.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 632.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 650.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 668.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 686.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 704.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 722.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 740.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 758.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 776.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 794.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 812.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 830.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 848.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 866.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 884.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 902.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 920.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
[ordered-list, [71.0, 938.0, 481.0, 18.0], shoonya_0sSFFKRC7341MB, 5709593]
