[1050, 693]
[folio, [84.0, 77.0, 88.0, 18.0], shoonya_0sCYQ6GED7E23V, 5701910]
[folio, [84.0, 95.0, 88.0, 18.0], shoonya_0sCYQ6GED7E23V, 5701910]
[paragraph, [73.0, 131.0, 537.0, 18.0], shoonya_2sWNW5M7XFT9J9, 5701910]
[paragraph, [73.0, 149.0, 537.0, 18.0], shoonya_2sWNW5M7XFT9J9, 5701910]
[paragraph, [73.0, 167.0, 537.0, 18.0], shoonya_2sWNW5M7XFT9J9, 5701910]
[paragraph, [74.0, 188.0, 542.0, 18.0], IjC7CnJmHi, 5701910]
[paragraph, [74.0, 206.0, 542.0, 18.0], IjC7CnJmHi, 5701910]
[paragraph, [74.0, 224.0, 542.0, 18.0], IjC7CnJmHi, 5701910]
[paragraph, [74.0, 242.0, 542.0, 18.0], IjC7CnJmHi, 5701910]
[paragraph, [74.0, 260.0, 542.0, 18.0], IjC7CnJmHi, 5701910]
[paragraph, [74.0, 278.0, 542.0, 18.0], IjC7CnJmHi, 5701910]
[paragraph, [74.0, 296.0, 542.0, 18.0], IjC7CnJmHi, 5701910]
[paragraph, [74.0, 314.0, 542.0, 18.0], IjC7CnJmHi, 5701910]
[paragraph, [74.0, 332.0, 542.0, 18.0], IjC7CnJmHi, 5701910]
[paragraph, [80.0, 355.0, 529.0, 18.0], vSoa9mEKeQ, 5701910]
[paragraph, [80.0, 373.0, 529.0, 18.0], vSoa9mEKeQ, 5701910]
[paragraph, [80.0, 391.0, 529.0, 18.0], vSoa9mEKeQ, 5701910]
[paragraph, [80.0, 409.0, 529.0, 18.0], vSoa9mEKeQ, 5701910]
[paragraph, [80.0, 427.0, 529.0, 18.0], vSoa9mEKeQ, 5701910]
[paragraph, [79.0, 453.0, 523.0, 18.0], lZ_2zfybxG, 5701910]
[paragraph, [79.0, 471.0, 523.0, 18.0], lZ_2zfybxG, 5701910]
[paragraph, [79.0, 489.0, 523.0, 18.0], lZ_2zfybxG, 5701910]
[paragraph, [79.0, 507.0, 523.0, 18.0], lZ_2zfybxG, 5701910]
[paragraph, [69.0, 543.0, 536.0, 18.0], FbsdXB0AVv, 5701910]
[paragraph, [69.0, 561.0, 536.0, 18.0], FbsdXB0AVv, 5701910]
[paragraph, [69.0, 579.0, 536.0, 18.0], FbsdXB0AVv, 5701910]
[paragraph, [57.0, 604.0, 553.0, 18.0], 3KiyC5FvSy, 5701910]
[paragraph, [57.0, 622.0, 553.0, 18.0], 3KiyC5FvSy, 5701910]
[paragraph, [57.0, 640.0, 553.0, 18.0], 3KiyC5FvSy, 5701910]
[paragraph, [57.0, 658.0, 553.0, 18.0], 3KiyC5FvSy, 5701910]
[paragraph, [56.0, 682.0, 554.0, 18.0], 5p6irPtjlf, 5701910]
[paragraph, [56.0, 700.0, 554.0, 18.0], 5p6irPtjlf, 5701910]
[paragraph, [56.0, 718.0, 554.0, 18.0], 5p6irPtjlf, 5701910]
[paragraph, [56.0, 736.0, 554.0, 18.0], 5p6irPtjlf, 5701910]
[paragraph, [56.0, 754.0, 554.0, 18.0], 5p6irPtjlf, 5701910]
[paragraph, [56.0, 772.0, 554.0, 18.0], 5p6irPtjlf, 5701910]
[paragraph, [56.0, 790.0, 554.0, 18.0], 5p6irPtjlf, 5701910]
[paragraph, [56.0, 808.0, 554.0, 18.0], 5p6irPtjlf, 5701910]
[paragraph, [71.0, 838.0, 536.0, 18.0], Jg1CI4jGWw, 5701910]
[paragraph, [71.0, 856.0, 536.0, 18.0], Jg1CI4jGWw, 5701910]
[paragraph, [71.0, 874.0, 536.0, 18.0], Jg1CI4jGWw, 5701910]
[paragraph, [71.0, 892.0, 536.0, 18.0], Jg1CI4jGWw, 5701910]
[paragraph, [71.0, 910.0, 536.0, 18.0], Jg1CI4jGWw, 5701910]
[paragraph, [71.0, 928.0, 536.0, 18.0], Jg1CI4jGWw, 5701910]
[paragraph, [71.0, 946.0, 536.0, 18.0], Jg1CI4jGWw, 5701910]
