[1087, 691]
[paragraph, [75.0, 114.0, 550.0, 18.0], shoonya_0s9DLU0ZGSOLDX, 5760182]
[paragraph, [75.0, 132.0, 550.0, 18.0], shoonya_0s9DLU0ZGSOLDX, 5760182]
[paragraph, [75.0, 150.0, 550.0, 18.0], shoonya_0s9DLU0ZGSOLDX, 5760182]
[paragraph, [75.0, 168.0, 550.0, 18.0], shoonya_0s9DLU0ZGSOLDX, 5760182]
[paragraph, [75.0, 186.0, 550.0, 18.0], shoonya_0s9DLU0ZGSOLDX, 5760182]
[paragraph, [75.0, 204.0, 550.0, 18.0], shoonya_0s9DLU0ZGSOLDX, 5760182]
[paragraph, [75.0, 222.0, 550.0, 18.0], shoonya_0s9DLU0ZGSOLDX, 5760182]
[paragraph, [75.0, 240.0, 550.0, 18.0], shoonya_0s9DLU0ZGSOLDX, 5760182]
[paragraph, [75.0, 258.0, 550.0, 18.0], shoonya_0s9DLU0ZGSOLDX, 5760182]
[paragraph, [75.0, 276.0, 550.0, 18.0], shoonya_0s9DLU0ZGSOLDX, 5760182]
[paragraph, [75.0, 294.0, 550.0, 18.0], shoonya_0s9DLU0ZGSOLDX, 5760182]
[paragraph, [75.0, 312.0, 550.0, 18.0], shoonya_0s9DLU0ZGSOLDX, 5760182]
[paragraph, [75.0, 330.0, 550.0, 18.0], shoonya_0s9DLU0ZGSOLDX, 5760182]
[paragraph, [75.0, 348.0, 550.0, 18.0], shoonya_0s9DLU0ZGSOLDX, 5760182]
[paragraph, [75.0, 366.0, 550.0, 18.0], shoonya_0s9DLU0ZGSOLDX, 5760182]
[paragraph, [77.0, 405.0, 549.0, 18.0], shoonya_2s9MAWKCXQ9AZR, 5760182]
[paragraph, [77.0, 423.0, 549.0, 18.0], shoonya_2s9MAWKCXQ9AZR, 5760182]
[paragraph, [77.0, 441.0, 549.0, 18.0], shoonya_2s9MAWKCXQ9AZR, 5760182]
[paragraph, [77.0, 459.0, 549.0, 18.0], shoonya_2s9MAWKCXQ9AZR, 5760182]
[paragraph, [77.0, 477.0, 549.0, 18.0], shoonya_2s9MAWKCXQ9AZR, 5760182]
[paragraph, [77.0, 495.0, 549.0, 18.0], shoonya_2s9MAWKCXQ9AZR, 5760182]
[paragraph, [77.0, 513.0, 549.0, 18.0], shoonya_2s9MAWKCXQ9AZR, 5760182]
[paragraph, [77.0, 531.0, 549.0, 18.0], shoonya_2s9MAWKCXQ9AZR, 5760182]
[paragraph, [77.0, 549.0, 549.0, 18.0], shoonya_2s9MAWKCXQ9AZR, 5760182]
[paragraph, [77.0, 592.0, 550.0, 18.0], shoonya_1sT8VIVE6QRBVN, 5760182]
[paragraph, [77.0, 610.0, 550.0, 18.0], shoonya_1sT8VIVE6QRBVN, 5760182]
[paragraph, [77.0, 628.0, 550.0, 18.0], shoonya_1sT8VIVE6QRBVN, 5760182]
[paragraph, [77.0, 646.0, 550.0, 18.0], shoonya_1sT8VIVE6QRBVN, 5760182]
[paragraph, [77.0, 664.0, 550.0, 18.0], shoonya_1sT8VIVE6QRBVN, 5760182]
[paragraph, [77.0, 682.0, 550.0, 18.0], shoonya_1sT8VIVE6QRBVN, 5760182]
[paragraph, [77.0, 700.0, 550.0, 18.0], shoonya_1sT8VIVE6QRBVN, 5760182]
[paragraph, [77.0, 718.0, 550.0, 18.0], shoonya_1sT8VIVE6QRBVN, 5760182]
[paragraph, [77.0, 736.0, 550.0, 18.0], shoonya_1sT8VIVE6QRBVN, 5760182]
[paragraph, [77.0, 754.0, 550.0, 18.0], shoonya_1sT8VIVE6QRBVN, 5760182]
[paragraph, [77.0, 772.0, 550.0, 18.0], shoonya_1sT8VIVE6QRBVN, 5760182]
[paragraph, [77.0, 790.0, 550.0, 18.0], shoonya_1sT8VIVE6QRBVN, 5760182]
[paragraph, [77.0, 808.0, 550.0, 18.0], shoonya_1sT8VIVE6QRBVN, 5760182]
[paragraph, [77.0, 826.0, 550.0, 18.0], shoonya_1sT8VIVE6QRBVN, 5760182]
[paragraph, [77.0, 844.0, 550.0, 18.0], shoonya_1sT8VIVE6QRBVN, 5760182]
[paragraph, [76.0, 882.0, 556.0, 18.0], shoonya_4sOG2T5YLPH49D, 5760182]
[paragraph, [76.0, 900.0, 556.0, 18.0], shoonya_4sOG2T5YLPH49D, 5760182]
