[2338, 1654]
[ordered-list, [105.0, 41.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 77.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 113.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 149.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 185.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 221.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 257.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 293.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 329.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 365.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 401.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 437.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 473.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 509.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 545.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 581.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 617.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 653.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 689.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 725.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 761.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 797.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 833.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 869.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 905.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 941.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 977.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 1013.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 1049.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 1085.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 1121.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 1157.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 1193.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 1229.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 1265.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 1301.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[ordered-list, [105.0, 1337.0, 1507.0, 36.0], SZ1bs3ckh6, 5658440]
[section-title, [239.0, 1411.0, 411.0, 52.5], 1zfZ8kACAy, 5658440]
[paragraph, [147.0, 1473.0, 1438.0, 36.0], shoonya_0sBWX4T1NL16AI, 5658440]
[paragraph, [147.0, 1509.0, 1438.0, 36.0], shoonya_0sBWX4T1NL16AI, 5658440]
[paragraph, [147.0, 1545.0, 1438.0, 36.0], shoonya_0sBWX4T1NL16AI, 5658440]
[paragraph, [147.0, 1581.0, 1438.0, 36.0], shoonya_0sBWX4T1NL16AI, 5658440]
[paragraph, [147.0, 1617.0, 1438.0, 36.0], shoonya_0sBWX4T1NL16AI, 5658440]
[paragraph, [147.0, 1653.0, 1438.0, 36.0], shoonya_0sBWX4T1NL16AI, 5658440]
[paragraph, [147.0, 1689.0, 1438.0, 36.0], shoonya_0sBWX4T1NL16AI, 5658440]
[paragraph, [147.0, 1725.0, 1438.0, 36.0], shoonya_0sBWX4T1NL16AI, 5658440]
[paragraph, [147.0, 1761.0, 1438.0, 36.0], shoonya_0sBWX4T1NL16AI, 5658440]
[paragraph, [147.0, 1797.0, 1438.0, 36.0], shoonya_0sBWX4T1NL16AI, 5658440]
[paragraph, [147.0, 1833.0, 1438.0, 36.0], shoonya_0sBWX4T1NL16AI, 5658440]
[paragraph, [147.0, 1869.0, 1438.0, 36.0], shoonya_0sBWX4T1NL16AI, 5658440]
[paragraph, [147.0, 1905.0, 1438.0, 36.0], shoonya_0sBWX4T1NL16AI, 5658440]
[contact-info, [1042.0, 1948.0, 489.0, 36.0], OQWfAVAFkX, 5658440]
[contact-info, [1042.0, 1984.0, 489.0, 36.0], OQWfAVAFkX, 5658440]
[contact-info, [1042.0, 2020.0, 489.0, 36.0], OQWfAVAFkX, 5658440]
[contact-info, [1042.0, 2056.0, 489.0, 36.0], OQWfAVAFkX, 5658440]
[contact-info, [1042.0, 2092.0, 489.0, 36.0], OQWfAVAFkX, 5658440]
[contact-info, [1042.0, 2128.0, 489.0, 36.0], OQWfAVAFkX, 5658440]
[contact-info, [1042.0, 2164.0, 489.0, 36.0], OQWfAVAFkX, 5658440]
