[2339, 1653]
[paragraph, [900.0, 247.0, 501.0, 36.0], H3SAGkN8bq, 5685907]
[paragraph, [253.0, 312.0, 1151.0, 36.0], shoonya_1s7DI5VPT18Z1V, 5685907]
[paragraph, [253.0, 348.0, 1151.0, 36.0], shoonya_1s7DI5VPT18Z1V, 5685907]
[paragraph, [253.0, 384.0, 1151.0, 36.0], shoonya_1s7DI5VPT18Z1V, 5685907]
[paragraph, [253.0, 420.0, 1151.0, 36.0], shoonya_1s7DI5VPT18Z1V, 5685907]
[paragraph, [253.0, 456.0, 1151.0, 36.0], shoonya_1s7DI5VPT18Z1V, 5685907]
[paragraph, [253.0, 492.0, 1151.0, 36.0], shoonya_1s7DI5VPT18Z1V, 5685907]
[paragraph, [253.0, 528.0, 1151.0, 36.0], shoonya_1s7DI5VPT18Z1V, 5685907]
[paragraph, [249.0, 582.0, 757.0, 36.0], T-mOVdsTEO, 5685907]
[reference, [1013.0, 582.0, 318.0, 36.0], Iy13AJ6wDM, 5685907]
[paragraph, [858.0, 646.0, 540.0, 36.0], oFnHOaZlEE, 5685907]
[paragraph, [252.0, 713.0, 1150.0, 36.0], lOYPUL12t3, 5685907]
[paragraph, [252.0, 749.0, 1150.0, 36.0], lOYPUL12t3, 5685907]
[paragraph, [252.0, 785.0, 1150.0, 36.0], lOYPUL12t3, 5685907]
[paragraph, [252.0, 821.0, 1150.0, 36.0], lOYPUL12t3, 5685907]
[paragraph, [252.0, 857.0, 1150.0, 36.0], lOYPUL12t3, 5685907]
[paragraph, [252.0, 893.0, 1150.0, 36.0], lOYPUL12t3, 5685907]
[paragraph, [252.0, 929.0, 1150.0, 36.0], lOYPUL12t3, 5685907]
[paragraph, [252.0, 965.0, 1150.0, 36.0], lOYPUL12t3, 5685907]
[paragraph, [252.0, 1001.0, 1150.0, 36.0], lOYPUL12t3, 5685907]
[paragraph, [252.0, 1037.0, 1150.0, 36.0], lOYPUL12t3, 5685907]
[paragraph, [252.0, 1073.0, 1150.0, 36.0], lOYPUL12t3, 5685907]
[paragraph, [252.0, 1109.0, 1150.0, 36.0], lOYPUL12t3, 5685907]
[paragraph, [252.0, 1145.0, 1150.0, 36.0], lOYPUL12t3, 5685907]
[paragraph, [252.0, 1181.0, 1150.0, 36.0], lOYPUL12t3, 5685907]
[paragraph, [252.0, 1217.0, 1150.0, 36.0], lOYPUL12t3, 5685907]
[paragraph, [252.0, 1253.0, 1150.0, 36.0], lOYPUL12t3, 5685907]
[paragraph, [252.0, 1289.0, 1150.0, 36.0], lOYPUL12t3, 5685907]
[paragraph, [252.0, 1325.0, 1150.0, 36.0], lOYPUL12t3, 5685907]
[paragraph, [251.0, 1443.0, 1153.0, 36.0], shoonya_0sWAZGY1HBU9TU, 5685907]
[paragraph, [251.0, 1479.0, 1153.0, 36.0], shoonya_0sWAZGY1HBU9TU, 5685907]
[paragraph, [251.0, 1515.0, 1153.0, 36.0], shoonya_0sWAZGY1HBU9TU, 5685907]
[paragraph, [251.0, 1551.0, 1153.0, 36.0], shoonya_0sWAZGY1HBU9TU, 5685907]
[paragraph, [251.0, 1587.0, 1153.0, 36.0], shoonya_0sWAZGY1HBU9TU, 5685907]
[paragraph, [251.0, 1623.0, 1153.0, 36.0], shoonya_0sWAZGY1HBU9TU, 5685907]
[paragraph, [251.0, 1659.0, 1153.0, 36.0], shoonya_0sWAZGY1HBU9TU, 5685907]
[paragraph, [251.0, 1695.0, 1153.0, 36.0], shoonya_0sWAZGY1HBU9TU, 5685907]
[paragraph, [251.0, 1731.0, 1153.0, 36.0], shoonya_0sWAZGY1HBU9TU, 5685907]
[paragraph, [251.0, 1767.0, 1153.0, 36.0], shoonya_0sWAZGY1HBU9TU, 5685907]
[paragraph, [251.0, 1803.0, 1153.0, 36.0], shoonya_0sWAZGY1HBU9TU, 5685907]
[paragraph, [251.0, 1839.0, 1153.0, 36.0], shoonya_0sWAZGY1HBU9TU, 5685907]
[paragraph, [251.0, 1875.0, 1153.0, 36.0], shoonya_0sWAZGY1HBU9TU, 5685907]
[paragraph, [251.0, 1911.0, 1153.0, 36.0], shoonya_0sWAZGY1HBU9TU, 5685907]
[paragraph, [249.0, 1983.0, 901.0, 36.0], Ut-tdh0mu4, 5685907]
[reference, [1154.0, 1986.0, 248.0, 36.0], K-jjmkgdvE, 5685907]
[reference, [251.0, 2053.0, 90.0, 36.0], 9Ec0-RodqY, 5685907]
