[1684, 1191]
[folio, [379.0, 91.0, 425.0, 36.0], 93_xauZom6, 6464145]
[folio, [379.0, 127.0, 425.0, 36.0], 93_xauZom6, 6464145]
[paragraph, [77.0, 180.0, 1020.0, 36.0], nKdQm8E0ge, 6464145]
[paragraph, [77.0, 216.0, 1020.0, 36.0], nKdQm8E0ge, 6464145]
[paragraph, [77.0, 252.0, 1020.0, 36.0], nKdQm8E0ge, 6464145]
[paragraph, [70.0, 315.0, 1020.0, 36.0], XNVtYNgQp_, 6464145]
[paragraph, [70.0, 351.0, 1020.0, 36.0], XNVtYNgQp_, 6464145]
[paragraph, [70.0, 432.0, 1020.0, 36.0], vtLuIbbEA1, 6464145]
[paragraph, [70.0, 468.0, 1020.0, 36.0], vtLuIbbEA1, 6464145]
[paragraph, [70.0, 556.0, 1034.0, 36.0], I-iENabBzz, 6464145]
[paragraph, [70.0, 592.0, 1034.0, 36.0], I-iENabBzz, 6464145]
[paragraph, [70.0, 628.0, 1034.0, 36.0], I-iENabBzz, 6464145]
[paragraph, [70.0, 664.0, 1034.0, 36.0], I-iENabBzz, 6464145]
[paragraph, [93.0, 726.0, 1020.0, 36.0], shoonya_0sT3208XQ3ELC3, 6464145]
[paragraph, [93.0, 762.0, 1020.0, 36.0], shoonya_0sT3208XQ3ELC3, 6464145]
[paragraph, [93.0, 798.0, 1020.0, 36.0], shoonya_0sT3208XQ3ELC3, 6464145]
[paragraph, [93.0, 834.0, 1020.0, 36.0], shoonya_0sT3208XQ3ELC3, 6464145]
[paragraph, [93.0, 870.0, 1020.0, 36.0], shoonya_0sT3208XQ3ELC3, 6464145]
[paragraph, [93.0, 906.0, 1020.0, 36.0], shoonya_0sT3208XQ3ELC3, 6464145]
[paragraph, [93.0, 942.0, 1020.0, 36.0], shoonya_0sT3208XQ3ELC3, 6464145]
[paragraph, [93.0, 978.0, 1020.0, 36.0], shoonya_0sT3208XQ3ELC3, 6464145]
[paragraph, [93.0, 1014.0, 1020.0, 36.0], shoonya_0sT3208XQ3ELC3, 6464145]
[paragraph, [93.0, 1050.0, 1020.0, 36.0], shoonya_0sT3208XQ3ELC3, 6464145]
[paragraph, [93.0, 1086.0, 1020.0, 36.0], shoonya_0sT3208XQ3ELC3, 6464145]
[paragraph, [93.0, 1122.0, 1020.0, 36.0], shoonya_0sT3208XQ3ELC3, 6464145]
[paragraph, [93.0, 1158.0, 1020.0, 36.0], shoonya_0sT3208XQ3ELC3, 6464145]
[paragraph, [93.0, 1194.0, 1020.0, 36.0], shoonya_0sT3208XQ3ELC3, 6464145]
[paragraph, [93.0, 1230.0, 1020.0, 36.0], shoonya_0sT3208XQ3ELC3, 6464145]
[paragraph, [93.0, 1266.0, 1020.0, 36.0], shoonya_0sT3208XQ3ELC3, 6464145]
[paragraph, [93.0, 1302.0, 1020.0, 36.0], shoonya_0sT3208XQ3ELC3, 6464145]
[paragraph, [93.0, 1338.0, 1020.0, 36.0], shoonya_0sT3208XQ3ELC3, 6464145]
[paragraph, [93.0, 1374.0, 1020.0, 36.0], shoonya_0sT3208XQ3ELC3, 6464145]
[paragraph, [93.0, 1410.0, 1020.0, 36.0], shoonya_0sT3208XQ3ELC3, 6464145]
[paragraph, [93.0, 1446.0, 1020.0, 36.0], shoonya_0sT3208XQ3ELC3, 6464145]
