[596, 421]
[section-title, [42.0, 58.0, 125.0, 30.0], vcmMuwYzrq, 6534218]
[paragraph, [31.0, 94.0, 127.0, 18.0], FKFQGxx8k8, 6534218]
[paragraph, [31.0, 112.0, 127.0, 18.0], FKFQGxx8k8, 6534218]
[paragraph, [31.0, 130.0, 127.0, 18.0], FKFQGxx8k8, 6534218]
[paragraph, [31.0, 148.0, 127.0, 18.0], FKFQGxx8k8, 6534218]
[paragraph, [31.0, 166.0, 127.0, 18.0], FKFQGxx8k8, 6534218]
[paragraph, [31.0, 184.0, 127.0, 18.0], FKFQGxx8k8, 6534218]
[paragraph, [31.0, 202.0, 127.0, 18.0], FKFQGxx8k8, 6534218]
[paragraph, [31.0, 220.0, 127.0, 18.0], FKFQGxx8k8, 6534218]
[paragraph, [31.0, 238.0, 127.0, 18.0], FKFQGxx8k8, 6534218]
[paragraph, [226.0, 330.0, 145.0, 18.0], 1kTif2Cpv6, 6534218]
[paragraph, [226.0, 348.0, 145.0, 18.0], 1kTif2Cpv6, 6534218]
[paragraph, [226.0, 366.0, 145.0, 18.0], 1kTif2Cpv6, 6534218]
[paragraph, [226.0, 384.0, 145.0, 18.0], 1kTif2Cpv6, 6534218]
[paragraph, [226.0, 402.0, 145.0, 18.0], 1kTif2Cpv6, 6534218]
[paragraph, [226.0, 420.0, 145.0, 18.0], 1kTif2Cpv6, 6534218]
[paragraph, [226.0, 438.0, 145.0, 18.0], 1kTif2Cpv6, 6534218]
[paragraph, [226.0, 456.0, 145.0, 18.0], 1kTif2Cpv6, 6534218]
[paragraph, [226.0, 474.0, 145.0, 18.0], 1kTif2Cpv6, 6534218]
[paragraph, [226.0, 492.0, 145.0, 18.0], 1kTif2Cpv6, 6534218]
