[792, 612]
[headline, [100.0, 336.0, 423.0, 25.5], shoonya_10sXE1IN588PCA, 6514536]
[paragraph, [295.0, 437.0, 86.0, 18.0], shoonya_3sJSCOPH2F3A50, 6514536]
[paragraph, [295.0, 455.0, 86.0, 18.0], shoonya_3sJSCOPH2F3A50, 6514536]
[paragraph, [295.0, 473.0, 86.0, 18.0], shoonya_3sJSCOPH2F3A50, 6514536]
[paragraph, [295.0, 491.0, 86.0, 18.0], shoonya_3sJSCOPH2F3A50, 6514536]
[paragraph, [385.0, 439.0, 151.0, 18.0], shoonya_2s7GHOWPUO3IWV, 6514536]
[paragraph, [385.0, 457.0, 151.0, 18.0], shoonya_2s7GHOWPUO3IWV, 6514536]
[paragraph, [385.0, 475.0, 151.0, 18.0], shoonya_2s7GHOWPUO3IWV, 6514536]
[paragraph, [385.0, 493.0, 151.0, 18.0], shoonya_2s7GHOWPUO3IWV, 6514536]
[paragraph, [385.0, 511.0, 151.0, 18.0], shoonya_2s7GHOWPUO3IWV, 6514536]
[paragraph, [385.0, 529.0, 151.0, 18.0], shoonya_2s7GHOWPUO3IWV, 6514536]
[paragraph, [231.0, 513.0, 150.0, 18.0], shoonya_4s3RS742BDSFYJ, 6514536]
[paragraph, [231.0, 531.0, 150.0, 18.0], shoonya_4s3RS742BDSFYJ, 6514536]
[paragraph, [231.0, 549.0, 150.0, 18.0], shoonya_4s3RS742BDSFYJ, 6514536]
[paragraph, [231.0, 567.0, 150.0, 18.0], shoonya_4s3RS742BDSFYJ, 6514536]
[paragraph, [231.0, 585.0, 150.0, 18.0], shoonya_4s3RS742BDSFYJ, 6514536]
[paragraph, [231.0, 603.0, 150.0, 18.0], shoonya_4s3RS742BDSFYJ, 6514536]
[paragraph, [385.0, 555.0, 152.0, 18.0], shoonya_9s0CN0AFAT5LUU, 6514536]
[paragraph, [385.0, 573.0, 152.0, 18.0], shoonya_9s0CN0AFAT5LUU, 6514536]
[paragraph, [385.0, 591.0, 152.0, 18.0], shoonya_9s0CN0AFAT5LUU, 6514536]
[paragraph, [385.0, 609.0, 152.0, 18.0], shoonya_9s0CN0AFAT5LUU, 6514536]
