[1565, 1152]
[headline, [253.0, 102.0, 468.0, 37.5], 59kNsLI4tJ, 5722483]
[headline, [253.0, 139.5, 468.0, 37.5], 59kNsLI4tJ, 5722483]
[paragraph, [171.0, 238.0, 570.0, 36.0], shoonya_7s3HDYL9APL4VS, 5722483]
[paragraph, [171.0, 274.0, 570.0, 36.0], shoonya_7s3HDYL9APL4VS, 5722483]
[paragraph, [171.0, 310.0, 570.0, 36.0], shoonya_7s3HDYL9APL4VS, 5722483]
[paragraph, [171.0, 346.0, 570.0, 36.0], shoonya_7s3HDYL9APL4VS, 5722483]
[paragraph, [171.0, 382.0, 570.0, 36.0], shoonya_7s3HDYL9APL4VS, 5722483]
[paragraph, [171.0, 421.0, 850.0, 36.0], shoonya_8sNZ3S7SCUCLBB, 5722483]
[paragraph, [171.0, 457.0, 850.0, 36.0], shoonya_8sNZ3S7SCUCLBB, 5722483]
[paragraph, [171.0, 493.0, 850.0, 36.0], shoonya_8sNZ3S7SCUCLBB, 5722483]
[paragraph, [171.0, 529.0, 850.0, 36.0], shoonya_8sNZ3S7SCUCLBB, 5722483]
[paragraph, [171.0, 565.0, 850.0, 36.0], shoonya_8sNZ3S7SCUCLBB, 5722483]
[paragraph, [171.0, 601.0, 850.0, 36.0], shoonya_8sNZ3S7SCUCLBB, 5722483]
[paragraph, [171.0, 637.0, 850.0, 36.0], shoonya_8sNZ3S7SCUCLBB, 5722483]
[paragraph, [170.0, 700.0, 852.0, 36.0], shoonya_0s6NY0V5YABGI1, 5722483]
[paragraph, [170.0, 736.0, 852.0, 36.0], shoonya_0s6NY0V5YABGI1, 5722483]
[paragraph, [170.0, 772.0, 852.0, 36.0], shoonya_0s6NY0V5YABGI1, 5722483]
[paragraph, [170.0, 808.0, 852.0, 36.0], shoonya_0s6NY0V5YABGI1, 5722483]
[paragraph, [171.0, 859.0, 855.0, 36.0], shoonya_2sXQP2CXJZXECV, 5722483]
[paragraph, [171.0, 895.0, 855.0, 36.0], shoonya_2sXQP2CXJZXECV, 5722483]
[paragraph, [171.0, 931.0, 855.0, 36.0], shoonya_2sXQP2CXJZXECV, 5722483]
[paragraph, [171.0, 967.0, 855.0, 36.0], shoonya_2sXQP2CXJZXECV, 5722483]
[paragraph, [171.0, 1003.0, 855.0, 36.0], shoonya_2sXQP2CXJZXECV, 5722483]
[paragraph, [171.0, 1063.0, 856.0, 36.0], shoonya_5s2JJB23OHRXXK, 5722483]
[paragraph, [171.0, 1099.0, 856.0, 36.0], shoonya_5s2JJB23OHRXXK, 5722483]
[paragraph, [171.0, 1135.0, 856.0, 36.0], shoonya_5s2JJB23OHRXXK, 5722483]
[paragraph, [170.0, 1178.0, 855.0, 36.0], shoonya_3sHDSNE45R4Z5J, 5722483]
[paragraph, [170.0, 1214.0, 855.0, 36.0], shoonya_3sHDSNE45R4Z5J, 5722483]
[paragraph, [167.0, 1295.0, 856.0, 36.0], shoonya_9s975B1ZA0TDWD, 5722483]
[paragraph, [167.0, 1331.0, 856.0, 36.0], shoonya_9s975B1ZA0TDWD, 5722483]
