[1725, 1313]
[paragraph, [105.0, 126.0, 459.0, 36.0], GCCbxnT5VW, 5772228]
[paragraph, [110.0, 178.0, 451.0, 36.0], shoonya_3sN6TT58B8995K, 5772228]
[paragraph, [110.0, 214.0, 451.0, 36.0], shoonya_3sN6TT58B8995K, 5772228]
[paragraph, [110.0, 250.0, 451.0, 36.0], shoonya_3sN6TT58B8995K, 5772228]
[paragraph, [110.0, 286.0, 451.0, 36.0], shoonya_3sN6TT58B8995K, 5772228]
[paragraph, [110.0, 322.0, 451.0, 36.0], shoonya_3sN6TT58B8995K, 5772228]
[paragraph, [110.0, 358.0, 451.0, 36.0], shoonya_3sN6TT58B8995K, 5772228]
[paragraph, [110.0, 394.0, 451.0, 36.0], shoonya_3sN6TT58B8995K, 5772228]
[paragraph, [110.0, 430.0, 451.0, 36.0], shoonya_3sN6TT58B8995K, 5772228]
[paragraph, [110.0, 466.0, 451.0, 36.0], shoonya_3sN6TT58B8995K, 5772228]
[paragraph, [113.0, 515.0, 448.0, 36.0], shoonya_11sQ6GZGJ2SB6P, 5772228]
[paragraph, [113.0, 551.0, 448.0, 36.0], shoonya_11sQ6GZGJ2SB6P, 5772228]
[paragraph, [662.0, 581.0, 544.0, 36.0], shoonya_6sR346USL8XLRO, 5772228]
[paragraph, [662.0, 617.0, 544.0, 36.0], shoonya_6sR346USL8XLRO, 5772228]
[paragraph, [662.0, 653.0, 544.0, 36.0], shoonya_6sR346USL8XLRO, 5772228]
[paragraph, [662.0, 689.0, 544.0, 36.0], shoonya_6sR346USL8XLRO, 5772228]
[paragraph, [662.0, 725.0, 544.0, 36.0], shoonya_6sR346USL8XLRO, 5772228]
[paragraph, [662.0, 761.0, 544.0, 36.0], shoonya_6sR346USL8XLRO, 5772228]
[paragraph, [111.0, 589.0, 547.0, 36.0], RL2lZ8WbOh, 5772228]
[paragraph, [111.0, 625.0, 547.0, 36.0], RL2lZ8WbOh, 5772228]
[paragraph, [111.0, 661.0, 547.0, 36.0], RL2lZ8WbOh, 5772228]
[paragraph, [111.0, 697.0, 547.0, 36.0], RL2lZ8WbOh, 5772228]
[paragraph, [111.0, 733.0, 547.0, 36.0], RL2lZ8WbOh, 5772228]
[ordered-list, [662.0, 821.0, 540.0, 36.0], shoonya_9s9ZSMJQEXIGLL, 5772228]
[ordered-list, [662.0, 857.0, 540.0, 36.0], shoonya_9s9ZSMJQEXIGLL, 5772228]
[ordered-list, [662.0, 893.0, 540.0, 36.0], shoonya_9s9ZSMJQEXIGLL, 5772228]
[ordered-list, [662.0, 929.0, 540.0, 36.0], shoonya_9s9ZSMJQEXIGLL, 5772228]
[paragraph, [107.0, 843.0, 550.0, 36.0], shoonya_1sO2KALCLHZEIZ, 5772228]
[paragraph, [107.0, 879.0, 550.0, 36.0], shoonya_1sO2KALCLHZEIZ, 5772228]
[paragraph, [107.0, 915.0, 550.0, 36.0], shoonya_1sO2KALCLHZEIZ, 5772228]
[paragraph, [107.0, 951.0, 550.0, 36.0], shoonya_1sO2KALCLHZEIZ, 5772228]
[paragraph, [107.0, 987.0, 550.0, 36.0], shoonya_1sO2KALCLHZEIZ, 5772228]
[paragraph, [107.0, 1023.0, 550.0, 36.0], shoonya_1sO2KALCLHZEIZ, 5772228]
[paragraph, [107.0, 1059.0, 550.0, 36.0], shoonya_1sO2KALCLHZEIZ, 5772228]
[paragraph, [107.0, 1095.0, 550.0, 36.0], shoonya_1sO2KALCLHZEIZ, 5772228]
[paragraph, [107.0, 1131.0, 550.0, 36.0], shoonya_1sO2KALCLHZEIZ, 5772228]
[paragraph, [107.0, 1167.0, 550.0, 36.0], shoonya_1sO2KALCLHZEIZ, 5772228]
[paragraph, [107.0, 1203.0, 550.0, 36.0], shoonya_1sO2KALCLHZEIZ, 5772228]
[paragraph, [660.0, 1039.0, 550.0, 36.0], shoonya_4sEN9BVGCIOO39, 5772228]
[paragraph, [660.0, 1075.0, 550.0, 36.0], shoonya_4sEN9BVGCIOO39, 5772228]
[paragraph, [660.0, 1111.0, 550.0, 36.0], shoonya_4sEN9BVGCIOO39, 5772228]
[paragraph, [660.0, 1147.0, 550.0, 36.0], shoonya_4sEN9BVGCIOO39, 5772228]
[paragraph, [660.0, 1183.0, 550.0, 36.0], shoonya_4sEN9BVGCIOO39, 5772228]
[paragraph, [660.0, 1219.0, 550.0, 36.0], shoonya_4sEN9BVGCIOO39, 5772228]
[paragraph, [660.0, 1255.0, 550.0, 36.0], shoonya_4sEN9BVGCIOO39, 5772228]
[paragraph, [660.0, 1291.0, 550.0, 36.0], shoonya_4sEN9BVGCIOO39, 5772228]
[paragraph, [660.0, 1327.0, 550.0, 36.0], shoonya_4sEN9BVGCIOO39, 5772228]
[paragraph, [660.0, 1363.0, 550.0, 36.0], shoonya_4sEN9BVGCIOO39, 5772228]
[paragraph, [660.0, 1399.0, 550.0, 36.0], shoonya_4sEN9BVGCIOO39, 5772228]
[paragraph, [660.0, 1435.0, 550.0, 36.0], shoonya_4sEN9BVGCIOO39, 5772228]
[paragraph, [648.0, 1478.0, 546.0, 36.0], shoonya_5sKD5RJRJWGKVT, 5772228]
[paragraph, [648.0, 1514.0, 546.0, 36.0], shoonya_5sKD5RJRJWGKVT, 5772228]
[folio, [582.0, 1576.0, 164.0, 36.0], HAWRpIczzl, 5772228]
[folio, [69.0, 1671.0, 315.0, 36.0], shoonya_7sMDXO0X3SO1XR, 5772228]
