[2175, 1462]
[folio, [155.0, 157.0, 157.0, 36.0], EKiucVkotP, 5654977]
[paragraph, [155.0, 263.0, 1165.0, 36.0], shoonya_3sE0PPK6Q1L8IE, 5654977]
[paragraph, [155.0, 299.0, 1165.0, 36.0], shoonya_3sE0PPK6Q1L8IE, 5654977]
[paragraph, [155.0, 335.0, 1165.0, 36.0], shoonya_3sE0PPK6Q1L8IE, 5654977]
[paragraph, [155.0, 371.0, 1165.0, 36.0], shoonya_3sE0PPK6Q1L8IE, 5654977]
[paragraph, [155.0, 407.0, 1165.0, 36.0], shoonya_3sE0PPK6Q1L8IE, 5654977]
[paragraph, [236.0, 502.0, 581.0, 36.0], shoonya_7s78HZABRUTNKZ, 5654977]
[paragraph, [236.0, 538.0, 581.0, 36.0], shoonya_7s78HZABRUTNKZ, 5654977]
[paragraph, [236.0, 574.0, 581.0, 36.0], shoonya_7s78HZABRUTNKZ, 5654977]
[paragraph, [163.0, 650.0, 1154.0, 36.0], shoonya_5sD8V6JKZLS238, 5654977]
[paragraph, [163.0, 686.0, 1154.0, 36.0], shoonya_5sD8V6JKZLS238, 5654977]
[paragraph, [163.0, 722.0, 1154.0, 36.0], shoonya_5sD8V6JKZLS238, 5654977]
[paragraph, [158.0, 826.0, 1167.0, 36.0], shoonya_2s9FEVSEQSVEKZ, 5654977]
[paragraph, [158.0, 862.0, 1167.0, 36.0], shoonya_2s9FEVSEQSVEKZ, 5654977]
[paragraph, [158.0, 898.0, 1167.0, 36.0], shoonya_2s9FEVSEQSVEKZ, 5654977]
[paragraph, [158.0, 934.0, 1167.0, 36.0], shoonya_2s9FEVSEQSVEKZ, 5654977]
[paragraph, [158.0, 970.0, 1167.0, 36.0], shoonya_2s9FEVSEQSVEKZ, 5654977]
[paragraph, [158.0, 1006.0, 1167.0, 36.0], shoonya_2s9FEVSEQSVEKZ, 5654977]
[paragraph, [158.0, 1042.0, 1167.0, 36.0], shoonya_2s9FEVSEQSVEKZ, 5654977]
[paragraph, [158.0, 1078.0, 1167.0, 36.0], shoonya_2s9FEVSEQSVEKZ, 5654977]
[paragraph, [158.0, 1114.0, 1167.0, 36.0], shoonya_2s9FEVSEQSVEKZ, 5654977]
[paragraph, [158.0, 1150.0, 1167.0, 36.0], shoonya_2s9FEVSEQSVEKZ, 5654977]
[paragraph, [162.0, 1241.0, 1164.0, 36.0], shoonya_1sYRMMGDKTC655, 5654977]
[paragraph, [162.0, 1277.0, 1164.0, 36.0], shoonya_1sYRMMGDKTC655, 5654977]
[paragraph, [162.0, 1313.0, 1164.0, 36.0], shoonya_1sYRMMGDKTC655, 5654977]
[paragraph, [162.0, 1349.0, 1164.0, 36.0], shoonya_1sYRMMGDKTC655, 5654977]
[paragraph, [162.0, 1385.0, 1164.0, 36.0], shoonya_1sYRMMGDKTC655, 5654977]
[paragraph, [162.0, 1421.0, 1164.0, 36.0], shoonya_1sYRMMGDKTC655, 5654977]
[paragraph, [162.0, 1457.0, 1164.0, 36.0], shoonya_1sYRMMGDKTC655, 5654977]
[paragraph, [162.0, 1493.0, 1164.0, 36.0], shoonya_1sYRMMGDKTC655, 5654977]
[paragraph, [162.0, 1529.0, 1164.0, 36.0], shoonya_1sYRMMGDKTC655, 5654977]
[paragraph, [162.0, 1565.0, 1164.0, 36.0], shoonya_1sYRMMGDKTC655, 5654977]
[paragraph, [162.0, 1651.0, 1167.0, 36.0], shoonya_0sM6K5B6WZQHOD, 5654977]
[paragraph, [162.0, 1687.0, 1167.0, 36.0], shoonya_0sM6K5B6WZQHOD, 5654977]
[paragraph, [162.0, 1723.0, 1167.0, 36.0], shoonya_0sM6K5B6WZQHOD, 5654977]
[paragraph, [162.0, 1759.0, 1167.0, 36.0], shoonya_0sM6K5B6WZQHOD, 5654977]
[paragraph, [162.0, 1795.0, 1167.0, 36.0], shoonya_0sM6K5B6WZQHOD, 5654977]
[paragraph, [162.0, 1831.0, 1167.0, 36.0], shoonya_0sM6K5B6WZQHOD, 5654977]
[paragraph, [162.0, 1867.0, 1167.0, 36.0], shoonya_0sM6K5B6WZQHOD, 5654977]
[reference, [157.0, 2011.0, 714.0, 36.0], shoonya_6s6WK1JIF6UNHZ, 5654977]
