[1268, 833]
[paragraph, [42.0, 32.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 50.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 68.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 86.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 104.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 122.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 140.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 158.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 176.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 194.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 212.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 230.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 248.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 266.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 284.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 302.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 320.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 338.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 356.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 374.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 392.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 410.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 428.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 446.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 464.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 482.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 500.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 518.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 536.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 554.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 572.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 590.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 608.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 626.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 644.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 662.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
[paragraph, [42.0, 680.0, 779.0, 18.0], shoonya_0sB1SRBLHK4W2H, 5751290]
