[1350, 900]
[paragraph, [191.0, 244.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [191.0, 262.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [191.0, 280.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [191.0, 298.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [191.0, 316.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [191.0, 334.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [191.0, 352.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [191.0, 370.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [191.0, 388.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [191.0, 406.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [191.0, 424.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [191.0, 442.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [191.0, 460.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [191.0, 478.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [191.0, 496.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [191.0, 514.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [191.0, 532.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [191.0, 550.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [191.0, 568.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [191.0, 586.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [191.0, 604.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [191.0, 622.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [191.0, 640.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [191.0, 658.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [191.0, 676.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [191.0, 694.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [191.0, 712.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [191.0, 730.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [191.0, 748.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [191.0, 766.0, 563.0, 18.0], shoonya_3sU1AYMO94QCXC, 5759643]
[paragraph, [188.0, 859.0, 566.0, 18.0], shoonya_0sG2WH6CVZZD0M, 5759643]
[paragraph, [188.0, 877.0, 566.0, 18.0], shoonya_0sG2WH6CVZZD0M, 5759643]
[paragraph, [188.0, 895.0, 566.0, 18.0], shoonya_0sG2WH6CVZZD0M, 5759643]
[paragraph, [188.0, 913.0, 566.0, 18.0], shoonya_0sG2WH6CVZZD0M, 5759643]
[paragraph, [188.0, 931.0, 566.0, 18.0], shoonya_0sG2WH6CVZZD0M, 5759643]
[paragraph, [188.0, 949.0, 566.0, 18.0], shoonya_0sG2WH6CVZZD0M, 5759643]
[paragraph, [188.0, 967.0, 566.0, 18.0], shoonya_0sG2WH6CVZZD0M, 5759643]
[paragraph, [188.0, 985.0, 566.0, 18.0], shoonya_0sG2WH6CVZZD0M, 5759643]
[paragraph, [188.0, 1003.0, 566.0, 18.0], shoonya_0sG2WH6CVZZD0M, 5759643]
[paragraph, [188.0, 1021.0, 566.0, 18.0], shoonya_0sG2WH6CVZZD0M, 5759643]
[paragraph, [188.0, 1039.0, 566.0, 18.0], shoonya_0sG2WH6CVZZD0M, 5759643]
[paragraph, [188.0, 1057.0, 566.0, 18.0], shoonya_0sG2WH6CVZZD0M, 5759643]
[paragraph, [188.0, 1075.0, 566.0, 18.0], shoonya_0sG2WH6CVZZD0M, 5759643]
[paragraph, [188.0, 1093.0, 566.0, 18.0], shoonya_0sG2WH6CVZZD0M, 5759643]
