[1637, 1070]
[section-title, [96.0, 106.0, 170.0, 49.5], oQ58hMJmbh, 5653685]
[figure-caption, [757.0, 542.0, 128.0, 36.0], VsbAARE9ZY, 5653685]
[section-title, [116.0, 783.0, 205.0, 49.5], GWw25-QvVm, 5653685]
[paragraph, [218.0, 855.0, 280.0, 36.0], 3SRwHeqPuN, 5653685]
[paragraph, [218.0, 891.0, 280.0, 36.0], 3SRwHeqPuN, 5653685]
[paragraph, [204.0, 965.0, 448.0, 36.0], SMI9aCP3vq, 5653685]
[paragraph, [204.0, 1001.0, 448.0, 36.0], SMI9aCP3vq, 5653685]
[paragraph, [204.0, 1037.0, 448.0, 36.0], SMI9aCP3vq, 5653685]
[paragraph, [204.0, 1073.0, 448.0, 36.0], SMI9aCP3vq, 5653685]
[paragraph, [196.0, 1138.0, 467.0, 36.0], rMNfgN-KBI, 5653685]
[paragraph, [196.0, 1174.0, 467.0, 36.0], rMNfgN-KBI, 5653685]
[paragraph, [196.0, 1210.0, 467.0, 36.0], rMNfgN-KBI, 5653685]
[paragraph, [196.0, 1246.0, 467.0, 36.0], rMNfgN-KBI, 5653685]
[paragraph, [202.0, 1300.0, 419.0, 36.0], DO0TRlDnV2, 5653685]
[paragraph, [202.0, 1336.0, 419.0, 36.0], DO0TRlDnV2, 5653685]
[paragraph, [202.0, 1372.0, 419.0, 36.0], DO0TRlDnV2, 5653685]
[paragraph, [202.0, 1408.0, 419.0, 36.0], DO0TRlDnV2, 5653685]
[paragraph, [202.0, 1444.0, 419.0, 36.0], DO0TRlDnV2, 5653685]
