[1650, 1275]
[paragraph, [261.0, 100.0, 850.0, 36.0], shoonya_1sZULK3QC49A5Q, 5714812]
[paragraph, [261.0, 136.0, 850.0, 36.0], shoonya_1sZULK3QC49A5Q, 5714812]
[paragraph, [261.0, 172.0, 850.0, 36.0], shoonya_1sZULK3QC49A5Q, 5714812]
[paragraph, [261.0, 208.0, 850.0, 36.0], shoonya_1sZULK3QC49A5Q, 5714812]
[paragraph, [261.0, 244.0, 850.0, 36.0], shoonya_1sZULK3QC49A5Q, 5714812]
[paragraph, [261.0, 280.0, 850.0, 36.0], shoonya_1sZULK3QC49A5Q, 5714812]
[paragraph, [261.0, 316.0, 850.0, 36.0], shoonya_1sZULK3QC49A5Q, 5714812]
[paragraph, [261.0, 352.0, 850.0, 36.0], shoonya_1sZULK3QC49A5Q, 5714812]
[paragraph, [261.0, 388.0, 850.0, 36.0], shoonya_1sZULK3QC49A5Q, 5714812]
[paragraph, [261.0, 424.0, 850.0, 36.0], shoonya_1sZULK3QC49A5Q, 5714812]
[paragraph, [261.0, 460.0, 850.0, 36.0], shoonya_1sZULK3QC49A5Q, 5714812]
[paragraph, [253.0, 511.0, 860.0, 36.0], shoonya_0sAK9GHXN4IIIN, 5714812]
[paragraph, [253.0, 547.0, 860.0, 36.0], shoonya_0sAK9GHXN4IIIN, 5714812]
[paragraph, [253.0, 583.0, 860.0, 36.0], shoonya_0sAK9GHXN4IIIN, 5714812]
[paragraph, [253.0, 619.0, 860.0, 36.0], shoonya_0sAK9GHXN4IIIN, 5714812]
[paragraph, [253.0, 655.0, 860.0, 36.0], shoonya_0sAK9GHXN4IIIN, 5714812]
[paragraph, [253.0, 691.0, 860.0, 36.0], shoonya_0sAK9GHXN4IIIN, 5714812]
[paragraph, [253.0, 727.0, 860.0, 36.0], shoonya_0sAK9GHXN4IIIN, 5714812]
[paragraph, [253.0, 763.0, 860.0, 36.0], shoonya_0sAK9GHXN4IIIN, 5714812]
[paragraph, [253.0, 799.0, 860.0, 36.0], shoonya_0sAK9GHXN4IIIN, 5714812]
[paragraph, [253.0, 835.0, 860.0, 36.0], shoonya_0sAK9GHXN4IIIN, 5714812]
[paragraph, [253.0, 871.0, 860.0, 36.0], shoonya_0sAK9GHXN4IIIN, 5714812]
[paragraph, [253.0, 907.0, 860.0, 36.0], shoonya_0sAK9GHXN4IIIN, 5714812]
[paragraph, [253.0, 943.0, 860.0, 36.0], shoonya_0sAK9GHXN4IIIN, 5714812]
[paragraph, [253.0, 979.0, 860.0, 36.0], shoonya_0sAK9GHXN4IIIN, 5714812]
[paragraph, [253.0, 1015.0, 860.0, 36.0], shoonya_0sAK9GHXN4IIIN, 5714812]
[paragraph, [253.0, 1051.0, 860.0, 36.0], shoonya_0sAK9GHXN4IIIN, 5714812]
[paragraph, [253.0, 1087.0, 860.0, 36.0], shoonya_0sAK9GHXN4IIIN, 5714812]
[paragraph, [253.0, 1123.0, 860.0, 36.0], shoonya_0sAK9GHXN4IIIN, 5714812]
[paragraph, [253.0, 1159.0, 860.0, 36.0], shoonya_0sAK9GHXN4IIIN, 5714812]
[paragraph, [253.0, 1195.0, 860.0, 36.0], shoonya_0sAK9GHXN4IIIN, 5714812]
[paragraph, [253.0, 1231.0, 860.0, 36.0], shoonya_0sAK9GHXN4IIIN, 5714812]
[paragraph, [253.0, 1267.0, 860.0, 36.0], shoonya_0sAK9GHXN4IIIN, 5714812]
[paragraph, [253.0, 1303.0, 860.0, 36.0], shoonya_0sAK9GHXN4IIIN, 5714812]
[paragraph, [253.0, 1339.0, 860.0, 36.0], shoonya_0sAK9GHXN4IIIN, 5714812]
[paragraph, [253.0, 1375.0, 860.0, 36.0], shoonya_0sAK9GHXN4IIIN, 5714812]
[paragraph, [253.0, 1411.0, 860.0, 36.0], shoonya_0sAK9GHXN4IIIN, 5714812]
[paragraph, [253.0, 1447.0, 860.0, 36.0], shoonya_0sAK9GHXN4IIIN, 5714812]
