[1613, 1275]
[paragraph, [653.0, 102.0, 511.0, 36.0], V6DISKw1Jv, 5759603]
[paragraph, [653.0, 138.0, 511.0, 36.0], V6DISKw1Jv, 5759603]
[paragraph, [653.0, 174.0, 511.0, 36.0], V6DISKw1Jv, 5759603]
[paragraph, [653.0, 210.0, 511.0, 36.0], V6DISKw1Jv, 5759603]
[paragraph, [653.0, 246.0, 511.0, 36.0], V6DISKw1Jv, 5759603]
[paragraph, [653.0, 282.0, 511.0, 36.0], V6DISKw1Jv, 5759603]
[paragraph, [653.0, 318.0, 511.0, 36.0], V6DISKw1Jv, 5759603]
[paragraph, [653.0, 354.0, 511.0, 36.0], V6DISKw1Jv, 5759603]
[paragraph, [653.0, 390.0, 511.0, 36.0], V6DISKw1Jv, 5759603]
[paragraph, [653.0, 452.0, 509.0, 36.0], shoonya_0sIAXTDHRSPNZE, 5759603]
[paragraph, [653.0, 488.0, 509.0, 36.0], shoonya_0sIAXTDHRSPNZE, 5759603]
[paragraph, [653.0, 524.0, 509.0, 36.0], shoonya_0sIAXTDHRSPNZE, 5759603]
[paragraph, [653.0, 560.0, 509.0, 36.0], shoonya_0sIAXTDHRSPNZE, 5759603]
[paragraph, [653.0, 596.0, 509.0, 36.0], shoonya_0sIAXTDHRSPNZE, 5759603]
[paragraph, [653.0, 632.0, 509.0, 36.0], shoonya_0sIAXTDHRSPNZE, 5759603]
[paragraph, [653.0, 668.0, 509.0, 36.0], shoonya_0sIAXTDHRSPNZE, 5759603]
[paragraph, [653.0, 704.0, 509.0, 36.0], shoonya_0sIAXTDHRSPNZE, 5759603]
[paragraph, [653.0, 740.0, 509.0, 36.0], shoonya_0sIAXTDHRSPNZE, 5759603]
[paragraph, [653.0, 776.0, 509.0, 36.0], shoonya_0sIAXTDHRSPNZE, 5759603]
[paragraph, [653.0, 812.0, 509.0, 36.0], shoonya_0sIAXTDHRSPNZE, 5759603]
[paragraph, [653.0, 848.0, 509.0, 36.0], shoonya_0sIAXTDHRSPNZE, 5759603]
[paragraph, [653.0, 884.0, 509.0, 36.0], shoonya_0sIAXTDHRSPNZE, 5759603]
[paragraph, [653.0, 920.0, 509.0, 36.0], shoonya_0sIAXTDHRSPNZE, 5759603]
[paragraph, [653.0, 956.0, 509.0, 36.0], shoonya_0sIAXTDHRSPNZE, 5759603]
[paragraph, [653.0, 992.0, 509.0, 36.0], shoonya_0sIAXTDHRSPNZE, 5759603]
[figure-caption, [127.0, 729.0, 457.0, 36.0], shoonya_3s1ZMX0ZW9DSCJ, 5759603]
[figure-caption, [127.0, 765.0, 457.0, 36.0], shoonya_3s1ZMX0ZW9DSCJ, 5759603]
[paragraph, [116.0, 832.0, 509.0, 36.0], ei1FIXkvbB, 5759603]
[paragraph, [116.0, 868.0, 509.0, 36.0], ei1FIXkvbB, 5759603]
[paragraph, [116.0, 904.0, 509.0, 36.0], ei1FIXkvbB, 5759603]
[paragraph, [116.0, 940.0, 509.0, 36.0], ei1FIXkvbB, 5759603]
[paragraph, [116.0, 976.0, 509.0, 36.0], ei1FIXkvbB, 5759603]
[paragraph, [116.0, 1012.0, 509.0, 36.0], ei1FIXkvbB, 5759603]
[paragraph, [116.0, 1048.0, 509.0, 36.0], ei1FIXkvbB, 5759603]
[paragraph, [116.0, 1084.0, 509.0, 36.0], ei1FIXkvbB, 5759603]
[paragraph, [116.0, 1120.0, 509.0, 36.0], ei1FIXkvbB, 5759603]
[paragraph, [116.0, 1156.0, 509.0, 36.0], ei1FIXkvbB, 5759603]
[paragraph, [116.0, 1192.0, 509.0, 36.0], ei1FIXkvbB, 5759603]
[paragraph, [116.0, 1228.0, 509.0, 36.0], ei1FIXkvbB, 5759603]
[paragraph, [116.0, 1264.0, 509.0, 36.0], ei1FIXkvbB, 5759603]
[paragraph, [116.0, 1300.0, 509.0, 36.0], ei1FIXkvbB, 5759603]
[paragraph, [116.0, 1336.0, 509.0, 36.0], ei1FIXkvbB, 5759603]
[paragraph, [116.0, 1372.0, 509.0, 36.0], ei1FIXkvbB, 5759603]
[paragraph, [116.0, 1408.0, 509.0, 36.0], ei1FIXkvbB, 5759603]
[paragraph, [116.0, 1444.0, 509.0, 36.0], ei1FIXkvbB, 5759603]
[paragraph, [647.0, 1051.0, 511.0, 36.0], G0p8FESbaZ, 5759603]
[paragraph, [647.0, 1087.0, 511.0, 36.0], G0p8FESbaZ, 5759603]
[paragraph, [647.0, 1123.0, 511.0, 36.0], G0p8FESbaZ, 5759603]
[paragraph, [647.0, 1159.0, 511.0, 36.0], G0p8FESbaZ, 5759603]
[paragraph, [647.0, 1195.0, 511.0, 36.0], G0p8FESbaZ, 5759603]
[paragraph, [647.0, 1231.0, 511.0, 36.0], G0p8FESbaZ, 5759603]
[paragraph, [647.0, 1267.0, 511.0, 36.0], G0p8FESbaZ, 5759603]
[paragraph, [647.0, 1303.0, 511.0, 36.0], G0p8FESbaZ, 5759603]
[paragraph, [647.0, 1339.0, 511.0, 36.0], G0p8FESbaZ, 5759603]
[paragraph, [647.0, 1375.0, 511.0, 36.0], G0p8FESbaZ, 5759603]
[paragraph, [647.0, 1411.0, 511.0, 36.0], G0p8FESbaZ, 5759603]
[paragraph, [647.0, 1447.0, 511.0, 36.0], G0p8FESbaZ, 5759603]
