[1763, 1275]
[section-title, [175.0, 127.0, 146.0, 49.5], GFIewOV0Ur, 5712934]
[paragraph, [178.0, 181.0, 331.0, 36.0], Qlit36FtMq, 5712934]
[paragraph, [178.0, 217.0, 331.0, 36.0], Qlit36FtMq, 5712934]
[paragraph, [178.0, 253.0, 331.0, 36.0], Qlit36FtMq, 5712934]
[paragraph, [178.0, 289.0, 331.0, 36.0], Qlit36FtMq, 5712934]
[paragraph, [14.0, 397.0, 354.0, 36.0], MahH0N6cvB, 5712934]
[paragraph, [14.0, 433.0, 354.0, 36.0], MahH0N6cvB, 5712934]
[paragraph, [14.0, 469.0, 354.0, 36.0], MahH0N6cvB, 5712934]
[paragraph, [14.0, 505.0, 354.0, 36.0], MahH0N6cvB, 5712934]
[paragraph, [14.0, 541.0, 354.0, 36.0], MahH0N6cvB, 5712934]
[paragraph, [14.0, 577.0, 354.0, 36.0], MahH0N6cvB, 5712934]
[paragraph, [14.0, 613.0, 354.0, 36.0], MahH0N6cvB, 5712934]
[paragraph, [24.0, 729.0, 313.0, 36.0], nBjeL52bMR, 5712934]
[paragraph, [24.0, 765.0, 313.0, 36.0], nBjeL52bMR, 5712934]
[paragraph, [24.0, 801.0, 313.0, 36.0], nBjeL52bMR, 5712934]
[paragraph, [24.0, 837.0, 313.0, 36.0], nBjeL52bMR, 5712934]
[paragraph, [24.0, 873.0, 313.0, 36.0], nBjeL52bMR, 5712934]
[paragraph, [24.0, 909.0, 313.0, 36.0], nBjeL52bMR, 5712934]
[paragraph, [24.0, 945.0, 313.0, 36.0], nBjeL52bMR, 5712934]
[author, [233.0, 995.0, 234.0, 36.0], JayvPejRuh, 5712934]
[author, [233.0, 1031.0, 234.0, 36.0], JayvPejRuh, 5712934]
[figure-caption, [0.0, 1447.0, 170.0, 36.0], rzmynptyML, 5712934]
[figure-caption, [0.0, 1483.0, 170.0, 36.0], rzmynptyML, 5712934]
[figure-caption, [0.0, 1519.0, 170.0, 36.0], rzmynptyML, 5712934]
[figure-caption, [859.0, 1537.0, 300.0, 36.0], shoonya_4sBEPC2QYS41KE, 5712934]
[figure-caption, [859.0, 1573.0, 300.0, 36.0], shoonya_4sBEPC2QYS41KE, 5712934]
