[1074, 720]
[chapter-title, [270.0, 150.0, 198.0, 30.0], -YuXQhDHPs, 5711199]
[section-title, [285.0, 212.0, 145.0, 30.0], fcRNIGg7W9, 5711199]
[sub-section-title, [269.0, 251.0, 193.0, 25.5], K2uf9qZjnt, 5711199]
[paragraph, [71.0, 283.0, 578.0, 18.0], shoonya_1sW73W21053MYH, 5711199]
[paragraph, [71.0, 301.0, 578.0, 18.0], shoonya_1sW73W21053MYH, 5711199]
[paragraph, [71.0, 319.0, 578.0, 18.0], shoonya_1sW73W21053MYH, 5711199]
[paragraph, [71.0, 337.0, 578.0, 18.0], shoonya_1sW73W21053MYH, 5711199]
[paragraph, [71.0, 355.0, 578.0, 18.0], shoonya_1sW73W21053MYH, 5711199]
[paragraph, [67.0, 379.0, 587.0, 18.0], shoonya_4sS25Q9YYLN4S0, 5711199]
[paragraph, [67.0, 397.0, 587.0, 18.0], shoonya_4sS25Q9YYLN4S0, 5711199]
[paragraph, [67.0, 415.0, 587.0, 18.0], shoonya_4sS25Q9YYLN4S0, 5711199]
[paragraph, [67.0, 433.0, 587.0, 18.0], shoonya_4sS25Q9YYLN4S0, 5711199]
[paragraph, [67.0, 451.0, 587.0, 18.0], shoonya_4sS25Q9YYLN4S0, 5711199]
[paragraph, [67.0, 469.0, 587.0, 18.0], shoonya_4sS25Q9YYLN4S0, 5711199]
[paragraph, [67.0, 487.0, 587.0, 18.0], shoonya_4sS25Q9YYLN4S0, 5711199]
[paragraph, [67.0, 505.0, 587.0, 18.0], shoonya_4sS25Q9YYLN4S0, 5711199]
[paragraph, [67.0, 523.0, 587.0, 18.0], shoonya_4sS25Q9YYLN4S0, 5711199]
[paragraph, [67.0, 541.0, 587.0, 18.0], shoonya_4sS25Q9YYLN4S0, 5711199]
[paragraph, [67.0, 559.0, 587.0, 18.0], shoonya_4sS25Q9YYLN4S0, 5711199]
[paragraph, [67.0, 577.0, 587.0, 18.0], shoonya_4sS25Q9YYLN4S0, 5711199]
[paragraph, [66.0, 600.0, 590.0, 18.0], shoonya_0sQ0SVQH0OCZ3N, 5711199]
[paragraph, [66.0, 618.0, 590.0, 18.0], shoonya_0sQ0SVQH0OCZ3N, 5711199]
[paragraph, [66.0, 636.0, 590.0, 18.0], shoonya_0sQ0SVQH0OCZ3N, 5711199]
[paragraph, [66.0, 654.0, 590.0, 18.0], shoonya_0sQ0SVQH0OCZ3N, 5711199]
[paragraph, [66.0, 672.0, 590.0, 18.0], shoonya_0sQ0SVQH0OCZ3N, 5711199]
[paragraph, [66.0, 690.0, 590.0, 18.0], shoonya_0sQ0SVQH0OCZ3N, 5711199]
[paragraph, [70.0, 722.0, 589.0, 18.0], shoonya_2sFKHUNWPT3P14, 5711199]
[paragraph, [70.0, 740.0, 589.0, 18.0], shoonya_2sFKHUNWPT3P14, 5711199]
[paragraph, [70.0, 758.0, 589.0, 18.0], shoonya_2sFKHUNWPT3P14, 5711199]
[paragraph, [70.0, 776.0, 589.0, 18.0], shoonya_2sFKHUNWPT3P14, 5711199]
[paragraph, [70.0, 794.0, 589.0, 18.0], shoonya_2sFKHUNWPT3P14, 5711199]
[paragraph, [70.0, 812.0, 589.0, 18.0], shoonya_2sFKHUNWPT3P14, 5711199]
[paragraph, [66.0, 847.0, 595.0, 18.0], M_HnB8OewQ, 5711199]
[paragraph, [66.0, 865.0, 595.0, 18.0], M_HnB8OewQ, 5711199]
[paragraph, [66.0, 883.0, 595.0, 18.0], M_HnB8OewQ, 5711199]
[paragraph, [66.0, 901.0, 595.0, 18.0], M_HnB8OewQ, 5711199]
[paragraph, [66.0, 919.0, 595.0, 18.0], M_HnB8OewQ, 5711199]
[paragraph, [66.0, 937.0, 595.0, 18.0], M_HnB8OewQ, 5711199]
[paragraph, [66.0, 955.0, 595.0, 18.0], M_HnB8OewQ, 5711199]
[paragraph, [66.0, 973.0, 595.0, 18.0], M_HnB8OewQ, 5711199]
[paragraph, [66.0, 991.0, 595.0, 18.0], M_HnB8OewQ, 5711199]
