[591, 376]
[chapter-title, [131.0, 77.0, 129.0, 30.0], 5oKKZ5fH-y, 6495330]
[paragraph, [41.0, 147.0, 316.0, 18.0], shoonya_6sQBVBW0ZK9535, 6495330]
[paragraph, [41.0, 165.0, 316.0, 18.0], shoonya_6sQBVBW0ZK9535, 6495330]
[paragraph, [41.0, 183.0, 316.0, 18.0], shoonya_6sQBVBW0ZK9535, 6495330]
[paragraph, [41.0, 201.0, 316.0, 18.0], shoonya_6sQBVBW0ZK9535, 6495330]
[paragraph, [38.0, 235.0, 317.0, 18.0], shoonya_0sA7B4BOXW4HMV, 6495330]
[paragraph, [38.0, 253.0, 317.0, 18.0], shoonya_0sA7B4BOXW4HMV, 6495330]
[paragraph, [38.0, 271.0, 317.0, 18.0], shoonya_0sA7B4BOXW4HMV, 6495330]
[paragraph, [38.0, 289.0, 317.0, 18.0], shoonya_0sA7B4BOXW4HMV, 6495330]
[paragraph, [40.0, 320.0, 316.0, 18.0], KYGUioqqcU, 6495330]
[paragraph, [40.0, 338.0, 316.0, 18.0], KYGUioqqcU, 6495330]
[paragraph, [31.0, 368.0, 329.0, 18.0], 9h5jeJT3k3, 6495330]
[paragraph, [31.0, 386.0, 329.0, 18.0], 9h5jeJT3k3, 6495330]
[paragraph, [31.0, 404.0, 329.0, 18.0], 9h5jeJT3k3, 6495330]
[paragraph, [31.0, 422.0, 329.0, 18.0], 9h5jeJT3k3, 6495330]
[paragraph, [31.0, 440.0, 329.0, 18.0], 9h5jeJT3k3, 6495330]
[paragraph, [31.0, 458.0, 329.0, 18.0], 9h5jeJT3k3, 6495330]
[paragraph, [31.0, 476.0, 329.0, 18.0], 9h5jeJT3k3, 6495330]
[paragraph, [73.0, 508.0, 281.0, 18.0], A83YUMn7Pe, 6495330]
