[1754, 1241]
[folio, [844.0, 131.0, 162.0, 36.0], TH_h6UBoV1, 5728476]
[reference, [160.0, 186.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 222.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 258.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 294.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 330.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 366.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 402.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 438.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 474.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 510.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 546.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 582.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 618.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 654.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 690.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 726.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 762.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 798.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 834.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 870.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 906.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 942.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 978.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 1014.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 1050.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 1086.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 1122.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 1158.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 1194.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 1230.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 1266.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 1302.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 1338.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 1374.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 1410.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 1446.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
[reference, [160.0, 1482.0, 865.0, 36.0], shoonya_0sAZUF4NQHOU1W, 5728476]
