[1725, 1313]
[headline, [713.0, 467.0, 472.0, 37.5], VG3g__ish2, 5771723]
[headline, [713.0, 504.5, 472.0, 37.5], VG3g__ish2, 5771723]
[headline, [713.0, 542.0, 472.0, 37.5], VG3g__ish2, 5771723]
[headline, [713.0, 579.5, 472.0, 37.5], VG3g__ish2, 5771723]
[headline, [713.0, 617.0, 472.0, 37.5], VG3g__ish2, 5771723]
[headline, [713.0, 654.5, 472.0, 37.5], VG3g__ish2, 5771723]
[headline, [713.0, 692.0, 472.0, 37.5], VG3g__ish2, 5771723]
[headline, [713.0, 729.5, 472.0, 37.5], VG3g__ish2, 5771723]
[paragraph, [118.0, 1187.0, 532.0, 36.0], OFMjgPnEqs, 5771723]
[paragraph, [118.0, 1223.0, 532.0, 36.0], OFMjgPnEqs, 5771723]
[paragraph, [661.0, 1190.0, 529.0, 36.0], shoonya_5sVVL4DOTKRU1A, 5771723]
[paragraph, [660.0, 1262.0, 531.0, 36.0], Eal1tlhbdw, 5771723]
[paragraph, [660.0, 1298.0, 531.0, 36.0], Eal1tlhbdw, 5771723]
[paragraph, [660.0, 1334.0, 531.0, 36.0], Eal1tlhbdw, 5771723]
[paragraph, [660.0, 1370.0, 531.0, 36.0], Eal1tlhbdw, 5771723]
[paragraph, [117.0, 1299.0, 532.0, 36.0], shoonya_3sZPKH7KZ6VCZL, 5771723]
[paragraph, [117.0, 1335.0, 532.0, 36.0], shoonya_3sZPKH7KZ6VCZL, 5771723]
[paragraph, [117.0, 1371.0, 532.0, 36.0], shoonya_3sZPKH7KZ6VCZL, 5771723]
[paragraph, [117.0, 1407.0, 532.0, 36.0], shoonya_3sZPKH7KZ6VCZL, 5771723]
[paragraph, [663.0, 1430.0, 525.0, 36.0], shoonya_0sM953EHJW0ROS, 5771723]
[paragraph, [663.0, 1466.0, 525.0, 36.0], shoonya_0sM953EHJW0ROS, 5771723]
[paragraph, [663.0, 1502.0, 525.0, 36.0], shoonya_0sM953EHJW0ROS, 5771723]
[paragraph, [122.0, 1452.0, 526.0, 36.0], shoonya_2sJ82ZZ0QQATUE, 5771723]
[paragraph, [122.0, 1488.0, 526.0, 36.0], shoonya_2sJ82ZZ0QQATUE, 5771723]
[paragraph, [122.0, 1524.0, 526.0, 36.0], shoonya_2sJ82ZZ0QQATUE, 5771723]
[folio, [590.0, 1575.0, 129.0, 36.0], PJM2eUsSFL, 5771723]
