[1200, 825]
[paragraph, [143.0, 111.0, 538.0, 18.0], shoonya_3sRYSTJF1RCA22, 5690916]
[paragraph, [143.0, 129.0, 538.0, 18.0], shoonya_3sRYSTJF1RCA22, 5690916]
[paragraph, [143.0, 147.0, 538.0, 18.0], shoonya_3sRYSTJF1RCA22, 5690916]
[paragraph, [143.0, 165.0, 538.0, 18.0], shoonya_3sRYSTJF1RCA22, 5690916]
[paragraph, [143.0, 183.0, 538.0, 18.0], shoonya_3sRYSTJF1RCA22, 5690916]
[paragraph, [143.0, 201.0, 538.0, 18.0], shoonya_3sRYSTJF1RCA22, 5690916]
[paragraph, [143.0, 219.0, 538.0, 18.0], shoonya_3sRYSTJF1RCA22, 5690916]
[paragraph, [143.0, 237.0, 538.0, 18.0], shoonya_3sRYSTJF1RCA22, 5690916]
[paragraph, [143.0, 255.0, 538.0, 18.0], shoonya_3sRYSTJF1RCA22, 5690916]
[paragraph, [143.0, 273.0, 538.0, 18.0], shoonya_3sRYSTJF1RCA22, 5690916]
[paragraph, [143.0, 291.0, 538.0, 18.0], shoonya_3sRYSTJF1RCA22, 5690916]
[paragraph, [143.0, 309.0, 538.0, 18.0], shoonya_3sRYSTJF1RCA22, 5690916]
[paragraph, [143.0, 327.0, 538.0, 18.0], shoonya_3sRYSTJF1RCA22, 5690916]
[paragraph, [143.0, 345.0, 538.0, 18.0], shoonya_3sRYSTJF1RCA22, 5690916]
[paragraph, [143.0, 363.0, 538.0, 18.0], shoonya_3sRYSTJF1RCA22, 5690916]
[paragraph, [143.0, 381.0, 538.0, 18.0], shoonya_3sRYSTJF1RCA22, 5690916]
[paragraph, [143.0, 399.0, 538.0, 18.0], shoonya_3sRYSTJF1RCA22, 5690916]
[paragraph, [143.0, 431.0, 538.0, 18.0], shoonya_1s82A0UNH4CPXT, 5690916]
[paragraph, [143.0, 449.0, 538.0, 18.0], shoonya_1s82A0UNH4CPXT, 5690916]
[paragraph, [143.0, 467.0, 538.0, 18.0], shoonya_1s82A0UNH4CPXT, 5690916]
[paragraph, [143.0, 485.0, 538.0, 18.0], shoonya_1s82A0UNH4CPXT, 5690916]
[paragraph, [143.0, 503.0, 538.0, 18.0], shoonya_1s82A0UNH4CPXT, 5690916]
[paragraph, [143.0, 521.0, 538.0, 18.0], shoonya_1s82A0UNH4CPXT, 5690916]
[paragraph, [143.0, 539.0, 538.0, 18.0], shoonya_1s82A0UNH4CPXT, 5690916]
[paragraph, [143.0, 557.0, 538.0, 18.0], shoonya_1s82A0UNH4CPXT, 5690916]
[paragraph, [143.0, 575.0, 538.0, 18.0], shoonya_1s82A0UNH4CPXT, 5690916]
[paragraph, [143.0, 593.0, 538.0, 18.0], shoonya_1s82A0UNH4CPXT, 5690916]
[paragraph, [143.0, 611.0, 538.0, 18.0], shoonya_1s82A0UNH4CPXT, 5690916]
[paragraph, [143.0, 629.0, 538.0, 18.0], shoonya_1s82A0UNH4CPXT, 5690916]
[paragraph, [143.0, 647.0, 538.0, 18.0], shoonya_1s82A0UNH4CPXT, 5690916]
[paragraph, [143.0, 665.0, 538.0, 18.0], shoonya_1s82A0UNH4CPXT, 5690916]
[paragraph, [143.0, 683.0, 538.0, 18.0], shoonya_1s82A0UNH4CPXT, 5690916]
[paragraph, [143.0, 701.0, 538.0, 18.0], shoonya_1s82A0UNH4CPXT, 5690916]
[paragraph, [143.0, 719.0, 538.0, 18.0], shoonya_1s82A0UNH4CPXT, 5690916]
[paragraph, [143.0, 737.0, 538.0, 18.0], shoonya_1s82A0UNH4CPXT, 5690916]
[paragraph, [144.0, 759.0, 538.0, 18.0], shoonya_0sXH3K2AJLCQN8, 5690916]
[paragraph, [144.0, 777.0, 538.0, 18.0], shoonya_0sXH3K2AJLCQN8, 5690916]
[paragraph, [144.0, 795.0, 538.0, 18.0], shoonya_0sXH3K2AJLCQN8, 5690916]
[paragraph, [144.0, 813.0, 538.0, 18.0], shoonya_0sXH3K2AJLCQN8, 5690916]
[paragraph, [144.0, 831.0, 538.0, 18.0], shoonya_0sXH3K2AJLCQN8, 5690916]
[paragraph, [144.0, 849.0, 538.0, 18.0], shoonya_0sXH3K2AJLCQN8, 5690916]
[paragraph, [144.0, 867.0, 538.0, 18.0], shoonya_0sXH3K2AJLCQN8, 5690916]
[paragraph, [144.0, 885.0, 538.0, 18.0], shoonya_0sXH3K2AJLCQN8, 5690916]
[paragraph, [144.0, 903.0, 538.0, 18.0], shoonya_0sXH3K2AJLCQN8, 5690916]
[paragraph, [144.0, 921.0, 538.0, 18.0], shoonya_0sXH3K2AJLCQN8, 5690916]
[paragraph, [144.0, 939.0, 538.0, 18.0], shoonya_0sXH3K2AJLCQN8, 5690916]
[paragraph, [144.0, 957.0, 538.0, 18.0], shoonya_0sXH3K2AJLCQN8, 5690916]
[paragraph, [144.0, 975.0, 538.0, 18.0], shoonya_0sXH3K2AJLCQN8, 5690916]
[paragraph, [144.0, 993.0, 538.0, 18.0], shoonya_0sXH3K2AJLCQN8, 5690916]
