[1736, 1323]
[chapter-title, [192.0, 94.0, 1052.0, 58.5], shoonya_0sAVSVN1UPJG1S, 5771309]
[chapter-title, [192.0, 152.5, 1052.0, 58.5], shoonya_0sAVSVN1UPJG1S, 5771309]
[chapter-title, [192.0, 211.0, 1052.0, 58.5], shoonya_0sAVSVN1UPJG1S, 5771309]
[author, [839.0, 279.0, 367.0, 36.0], CP855TM3bl, 5771309]
[author, [839.0, 315.0, 367.0, 36.0], CP855TM3bl, 5771309]
[paragraph, [124.0, 291.0, 533.0, 36.0], jPD8UM2hzG, 5771309]
[paragraph, [124.0, 327.0, 533.0, 36.0], jPD8UM2hzG, 5771309]
[paragraph, [660.0, 371.0, 554.0, 36.0], EdkQk_GgZi, 5771309]
[paragraph, [125.0, 377.0, 536.0, 36.0], 1f04hD7U6I, 5771309]
[paragraph, [124.0, 445.0, 539.0, 36.0], 7yfDVDFw1W, 5771309]
[paragraph, [124.0, 481.0, 539.0, 36.0], 7yfDVDFw1W, 5771309]
[paragraph, [662.0, 472.0, 539.0, 36.0], muvFNC8I17, 5771309]
[paragraph, [662.0, 508.0, 539.0, 36.0], muvFNC8I17, 5771309]
[paragraph, [127.0, 543.0, 533.0, 36.0], UhAfZUddY3, 5771309]
[paragraph, [127.0, 579.0, 533.0, 36.0], UhAfZUddY3, 5771309]
[paragraph, [127.0, 615.0, 533.0, 36.0], UhAfZUddY3, 5771309]
[paragraph, [814.0, 564.0, 405.0, 36.0], zNQwg1_uOB, 5771309]
[paragraph, [122.0, 702.0, 432.0, 36.0], MG0TlVeCYE, 5771309]
[paragraph, [122.0, 738.0, 432.0, 36.0], MG0TlVeCYE, 5771309]
[paragraph, [122.0, 774.0, 432.0, 36.0], MG0TlVeCYE, 5771309]
[paragraph, [122.0, 810.0, 432.0, 36.0], MG0TlVeCYE, 5771309]
[paragraph, [117.0, 861.0, 536.0, 36.0], ludb_xgMX9, 5771309]
[paragraph, [117.0, 897.0, 536.0, 36.0], ludb_xgMX9, 5771309]
[paragraph, [117.0, 933.0, 536.0, 36.0], ludb_xgMX9, 5771309]
[paragraph, [117.0, 969.0, 536.0, 36.0], ludb_xgMX9, 5771309]
[paragraph, [117.0, 1005.0, 536.0, 36.0], ludb_xgMX9, 5771309]
[paragraph, [117.0, 1048.0, 392.0, 36.0], lEDy4Gblbk, 5771309]
[paragraph, [115.0, 1144.0, 548.0, 36.0], mft1eNXzfJ, 5771309]
[paragraph, [115.0, 1180.0, 548.0, 36.0], mft1eNXzfJ, 5771309]
[paragraph, [115.0, 1216.0, 548.0, 36.0], mft1eNXzfJ, 5771309]
[paragraph, [115.0, 1252.0, 548.0, 36.0], mft1eNXzfJ, 5771309]
[paragraph, [115.0, 1288.0, 548.0, 36.0], mft1eNXzfJ, 5771309]
[paragraph, [115.0, 1324.0, 548.0, 36.0], mft1eNXzfJ, 5771309]
[paragraph, [115.0, 1360.0, 548.0, 36.0], mft1eNXzfJ, 5771309]
[paragraph, [115.0, 1429.0, 516.0, 36.0], djwP_XsKtR, 5771309]
[paragraph, [115.0, 1465.0, 516.0, 36.0], djwP_XsKtR, 5771309]
[paragraph, [115.0, 1501.0, 516.0, 36.0], djwP_XsKtR, 5771309]
[folio, [574.0, 1576.0, 188.0, 36.0], AvtsbWsTUJ, 5771309]
[folio, [66.0, 1691.0, 168.0, 36.0], cHjNv6Ipha, 5771309]
