[1862, 1450]
[folio, [1119.0, 161.0, 137.0, 36.0], Lg22ZOKNkT, 5771383]
[paragraph, [184.0, 201.0, 266.0, 36.0], shoonya_3sDZNA3XC8B64Q, 5771383]
[paragraph, [184.0, 237.0, 266.0, 36.0], shoonya_3sDZNA3XC8B64Q, 5771383]
[paragraph, [184.0, 273.0, 266.0, 36.0], shoonya_3sDZNA3XC8B64Q, 5771383]
[paragraph, [184.0, 309.0, 266.0, 36.0], shoonya_3sDZNA3XC8B64Q, 5771383]
[paragraph, [184.0, 345.0, 266.0, 36.0], shoonya_3sDZNA3XC8B64Q, 5771383]
[paragraph, [184.0, 381.0, 266.0, 36.0], shoonya_3sDZNA3XC8B64Q, 5771383]
[sidebar, [448.0, 210.0, 800.0, 36.0], PwNVlTsC4S, 5771383]
[sidebar, [448.0, 246.0, 800.0, 36.0], PwNVlTsC4S, 5771383]
[sidebar, [448.0, 282.0, 800.0, 36.0], PwNVlTsC4S, 5771383]
[sidebar, [448.0, 318.0, 800.0, 36.0], PwNVlTsC4S, 5771383]
[sidebar, [448.0, 354.0, 800.0, 36.0], PwNVlTsC4S, 5771383]
[paragraph, [731.0, 408.0, 526.0, 36.0], shoonya_9sUSIFUJM371I8, 5771383]
[paragraph, [181.0, 444.0, 536.0, 36.0], shoonya_0sS5XKFPU285O8, 5771383]
[paragraph, [181.0, 480.0, 536.0, 36.0], shoonya_0sS5XKFPU285O8, 5771383]
[paragraph, [181.0, 516.0, 536.0, 36.0], shoonya_0sS5XKFPU285O8, 5771383]
[paragraph, [181.0, 552.0, 536.0, 36.0], shoonya_0sS5XKFPU285O8, 5771383]
[paragraph, [181.0, 588.0, 536.0, 36.0], shoonya_0sS5XKFPU285O8, 5771383]
[paragraph, [181.0, 624.0, 536.0, 36.0], shoonya_0sS5XKFPU285O8, 5771383]
[paragraph, [181.0, 660.0, 536.0, 36.0], shoonya_0sS5XKFPU285O8, 5771383]
[paragraph, [181.0, 696.0, 536.0, 36.0], shoonya_0sS5XKFPU285O8, 5771383]
[paragraph, [730.0, 467.0, 529.0, 36.0], shoonya_8sRSDWMFU5W6OH, 5771383]
[paragraph, [730.0, 503.0, 529.0, 36.0], shoonya_8sRSDWMFU5W6OH, 5771383]
[paragraph, [730.0, 539.0, 529.0, 36.0], shoonya_8sRSDWMFU5W6OH, 5771383]
[paragraph, [730.0, 575.0, 529.0, 36.0], shoonya_8sRSDWMFU5W6OH, 5771383]
[paragraph, [729.0, 612.0, 527.0, 36.0], shoonya_13sZJWLHYD56A1, 5771383]
[paragraph, [730.0, 672.0, 526.0, 36.0], shoonya_2sLOTFVUSALQGA, 5771383]
[paragraph, [730.0, 708.0, 526.0, 36.0], shoonya_2sLOTFVUSALQGA, 5771383]
[paragraph, [730.0, 744.0, 526.0, 36.0], shoonya_2sLOTFVUSALQGA, 5771383]
[paragraph, [730.0, 780.0, 526.0, 36.0], shoonya_2sLOTFVUSALQGA, 5771383]
[paragraph, [730.0, 816.0, 526.0, 36.0], shoonya_2sLOTFVUSALQGA, 5771383]
[paragraph, [730.0, 852.0, 526.0, 36.0], shoonya_2sLOTFVUSALQGA, 5771383]
[paragraph, [182.0, 756.0, 526.0, 36.0], shoonya_10sOPA17XYLVVP, 5771383]
[paragraph, [182.0, 792.0, 526.0, 36.0], shoonya_10sOPA17XYLVVP, 5771383]
[paragraph, [182.0, 828.0, 526.0, 36.0], shoonya_10sOPA17XYLVVP, 5771383]
[paragraph, [182.0, 864.0, 526.0, 36.0], shoonya_10sOPA17XYLVVP, 5771383]
[paragraph, [182.0, 900.0, 526.0, 36.0], shoonya_10sOPA17XYLVVP, 5771383]
[paragraph, [182.0, 936.0, 526.0, 36.0], shoonya_10sOPA17XYLVVP, 5771383]
[paragraph, [732.0, 905.0, 521.0, 36.0], shoonya_1sHTF2E2PXNO48, 5771383]
[paragraph, [732.0, 941.0, 521.0, 36.0], shoonya_1sHTF2E2PXNO48, 5771383]
[paragraph, [732.0, 977.0, 521.0, 36.0], shoonya_1sHTF2E2PXNO48, 5771383]
[paragraph, [732.0, 1013.0, 521.0, 36.0], shoonya_1sHTF2E2PXNO48, 5771383]
[paragraph, [732.0, 1049.0, 521.0, 36.0], shoonya_1sHTF2E2PXNO48, 5771383]
[paragraph, [732.0, 1085.0, 521.0, 36.0], shoonya_1sHTF2E2PXNO48, 5771383]
[paragraph, [732.0, 1121.0, 521.0, 36.0], shoonya_1sHTF2E2PXNO48, 5771383]
[paragraph, [732.0, 1157.0, 521.0, 36.0], shoonya_1sHTF2E2PXNO48, 5771383]
[paragraph, [191.0, 999.0, 523.0, 36.0], shoonya_7sNWZDDH7S3BZ5, 5771383]
[paragraph, [191.0, 1035.0, 523.0, 36.0], shoonya_7sNWZDDH7S3BZ5, 5771383]
[paragraph, [191.0, 1071.0, 523.0, 36.0], shoonya_7sNWZDDH7S3BZ5, 5771383]
[paragraph, [189.0, 1113.0, 527.0, 36.0], shoonya_11sWLUZHIL7PO6, 5771383]
[paragraph, [189.0, 1149.0, 527.0, 36.0], shoonya_11sWLUZHIL7PO6, 5771383]
[paragraph, [191.0, 1204.0, 524.0, 36.0], shoonya_6sV1SRMWA65VBU, 5771383]
[paragraph, [191.0, 1240.0, 524.0, 36.0], shoonya_6sV1SRMWA65VBU, 5771383]
[paragraph, [191.0, 1276.0, 524.0, 36.0], shoonya_6sV1SRMWA65VBU, 5771383]
[paragraph, [191.0, 1312.0, 524.0, 36.0], shoonya_6sV1SRMWA65VBU, 5771383]
[quote, [920.0, 1249.0, 322.0, 36.0], kDfOHxwtiB, 5771383]
[quote, [920.0, 1285.0, 322.0, 36.0], kDfOHxwtiB, 5771383]
[quote, [920.0, 1321.0, 322.0, 36.0], kDfOHxwtiB, 5771383]
[quote, [920.0, 1357.0, 322.0, 36.0], kDfOHxwtiB, 5771383]
[paragraph, [188.0, 1350.0, 528.0, 36.0], shoonya_5sS2Q1RMGCJM4O, 5771383]
[paragraph, [188.0, 1386.0, 528.0, 36.0], shoonya_5sS2Q1RMGCJM4O, 5771383]
[paragraph, [188.0, 1422.0, 528.0, 36.0], shoonya_5sS2Q1RMGCJM4O, 5771383]
[paragraph, [188.0, 1458.0, 528.0, 36.0], shoonya_5sS2Q1RMGCJM4O, 5771383]
[paragraph, [188.0, 1494.0, 528.0, 36.0], shoonya_5sS2Q1RMGCJM4O, 5771383]
[paragraph, [188.0, 1530.0, 528.0, 36.0], shoonya_5sS2Q1RMGCJM4O, 5771383]
[folio, [137.0, 1742.0, 304.0, 36.0], F-rX5BpFa2, 5771383]
