[2339, 1653]
[paragraph, [442.0, 244.0, 962.0, 36.0], OKyeXgJsoo, 5686125]
[paragraph, [442.0, 280.0, 962.0, 36.0], OKyeXgJsoo, 5686125]
[paragraph, [442.0, 316.0, 962.0, 36.0], OKyeXgJsoo, 5686125]
[paragraph, [250.0, 390.0, 1148.0, 36.0], sbZl1_E0U4, 5686125]
[paragraph, [250.0, 426.0, 1148.0, 36.0], sbZl1_E0U4, 5686125]
[paragraph, [250.0, 462.0, 1148.0, 36.0], sbZl1_E0U4, 5686125]
[paragraph, [250.0, 498.0, 1148.0, 36.0], sbZl1_E0U4, 5686125]
[paragraph, [250.0, 534.0, 1148.0, 36.0], sbZl1_E0U4, 5686125]
[paragraph, [250.0, 570.0, 1148.0, 36.0], sbZl1_E0U4, 5686125]
[paragraph, [250.0, 606.0, 1148.0, 36.0], sbZl1_E0U4, 5686125]
[section-title, [244.0, 729.0, 368.0, 52.5], shoonya_4sLKLVRAVQKBVT, 5686125]
[paragraph, [245.0, 796.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[paragraph, [245.0, 832.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[paragraph, [245.0, 868.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[paragraph, [245.0, 904.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[paragraph, [245.0, 940.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[paragraph, [245.0, 976.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[paragraph, [245.0, 1012.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[paragraph, [245.0, 1048.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[paragraph, [245.0, 1084.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[paragraph, [245.0, 1120.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[paragraph, [245.0, 1156.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[paragraph, [245.0, 1192.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[paragraph, [245.0, 1228.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[paragraph, [245.0, 1264.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[paragraph, [245.0, 1300.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[paragraph, [245.0, 1336.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[paragraph, [245.0, 1372.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[paragraph, [245.0, 1408.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[paragraph, [245.0, 1444.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[paragraph, [245.0, 1480.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[paragraph, [245.0, 1516.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[paragraph, [245.0, 1552.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[paragraph, [245.0, 1588.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[paragraph, [245.0, 1624.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[paragraph, [245.0, 1660.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[paragraph, [245.0, 1696.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[paragraph, [245.0, 1732.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[paragraph, [245.0, 1768.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[paragraph, [245.0, 1804.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[paragraph, [245.0, 1840.0, 1154.0, 36.0], shoonya_0s2YUP7V0AQDTT, 5686125]
[reference, [252.0, 1984.0, 820.0, 36.0], shoonya_3s0AGPVJYVN4SC, 5686125]
[reference, [252.0, 2020.0, 820.0, 36.0], shoonya_3s0AGPVJYVN4SC, 5686125]
[reference, [252.0, 2056.0, 820.0, 36.0], shoonya_3s0AGPVJYVN4SC, 5686125]
