[2200, 1700]
[headline, [536.0, 583.0, 629.0, 67.5], shoonya_0s5HG7ZKTV2S9O, 5752738]
[headline, [536.0, 650.5, 629.0, 67.5], shoonya_0s5HG7ZKTV2S9O, 5752738]
[headline, [536.0, 718.0, 629.0, 67.5], shoonya_0s5HG7ZKTV2S9O, 5752738]
[headline, [536.0, 785.5, 629.0, 67.5], shoonya_0s5HG7ZKTV2S9O, 5752738]
[paragraph, [565.0, 904.0, 567.0, 36.0], 8bdwGZvm33, 5752738]
[paragraph, [565.0, 940.0, 567.0, 36.0], 8bdwGZvm33, 5752738]
[paragraph, [639.0, 993.0, 412.0, 36.0], F8g937fxyu, 5752738]
[paragraph, [639.0, 1029.0, 412.0, 36.0], F8g937fxyu, 5752738]
[paragraph, [144.0, 1127.0, 208.0, 36.0], UXxZu2mtSA, 5752738]
[paragraph, [144.0, 1210.0, 1436.0, 36.0], 7aA9YHdD7f, 5752738]
[paragraph, [144.0, 1246.0, 1436.0, 36.0], 7aA9YHdD7f, 5752738]
[paragraph, [144.0, 1282.0, 1436.0, 36.0], 7aA9YHdD7f, 5752738]
[paragraph, [144.0, 1318.0, 1436.0, 36.0], 7aA9YHdD7f, 5752738]
[paragraph, [144.0, 1354.0, 1436.0, 36.0], 7aA9YHdD7f, 5752738]
[paragraph, [144.0, 1390.0, 1436.0, 36.0], 7aA9YHdD7f, 5752738]
[paragraph, [142.0, 1444.0, 1432.0, 36.0], yNQwEYQS3b, 5752738]
[paragraph, [142.0, 1480.0, 1432.0, 36.0], yNQwEYQS3b, 5752738]
[paragraph, [142.0, 1516.0, 1432.0, 36.0], yNQwEYQS3b, 5752738]
[paragraph, [142.0, 1552.0, 1432.0, 36.0], yNQwEYQS3b, 5752738]
[paragraph, [142.0, 1588.0, 1432.0, 36.0], yNQwEYQS3b, 5752738]
[paragraph, [142.0, 1624.0, 1432.0, 36.0], yNQwEYQS3b, 5752738]
[paragraph, [142.0, 1660.0, 1432.0, 36.0], yNQwEYQS3b, 5752738]
[paragraph, [142.0, 1696.0, 1432.0, 36.0], yNQwEYQS3b, 5752738]
[paragraph, [142.0, 1732.0, 1432.0, 36.0], yNQwEYQS3b, 5752738]
[paragraph, [142.0, 1768.0, 1432.0, 36.0], yNQwEYQS3b, 5752738]
[paragraph, [1459.0, 1843.0, 108.0, 36.0], _SRkJcQZFr, 5752738]
[author, [1374.0, 1894.0, 191.0, 36.0], K7K3QliPbb, 5752738]
[contact-info, [1234.0, 1943.0, 333.0, 36.0], Dwpldf30bO, 5752738]
