[1787, 1218]
[chapter-title, [380.0, 236.0, 454.0, 58.5], shoonya_1sWLYBFAT6EJDB, 5651521]
[author, [883.0, 342.0, 222.0, 36.0], fGQuDNkB6J, 5651521]
[paragraph, [102.0, 436.0, 1010.0, 36.0], shoonya_0sAAQ712IU9GVJ, 5651521]
[paragraph, [102.0, 472.0, 1010.0, 36.0], shoonya_0sAAQ712IU9GVJ, 5651521]
[paragraph, [100.0, 517.0, 1012.0, 36.0], jASmCY3C2E, 5651521]
[paragraph, [100.0, 553.0, 1012.0, 36.0], jASmCY3C2E, 5651521]
[paragraph, [165.0, 603.0, 779.0, 36.0], tAM1i53TLJ, 5651521]
[paragraph, [98.0, 642.0, 1010.0, 36.0], UmToMxSC9v, 5651521]
[paragraph, [98.0, 678.0, 1010.0, 36.0], UmToMxSC9v, 5651521]
[paragraph, [98.0, 714.0, 1010.0, 36.0], UmToMxSC9v, 5651521]
[paragraph, [98.0, 750.0, 1010.0, 36.0], UmToMxSC9v, 5651521]
[paragraph, [98.0, 786.0, 1010.0, 36.0], UmToMxSC9v, 5651521]
[paragraph, [98.0, 822.0, 1010.0, 36.0], UmToMxSC9v, 5651521]
[paragraph, [98.0, 858.0, 1010.0, 36.0], UmToMxSC9v, 5651521]
[paragraph, [105.0, 891.0, 1003.0, 36.0], j5VJsSI-B-, 5651521]
[paragraph, [105.0, 927.0, 1003.0, 36.0], j5VJsSI-B-, 5651521]
[paragraph, [103.0, 970.0, 1001.0, 36.0], 18d4_7To9q, 5651521]
[paragraph, [103.0, 1006.0, 1001.0, 36.0], 18d4_7To9q, 5651521]
[paragraph, [108.0, 1055.0, 1000.0, 36.0], lNUlS_UVFe, 5651521]
[paragraph, [108.0, 1091.0, 1000.0, 36.0], lNUlS_UVFe, 5651521]
[paragraph, [103.0, 1138.0, 1003.0, 36.0], 3QAb6igwJR, 5651521]
[paragraph, [103.0, 1174.0, 1003.0, 36.0], 3QAb6igwJR, 5651521]
[paragraph, [105.0, 1220.0, 1007.0, 36.0], vtK7HJ54uV, 5651521]
[paragraph, [105.0, 1256.0, 1007.0, 36.0], vtK7HJ54uV, 5651521]
[paragraph, [111.0, 1302.0, 1006.0, 36.0], StWtWYPQiz, 5651521]
[paragraph, [111.0, 1338.0, 1006.0, 36.0], StWtWYPQiz, 5651521]
[paragraph, [108.0, 1386.0, 1007.0, 36.0], 8nqtV6s8NW, 5651521]
[paragraph, [108.0, 1422.0, 1007.0, 36.0], 8nqtV6s8NW, 5651521]
[paragraph, [106.0, 1471.0, 1006.0, 36.0], jDQKhmQGKK, 5651521]
[paragraph, [106.0, 1507.0, 1006.0, 36.0], jDQKhmQGKK, 5651521]
[paragraph, [106.0, 1543.0, 1006.0, 36.0], jDQKhmQGKK, 5651521]
[footnote, [458.0, 1625.0, 226.0, 36.0], H4eFUq9yy6, 5651521]
