[1418, 1064]
[ordered-list, [73.0, 97.0, 920.0, 18.0], Sd18yj4yTX, 6477332]
[ordered-list, [73.0, 115.0, 920.0, 18.0], Sd18yj4yTX, 6477332]
[ordered-list, [73.0, 133.0, 920.0, 18.0], Sd18yj4yTX, 6477332]
[ordered-list, [73.0, 151.0, 920.0, 18.0], Sd18yj4yTX, 6477332]
[ordered-list, [73.0, 169.0, 920.0, 18.0], Sd18yj4yTX, 6477332]
[ordered-list, [73.0, 187.0, 920.0, 18.0], Sd18yj4yTX, 6477332]
[ordered-list, [73.0, 205.0, 920.0, 18.0], Sd18yj4yTX, 6477332]
[ordered-list, [73.0, 223.0, 920.0, 18.0], Sd18yj4yTX, 6477332]
[ordered-list, [73.0, 241.0, 920.0, 18.0], Sd18yj4yTX, 6477332]
[ordered-list, [73.0, 259.0, 920.0, 18.0], Sd18yj4yTX, 6477332]
[ordered-list, [73.0, 277.0, 920.0, 18.0], Sd18yj4yTX, 6477332]
[ordered-list, [73.0, 295.0, 920.0, 18.0], Sd18yj4yTX, 6477332]
[ordered-list, [73.0, 313.0, 920.0, 18.0], Sd18yj4yTX, 6477332]
[ordered-list, [73.0, 331.0, 920.0, 18.0], Sd18yj4yTX, 6477332]
[ordered-list, [73.0, 349.0, 920.0, 18.0], Sd18yj4yTX, 6477332]
[ordered-list, [73.0, 367.0, 920.0, 18.0], Sd18yj4yTX, 6477332]
[ordered-list, [73.0, 385.0, 920.0, 18.0], Sd18yj4yTX, 6477332]
[ordered-list, [73.0, 403.0, 920.0, 18.0], Sd18yj4yTX, 6477332]
[ordered-list, [73.0, 421.0, 920.0, 18.0], Sd18yj4yTX, 6477332]
[ordered-list, [73.0, 439.0, 920.0, 18.0], Sd18yj4yTX, 6477332]
[ordered-list, [73.0, 457.0, 920.0, 18.0], Sd18yj4yTX, 6477332]
[ordered-list, [73.0, 475.0, 920.0, 18.0], Sd18yj4yTX, 6477332]
[ordered-list, [73.0, 493.0, 920.0, 18.0], Sd18yj4yTX, 6477332]
[ordered-list, [73.0, 511.0, 920.0, 18.0], Sd18yj4yTX, 6477332]
[ordered-list, [73.0, 529.0, 920.0, 18.0], Sd18yj4yTX, 6477332]
[ordered-list, [73.0, 547.0, 920.0, 18.0], Sd18yj4yTX, 6477332]
[ordered-list, [73.0, 565.0, 920.0, 18.0], Sd18yj4yTX, 6477332]
[ordered-list, [73.0, 583.0, 920.0, 18.0], Sd18yj4yTX, 6477332]
[ordered-list, [73.0, 601.0, 920.0, 18.0], Sd18yj4yTX, 6477332]
