[1601, 1158]
[headline, [128.0, 721.0, 886.0, 37.5], shoonya_3sFOP7W7JVKH1K, 5695803]
[paragraph, [104.0, 836.0, 468.0, 36.0], shoonya_0sN206LDULWBBU, 5695803]
[paragraph, [104.0, 872.0, 468.0, 36.0], shoonya_0sN206LDULWBBU, 5695803]
[paragraph, [104.0, 908.0, 468.0, 36.0], shoonya_0sN206LDULWBBU, 5695803]
[paragraph, [104.0, 944.0, 468.0, 36.0], shoonya_0sN206LDULWBBU, 5695803]
[paragraph, [104.0, 980.0, 468.0, 36.0], shoonya_0sN206LDULWBBU, 5695803]
[paragraph, [104.0, 1016.0, 468.0, 36.0], shoonya_0sN206LDULWBBU, 5695803]
[paragraph, [104.0, 1052.0, 468.0, 36.0], shoonya_0sN206LDULWBBU, 5695803]
[paragraph, [104.0, 1088.0, 468.0, 36.0], shoonya_0sN206LDULWBBU, 5695803]
[paragraph, [104.0, 1124.0, 468.0, 36.0], shoonya_0sN206LDULWBBU, 5695803]
[paragraph, [104.0, 1160.0, 468.0, 36.0], shoonya_0sN206LDULWBBU, 5695803]
[paragraph, [104.0, 1196.0, 468.0, 36.0], shoonya_0sN206LDULWBBU, 5695803]
[paragraph, [104.0, 1232.0, 468.0, 36.0], shoonya_0sN206LDULWBBU, 5695803]
[paragraph, [104.0, 1268.0, 468.0, 36.0], shoonya_0sN206LDULWBBU, 5695803]
[paragraph, [104.0, 1304.0, 468.0, 36.0], shoonya_0sN206LDULWBBU, 5695803]
[paragraph, [104.0, 1340.0, 468.0, 36.0], shoonya_0sN206LDULWBBU, 5695803]
[paragraph, [580.0, 844.0, 458.0, 36.0], shoonya_4sCWBNL3GEQRHQ, 5695803]
[paragraph, [580.0, 880.0, 458.0, 36.0], shoonya_4sCWBNL3GEQRHQ, 5695803]
[paragraph, [580.0, 916.0, 458.0, 36.0], shoonya_4sCWBNL3GEQRHQ, 5695803]
[paragraph, [579.0, 977.0, 463.0, 36.0], shoonya_6s1NGMMHY25EHA, 5695803]
[paragraph, [579.0, 1013.0, 463.0, 36.0], shoonya_6s1NGMMHY25EHA, 5695803]
[paragraph, [579.0, 1049.0, 463.0, 36.0], shoonya_6s1NGMMHY25EHA, 5695803]
[paragraph, [579.0, 1085.0, 463.0, 36.0], shoonya_6s1NGMMHY25EHA, 5695803]
[paragraph, [581.0, 1143.0, 464.0, 36.0], shoonya_2s7G4R2EB336M0, 5695803]
[paragraph, [581.0, 1179.0, 464.0, 36.0], shoonya_2s7G4R2EB336M0, 5695803]
[paragraph, [581.0, 1215.0, 464.0, 36.0], shoonya_2s7G4R2EB336M0, 5695803]
[paragraph, [581.0, 1251.0, 464.0, 36.0], shoonya_2s7G4R2EB336M0, 5695803]
[paragraph, [581.0, 1287.0, 464.0, 36.0], shoonya_2s7G4R2EB336M0, 5695803]
[paragraph, [581.0, 1323.0, 464.0, 36.0], shoonya_2s7G4R2EB336M0, 5695803]
[paragraph, [581.0, 1359.0, 464.0, 36.0], shoonya_2s7G4R2EB336M0, 5695803]
[paragraph, [581.0, 1395.0, 464.0, 36.0], shoonya_2s7G4R2EB336M0, 5695803]
[paragraph, [109.0, 1383.0, 467.0, 36.0], AmF6Zux9xu, 5695803]
[paragraph, [109.0, 1419.0, 467.0, 36.0], AmF6Zux9xu, 5695803]
[folio, [506.0, 1478.0, 96.0, 36.0], FY3sqKvr7p, 5695803]
