[2339, 1654]
[headline, [291.0, 180.0, 1047.0, 67.5], shoonya_0sLWSYO5O6BX14, 5753034]
[headline, [291.0, 247.5, 1047.0, 67.5], shoonya_0sLWSYO5O6BX14, 5753034]
[headline, [291.0, 315.0, 1047.0, 67.5], shoonya_0sLWSYO5O6BX14, 5753034]
[headline, [291.0, 382.5, 1047.0, 67.5], shoonya_0sLWSYO5O6BX14, 5753034]
[headline, [291.0, 450.0, 1047.0, 67.5], shoonya_0sLWSYO5O6BX14, 5753034]
[paragraph, [164.0, 664.0, 1267.0, 36.0], shoonya_3sW3CEET1F7BQV, 5753034]
[paragraph, [164.0, 700.0, 1267.0, 36.0], shoonya_3sW3CEET1F7BQV, 5753034]
[paragraph, [164.0, 736.0, 1267.0, 36.0], shoonya_3sW3CEET1F7BQV, 5753034]
[paragraph, [164.0, 772.0, 1267.0, 36.0], shoonya_3sW3CEET1F7BQV, 5753034]
[paragraph, [164.0, 808.0, 1267.0, 36.0], shoonya_3sW3CEET1F7BQV, 5753034]
[paragraph, [164.0, 844.0, 1267.0, 36.0], shoonya_3sW3CEET1F7BQV, 5753034]
[paragraph, [164.0, 880.0, 1267.0, 36.0], shoonya_3sW3CEET1F7BQV, 5753034]
[paragraph, [164.0, 916.0, 1267.0, 36.0], shoonya_3sW3CEET1F7BQV, 5753034]
[paragraph, [164.0, 952.0, 1267.0, 36.0], shoonya_3sW3CEET1F7BQV, 5753034]
[paragraph, [164.0, 988.0, 1267.0, 36.0], shoonya_3sW3CEET1F7BQV, 5753034]
[paragraph, [164.0, 1024.0, 1267.0, 36.0], shoonya_3sW3CEET1F7BQV, 5753034]
[paragraph, [164.0, 1060.0, 1267.0, 36.0], shoonya_3sW3CEET1F7BQV, 5753034]
[paragraph, [164.0, 1096.0, 1267.0, 36.0], shoonya_3sW3CEET1F7BQV, 5753034]
[paragraph, [164.0, 1132.0, 1267.0, 36.0], shoonya_3sW3CEET1F7BQV, 5753034]
[paragraph, [164.0, 1168.0, 1267.0, 36.0], shoonya_3sW3CEET1F7BQV, 5753034]
[paragraph, [164.0, 1204.0, 1267.0, 36.0], shoonya_3sW3CEET1F7BQV, 5753034]
[paragraph, [164.0, 1240.0, 1267.0, 36.0], shoonya_3sW3CEET1F7BQV, 5753034]
[paragraph, [164.0, 1276.0, 1267.0, 36.0], shoonya_3sW3CEET1F7BQV, 5753034]
[paragraph, [164.0, 1312.0, 1267.0, 36.0], shoonya_3sW3CEET1F7BQV, 5753034]
[paragraph, [164.0, 1348.0, 1267.0, 36.0], shoonya_3sW3CEET1F7BQV, 5753034]
[paragraph, [164.0, 1384.0, 1267.0, 36.0], shoonya_3sW3CEET1F7BQV, 5753034]
[paragraph, [164.0, 1420.0, 1267.0, 36.0], shoonya_3sW3CEET1F7BQV, 5753034]
[paragraph, [164.0, 1456.0, 1267.0, 36.0], shoonya_3sW3CEET1F7BQV, 5753034]
[paragraph, [164.0, 1492.0, 1267.0, 36.0], shoonya_3sW3CEET1F7BQV, 5753034]
[paragraph, [164.0, 1528.0, 1267.0, 36.0], shoonya_3sW3CEET1F7BQV, 5753034]
[paragraph, [164.0, 1564.0, 1267.0, 36.0], shoonya_3sW3CEET1F7BQV, 5753034]
[paragraph, [208.0, 1743.0, 1147.0, 36.0], shoonya_1sLCHKGMNBX99H, 5753034]
[paragraph, [208.0, 1779.0, 1147.0, 36.0], shoonya_1sLCHKGMNBX99H, 5753034]
[paragraph, [208.0, 1815.0, 1147.0, 36.0], shoonya_1sLCHKGMNBX99H, 5753034]
[paragraph, [208.0, 1851.0, 1147.0, 36.0], shoonya_1sLCHKGMNBX99H, 5753034]
[website-link, [585.0, 2028.0, 604.0, 18.0], yxeE0LRK58, 5753034]
[website-link, [585.0, 2046.0, 604.0, 18.0], yxeE0LRK58, 5753034]
[website-link, [585.0, 2064.0, 604.0, 18.0], yxeE0LRK58, 5753034]
[website-link, [585.0, 2082.0, 604.0, 18.0], yxeE0LRK58, 5753034]
