[842, 595]
[sub-headline, [228.0, 93.0, 145.0, 25.5], k8msk51WIj, 5689203]
[sidebar, [244.0, 230.0, 118.0, 18.0], XOXdM7hMa-, 5689203]
[ordered-list, [73.0, 259.0, 421.0, 18.0], AfBM_Tk-6O, 5689203]
[ordered-list, [73.0, 277.0, 421.0, 18.0], AfBM_Tk-6O, 5689203]
[ordered-list, [73.0, 295.0, 421.0, 18.0], AfBM_Tk-6O, 5689203]
[ordered-list, [73.0, 313.0, 421.0, 18.0], AfBM_Tk-6O, 5689203]
[ordered-list, [73.0, 331.0, 421.0, 18.0], AfBM_Tk-6O, 5689203]
[ordered-list, [73.0, 349.0, 421.0, 18.0], AfBM_Tk-6O, 5689203]
[ordered-list, [73.0, 367.0, 421.0, 18.0], AfBM_Tk-6O, 5689203]
[ordered-list, [73.0, 385.0, 421.0, 18.0], AfBM_Tk-6O, 5689203]
[ordered-list, [73.0, 403.0, 421.0, 18.0], AfBM_Tk-6O, 5689203]
[ordered-list, [73.0, 421.0, 421.0, 18.0], AfBM_Tk-6O, 5689203]
[ordered-list, [73.0, 439.0, 421.0, 18.0], AfBM_Tk-6O, 5689203]
[ordered-list, [73.0, 457.0, 421.0, 18.0], AfBM_Tk-6O, 5689203]
[ordered-list, [73.0, 475.0, 421.0, 18.0], AfBM_Tk-6O, 5689203]
[ordered-list, [73.0, 493.0, 421.0, 18.0], AfBM_Tk-6O, 5689203]
[ordered-list, [73.0, 511.0, 421.0, 18.0], AfBM_Tk-6O, 5689203]
[ordered-list, [73.0, 529.0, 421.0, 18.0], AfBM_Tk-6O, 5689203]
[ordered-list, [73.0, 547.0, 421.0, 18.0], AfBM_Tk-6O, 5689203]
[ordered-list, [73.0, 565.0, 421.0, 18.0], AfBM_Tk-6O, 5689203]
[ordered-list, [73.0, 583.0, 421.0, 18.0], AfBM_Tk-6O, 5689203]
[ordered-list, [73.0, 601.0, 421.0, 18.0], AfBM_Tk-6O, 5689203]
[ordered-list, [73.0, 619.0, 421.0, 18.0], AfBM_Tk-6O, 5689203]
[ordered-list, [85.0, 736.0, 461.0, 18.0], 0zDy7PhfLx, 5689203]
[ordered-list, [85.0, 754.0, 461.0, 18.0], 0zDy7PhfLx, 5689203]
