[792, 612]
[paragraph, [88.0, 55.0, 469.0, 18.0], shoonya_0sJLDIMO24ALYA, 6491590]
[paragraph, [88.0, 73.0, 469.0, 18.0], shoonya_0sJLDIMO24ALYA, 6491590]
[paragraph, [88.0, 91.0, 469.0, 18.0], shoonya_0sJLDIMO24ALYA, 6491590]
[paragraph, [88.0, 109.0, 469.0, 18.0], shoonya_0sJLDIMO24ALYA, 6491590]
[paragraph, [88.0, 127.0, 469.0, 18.0], shoonya_0sJLDIMO24ALYA, 6491590]
[paragraph, [88.0, 145.0, 469.0, 18.0], shoonya_0sJLDIMO24ALYA, 6491590]
[paragraph, [88.0, 163.0, 469.0, 18.0], shoonya_0sJLDIMO24ALYA, 6491590]
[paragraph, [88.0, 181.0, 469.0, 18.0], shoonya_0sJLDIMO24ALYA, 6491590]
[paragraph, [88.0, 199.0, 469.0, 18.0], shoonya_0sJLDIMO24ALYA, 6491590]
[paragraph, [88.0, 217.0, 469.0, 18.0], shoonya_0sJLDIMO24ALYA, 6491590]
[paragraph, [88.0, 235.0, 469.0, 18.0], shoonya_0sJLDIMO24ALYA, 6491590]
[paragraph, [88.0, 253.0, 469.0, 18.0], shoonya_0sJLDIMO24ALYA, 6491590]
[paragraph, [88.0, 271.0, 469.0, 18.0], shoonya_0sJLDIMO24ALYA, 6491590]
[paragraph, [88.0, 289.0, 469.0, 18.0], shoonya_0sJLDIMO24ALYA, 6491590]
[paragraph, [88.0, 307.0, 469.0, 18.0], shoonya_0sJLDIMO24ALYA, 6491590]
[paragraph, [88.0, 325.0, 469.0, 18.0], shoonya_0sJLDIMO24ALYA, 6491590]
[paragraph, [89.0, 357.0, 481.0, 18.0], G4swL9OvGz, 6491590]
[paragraph, [89.0, 375.0, 481.0, 18.0], G4swL9OvGz, 6491590]
[paragraph, [89.0, 393.0, 481.0, 18.0], G4swL9OvGz, 6491590]
[paragraph, [89.0, 411.0, 481.0, 18.0], G4swL9OvGz, 6491590]
[paragraph, [89.0, 429.0, 481.0, 18.0], G4swL9OvGz, 6491590]
[paragraph, [89.0, 447.0, 481.0, 18.0], G4swL9OvGz, 6491590]
[paragraph, [89.0, 465.0, 481.0, 18.0], G4swL9OvGz, 6491590]
[paragraph, [89.0, 483.0, 481.0, 18.0], G4swL9OvGz, 6491590]
[paragraph, [89.0, 501.0, 481.0, 18.0], G4swL9OvGz, 6491590]
[paragraph, [282.0, 526.0, 79.0, 18.0], MwrHjaHiD8, 6491590]
[contact-info, [279.0, 607.0, 82.0, 18.0], BA34yaLExr, 6491590]
