[792, 524]
[folio, [186.0, 41.0, 112.0, 18.0], 7vroa74Cyy, 6513586]
[paragraph, [38.0, 73.0, 416.0, 18.0], shoonya_0sEK99VAQMXQS5, 6513586]
[paragraph, [38.0, 91.0, 416.0, 18.0], shoonya_0sEK99VAQMXQS5, 6513586]
[paragraph, [38.0, 109.0, 416.0, 18.0], shoonya_0sEK99VAQMXQS5, 6513586]
[paragraph, [38.0, 132.0, 430.0, 18.0], ea8ER_01Gc, 6513586]
[paragraph, [38.0, 150.0, 430.0, 18.0], ea8ER_01Gc, 6513586]
[paragraph, [38.0, 168.0, 430.0, 18.0], ea8ER_01Gc, 6513586]
[paragraph, [38.0, 186.0, 430.0, 18.0], ea8ER_01Gc, 6513586]
[paragraph, [38.0, 204.0, 430.0, 18.0], ea8ER_01Gc, 6513586]
[paragraph, [38.0, 222.0, 430.0, 18.0], ea8ER_01Gc, 6513586]
[paragraph, [38.0, 240.0, 430.0, 18.0], ea8ER_01Gc, 6513586]
[paragraph, [38.0, 258.0, 430.0, 18.0], ea8ER_01Gc, 6513586]
[paragraph, [38.0, 276.0, 430.0, 18.0], ea8ER_01Gc, 6513586]
[paragraph, [38.0, 294.0, 430.0, 18.0], ea8ER_01Gc, 6513586]
[paragraph, [38.0, 312.0, 430.0, 18.0], ea8ER_01Gc, 6513586]
[paragraph, [38.0, 330.0, 430.0, 18.0], ea8ER_01Gc, 6513586]
[paragraph, [38.0, 348.0, 430.0, 18.0], ea8ER_01Gc, 6513586]
[paragraph, [38.0, 366.0, 430.0, 18.0], ea8ER_01Gc, 6513586]
[paragraph, [38.0, 384.0, 430.0, 18.0], ea8ER_01Gc, 6513586]
[paragraph, [38.0, 402.0, 430.0, 18.0], ea8ER_01Gc, 6513586]
[paragraph, [38.0, 420.0, 430.0, 18.0], ea8ER_01Gc, 6513586]
[paragraph, [38.0, 438.0, 430.0, 18.0], ea8ER_01Gc, 6513586]
[paragraph, [38.0, 456.0, 430.0, 18.0], ea8ER_01Gc, 6513586]
[paragraph, [38.0, 474.0, 430.0, 18.0], ea8ER_01Gc, 6513586]
[paragraph, [38.0, 492.0, 430.0, 18.0], ea8ER_01Gc, 6513586]
[paragraph, [38.0, 510.0, 430.0, 18.0], ea8ER_01Gc, 6513586]
[paragraph, [38.0, 528.0, 430.0, 18.0], ea8ER_01Gc, 6513586]
[paragraph, [38.0, 546.0, 430.0, 18.0], ea8ER_01Gc, 6513586]
[paragraph, [38.0, 564.0, 430.0, 18.0], ea8ER_01Gc, 6513586]
[paragraph, [38.0, 582.0, 430.0, 18.0], ea8ER_01Gc, 6513586]
[paragraph, [38.0, 600.0, 430.0, 18.0], ea8ER_01Gc, 6513586]
[reference, [45.0, 635.0, 427.0, 18.0], PE35tru91U, 6513586]
[reference, [45.0, 653.0, 427.0, 18.0], PE35tru91U, 6513586]
[reference, [45.0, 671.0, 427.0, 18.0], PE35tru91U, 6513586]
[reference, [45.0, 689.0, 427.0, 18.0], PE35tru91U, 6513586]
[reference, [45.0, 707.0, 427.0, 18.0], PE35tru91U, 6513586]
[reference, [45.0, 725.0, 427.0, 18.0], PE35tru91U, 6513586]
