[1293, 837]
[folio, [70.0, 109.0, 109.0, 18.0], yFZwc4mbI3, 5774390]
[folio, [70.0, 127.0, 109.0, 18.0], yFZwc4mbI3, 5774390]
[ordered-list, [50.0, 251.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 269.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 287.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 305.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 323.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 341.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 359.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 377.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 395.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 413.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 431.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 449.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 467.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 485.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 503.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 521.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 539.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 557.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 575.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 593.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 611.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 629.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 647.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 665.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 683.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 701.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 719.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 737.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 755.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 773.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 791.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 809.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 827.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 845.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 863.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 881.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 899.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 917.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 935.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 953.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 971.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 989.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 1007.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 1025.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 1043.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 1061.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 1079.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 1097.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 1115.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 1133.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 1151.0, 696.0, 18.0], t52a1Z0byT, 5774390]
[ordered-list, [50.0, 1169.0, 696.0, 18.0], t52a1Z0byT, 5774390]
