[2200, 1700]
[folio, [99.0, 166.0, 106.0, 36.0], shoonya_12sFW3LO21O0C4, 5749460]
[chapter-title, [491.0, 346.0, 638.0, 70.5], shoonya_10s7QO8AOIMT4L, 5749460]
[paragraph, [100.0, 490.0, 808.0, 36.0], shoonya_2sQCQ7MD1ZF5KB, 5749460]
[paragraph, [100.0, 526.0, 808.0, 36.0], shoonya_2sQCQ7MD1ZF5KB, 5749460]
[paragraph, [100.0, 562.0, 808.0, 36.0], shoonya_2sQCQ7MD1ZF5KB, 5749460]
[paragraph, [100.0, 598.0, 808.0, 36.0], shoonya_2sQCQ7MD1ZF5KB, 5749460]
[paragraph, [100.0, 634.0, 808.0, 36.0], shoonya_2sQCQ7MD1ZF5KB, 5749460]
[paragraph, [100.0, 670.0, 808.0, 36.0], shoonya_2sQCQ7MD1ZF5KB, 5749460]
[paragraph, [100.0, 706.0, 808.0, 36.0], shoonya_2sQCQ7MD1ZF5KB, 5749460]
[paragraph, [103.0, 755.0, 805.0, 36.0], shoonya_3s2EKW07P5S5VJ, 5749460]
[paragraph, [103.0, 791.0, 805.0, 36.0], shoonya_3s2EKW07P5S5VJ, 5749460]
[paragraph, [103.0, 827.0, 805.0, 36.0], shoonya_3s2EKW07P5S5VJ, 5749460]
[paragraph, [103.0, 863.0, 805.0, 36.0], shoonya_3s2EKW07P5S5VJ, 5749460]
[paragraph, [103.0, 899.0, 805.0, 36.0], shoonya_3s2EKW07P5S5VJ, 5749460]
[paragraph, [103.0, 935.0, 805.0, 36.0], shoonya_3s2EKW07P5S5VJ, 5749460]
[paragraph, [103.0, 971.0, 805.0, 36.0], shoonya_3s2EKW07P5S5VJ, 5749460]
[paragraph, [100.0, 1021.0, 1429.0, 36.0], shoonya_4sS9QLACNTLQLE, 5749460]
[paragraph, [100.0, 1057.0, 1429.0, 36.0], shoonya_4sS9QLACNTLQLE, 5749460]
[paragraph, [100.0, 1093.0, 1429.0, 36.0], shoonya_4sS9QLACNTLQLE, 5749460]
[paragraph, [100.0, 1129.0, 1429.0, 36.0], shoonya_4sS9QLACNTLQLE, 5749460]
[paragraph, [100.0, 1165.0, 1429.0, 36.0], shoonya_4sS9QLACNTLQLE, 5749460]
[paragraph, [100.0, 1201.0, 1429.0, 36.0], shoonya_4sS9QLACNTLQLE, 5749460]
[paragraph, [100.0, 1237.0, 1429.0, 36.0], shoonya_4sS9QLACNTLQLE, 5749460]
[paragraph, [99.0, 1290.0, 1429.0, 36.0], shoonya_5sE5KHLMSHNIKL, 5749460]
[paragraph, [99.0, 1326.0, 1429.0, 36.0], shoonya_5sE5KHLMSHNIKL, 5749460]
[paragraph, [99.0, 1362.0, 1429.0, 36.0], shoonya_5sE5KHLMSHNIKL, 5749460]
[paragraph, [96.0, 1426.0, 1433.0, 36.0], shoonya_1sLTTQ76WRBI0K, 5749460]
[paragraph, [96.0, 1462.0, 1433.0, 36.0], shoonya_1sLTTQ76WRBI0K, 5749460]
[paragraph, [96.0, 1498.0, 1433.0, 36.0], shoonya_1sLTTQ76WRBI0K, 5749460]
[paragraph, [96.0, 1534.0, 1433.0, 36.0], shoonya_1sLTTQ76WRBI0K, 5749460]
[paragraph, [96.0, 1570.0, 1433.0, 36.0], shoonya_1sLTTQ76WRBI0K, 5749460]
[paragraph, [96.0, 1606.0, 1433.0, 36.0], shoonya_1sLTTQ76WRBI0K, 5749460]
[paragraph, [96.0, 1642.0, 1433.0, 36.0], shoonya_1sLTTQ76WRBI0K, 5749460]
[paragraph, [99.0, 1698.0, 1430.0, 36.0], shoonya_7sFZ3FMK0HMNK9, 5749460]
[paragraph, [99.0, 1734.0, 1430.0, 36.0], shoonya_7sFZ3FMK0HMNK9, 5749460]
[paragraph, [99.0, 1770.0, 1430.0, 36.0], shoonya_7sFZ3FMK0HMNK9, 5749460]
[paragraph, [98.0, 1837.0, 1433.0, 36.0], shoonya_8sZ5B9YGNWMSUS, 5749460]
[paragraph, [98.0, 1873.0, 1433.0, 36.0], shoonya_8sZ5B9YGNWMSUS, 5749460]
[paragraph, [98.0, 1909.0, 1433.0, 36.0], shoonya_8sZ5B9YGNWMSUS, 5749460]
