[766, 567]
[headline, [90.0, 63.0, 397.0, 25.5], shoonya_2s8VC5LCJ4XVR0, 5772233]
[sub-headline, [135.0, 110.0, 310.0, 25.5], YJATjdfVHz, 5772233]
[paragraph, [49.0, 137.0, 292.0, 18.0], shoonya_9sEF1WNHKNUTLQ, 5772233]
[paragraph, [49.0, 155.0, 292.0, 18.0], shoonya_9sEF1WNHKNUTLQ, 5772233]
[paragraph, [49.0, 173.0, 292.0, 18.0], shoonya_9sEF1WNHKNUTLQ, 5772233]
[paragraph, [49.0, 191.0, 292.0, 18.0], shoonya_9sEF1WNHKNUTLQ, 5772233]
[paragraph, [49.0, 209.0, 292.0, 18.0], shoonya_9sEF1WNHKNUTLQ, 5772233]
[paragraph, [49.0, 227.0, 292.0, 18.0], shoonya_9sEF1WNHKNUTLQ, 5772233]
[paragraph, [49.0, 245.0, 292.0, 18.0], shoonya_9sEF1WNHKNUTLQ, 5772233]
[paragraph, [49.0, 265.0, 281.0, 18.0], shoonya_6sGOADXSSIQPNV, 5772233]
[paragraph, [49.0, 283.0, 281.0, 18.0], shoonya_6sGOADXSSIQPNV, 5772233]
[paragraph, [49.0, 301.0, 281.0, 18.0], shoonya_6sGOADXSSIQPNV, 5772233]
[paragraph, [49.0, 319.0, 281.0, 18.0], shoonya_6sGOADXSSIQPNV, 5772233]
[paragraph, [49.0, 337.0, 281.0, 18.0], shoonya_6sGOADXSSIQPNV, 5772233]
[paragraph, [49.0, 355.0, 281.0, 18.0], shoonya_6sGOADXSSIQPNV, 5772233]
[paragraph, [339.0, 338.0, 197.0, 18.0], HMOGA_Fyj4, 5772233]
[paragraph, [339.0, 356.0, 197.0, 18.0], HMOGA_Fyj4, 5772233]
[paragraph, [339.0, 374.0, 197.0, 18.0], HMOGA_Fyj4, 5772233]
[paragraph, [339.0, 392.0, 197.0, 18.0], HMOGA_Fyj4, 5772233]
[paragraph, [339.0, 410.0, 197.0, 18.0], HMOGA_Fyj4, 5772233]
[paragraph, [49.0, 379.0, 282.0, 18.0], shoonya_5sUH5CETRGO180, 5772233]
[paragraph, [49.0, 397.0, 282.0, 18.0], shoonya_5sUH5CETRGO180, 5772233]
[paragraph, [49.0, 415.0, 282.0, 18.0], shoonya_5sUH5CETRGO180, 5772233]
[paragraph, [49.0, 433.0, 282.0, 18.0], shoonya_5sUH5CETRGO180, 5772233]
[paragraph, [49.0, 451.0, 282.0, 18.0], shoonya_5sUH5CETRGO180, 5772233]
[paragraph, [49.0, 469.0, 282.0, 18.0], shoonya_5sUH5CETRGO180, 5772233]
[paragraph, [49.0, 487.0, 282.0, 18.0], shoonya_5sUH5CETRGO180, 5772233]
[paragraph, [336.0, 437.0, 198.0, 18.0], shoonya_1sE3JG2DDQCE0G, 5772233]
[paragraph, [336.0, 455.0, 198.0, 18.0], shoonya_1sE3JG2DDQCE0G, 5772233]
[paragraph, [336.0, 473.0, 198.0, 18.0], shoonya_1sE3JG2DDQCE0G, 5772233]
[paragraph, [336.0, 491.0, 198.0, 18.0], shoonya_1sE3JG2DDQCE0G, 5772233]
[paragraph, [336.0, 509.0, 198.0, 18.0], shoonya_1sE3JG2DDQCE0G, 5772233]
[paragraph, [336.0, 527.0, 198.0, 18.0], shoonya_1sE3JG2DDQCE0G, 5772233]
[paragraph, [336.0, 545.0, 198.0, 18.0], shoonya_1sE3JG2DDQCE0G, 5772233]
[paragraph, [336.0, 563.0, 198.0, 18.0], shoonya_1sE3JG2DDQCE0G, 5772233]
[paragraph, [336.0, 581.0, 198.0, 18.0], shoonya_1sE3JG2DDQCE0G, 5772233]
[paragraph, [336.0, 599.0, 198.0, 18.0], shoonya_1sE3JG2DDQCE0G, 5772233]
[paragraph, [336.0, 617.0, 198.0, 18.0], shoonya_1sE3JG2DDQCE0G, 5772233]
[paragraph, [336.0, 635.0, 198.0, 18.0], shoonya_1sE3JG2DDQCE0G, 5772233]
[paragraph, [54.0, 520.0, 275.0, 18.0], shoonya_3sT3529IRK36XO, 5772233]
[paragraph, [54.0, 538.0, 275.0, 18.0], shoonya_3sT3529IRK36XO, 5772233]
[paragraph, [54.0, 556.0, 275.0, 18.0], shoonya_3sT3529IRK36XO, 5772233]
[paragraph, [54.0, 574.0, 275.0, 18.0], shoonya_3sT3529IRK36XO, 5772233]
[paragraph, [54.0, 592.0, 275.0, 18.0], shoonya_3sT3529IRK36XO, 5772233]
[paragraph, [50.0, 620.0, 280.0, 18.0], shoonya_8sO7UH1IA6ZV0R, 5772233]
[paragraph, [50.0, 638.0, 280.0, 18.0], shoonya_8sO7UH1IA6ZV0R, 5772233]
[paragraph, [50.0, 656.0, 280.0, 18.0], shoonya_8sO7UH1IA6ZV0R, 5772233]
[paragraph, [50.0, 674.0, 280.0, 18.0], shoonya_8sO7UH1IA6ZV0R, 5772233]
