[690, 512]
[folio, [197.0, 30.0, 110.0, 18.0], p_dZo5-tSp, 6491568]
[headline, [162.0, 63.0, 178.0, 25.5], tfFWflEIY_, 6491568]
[author, [355.0, 96.0, 70.0, 18.0], 3Mgh3hXNX2, 6491568]
[paragraph, [14.0, 123.0, 231.0, 18.0], shoonya_0s46ULPPX57QHV, 6491568]
[paragraph, [14.0, 141.0, 231.0, 18.0], shoonya_0s46ULPPX57QHV, 6491568]
[paragraph, [14.0, 159.0, 231.0, 18.0], shoonya_0s46ULPPX57QHV, 6491568]
[paragraph, [14.0, 177.0, 231.0, 18.0], shoonya_0s46ULPPX57QHV, 6491568]
[paragraph, [250.0, 124.0, 228.0, 18.0], gWpgs7TGLU, 6491568]
[paragraph, [250.0, 142.0, 228.0, 18.0], gWpgs7TGLU, 6491568]
[paragraph, [250.0, 160.0, 228.0, 18.0], gWpgs7TGLU, 6491568]
[paragraph, [250.0, 178.0, 228.0, 18.0], gWpgs7TGLU, 6491568]
[paragraph, [250.0, 196.0, 228.0, 18.0], gWpgs7TGLU, 6491568]
[paragraph, [250.0, 214.0, 228.0, 18.0], gWpgs7TGLU, 6491568]
[paragraph, [250.0, 232.0, 228.0, 18.0], gWpgs7TGLU, 6491568]
[paragraph, [250.0, 250.0, 228.0, 18.0], gWpgs7TGLU, 6491568]
[paragraph, [250.0, 268.0, 228.0, 18.0], gWpgs7TGLU, 6491568]
[paragraph, [250.0, 286.0, 228.0, 18.0], gWpgs7TGLU, 6491568]
[paragraph, [12.0, 211.0, 233.0, 18.0], lyj0Wmvyk6, 6491568]
[paragraph, [12.0, 229.0, 233.0, 18.0], lyj0Wmvyk6, 6491568]
[paragraph, [12.0, 247.0, 233.0, 18.0], lyj0Wmvyk6, 6491568]
[paragraph, [12.0, 265.0, 233.0, 18.0], lyj0Wmvyk6, 6491568]
[paragraph, [12.0, 283.0, 233.0, 18.0], lyj0Wmvyk6, 6491568]
[paragraph, [12.0, 301.0, 233.0, 18.0], lyj0Wmvyk6, 6491568]
[paragraph, [12.0, 319.0, 233.0, 18.0], lyj0Wmvyk6, 6491568]
[paragraph, [12.0, 337.0, 233.0, 18.0], lyj0Wmvyk6, 6491568]
[paragraph, [12.0, 355.0, 233.0, 18.0], lyj0Wmvyk6, 6491568]
[paragraph, [12.0, 373.0, 233.0, 18.0], lyj0Wmvyk6, 6491568]
[paragraph, [12.0, 391.0, 233.0, 18.0], lyj0Wmvyk6, 6491568]
[paragraph, [12.0, 409.0, 233.0, 18.0], lyj0Wmvyk6, 6491568]
[paragraph, [12.0, 427.0, 233.0, 18.0], lyj0Wmvyk6, 6491568]
[paragraph, [12.0, 445.0, 233.0, 18.0], lyj0Wmvyk6, 6491568]
[paragraph, [12.0, 463.0, 233.0, 18.0], lyj0Wmvyk6, 6491568]
[paragraph, [251.0, 313.0, 232.0, 18.0], LCEVI3aJ-b, 6491568]
[paragraph, [251.0, 331.0, 232.0, 18.0], LCEVI3aJ-b, 6491568]
[paragraph, [251.0, 349.0, 232.0, 18.0], LCEVI3aJ-b, 6491568]
[paragraph, [251.0, 367.0, 232.0, 18.0], LCEVI3aJ-b, 6491568]
[paragraph, [251.0, 385.0, 232.0, 18.0], LCEVI3aJ-b, 6491568]
[paragraph, [251.0, 403.0, 232.0, 18.0], LCEVI3aJ-b, 6491568]
[paragraph, [251.0, 421.0, 232.0, 18.0], LCEVI3aJ-b, 6491568]
[paragraph, [251.0, 439.0, 232.0, 18.0], LCEVI3aJ-b, 6491568]
[paragraph, [251.0, 457.0, 232.0, 18.0], LCEVI3aJ-b, 6491568]
[paragraph, [251.0, 475.0, 232.0, 18.0], LCEVI3aJ-b, 6491568]
[paragraph, [11.0, 498.0, 236.0, 18.0], qnZD8_wIat, 6491568]
[paragraph, [11.0, 516.0, 236.0, 18.0], qnZD8_wIat, 6491568]
[paragraph, [11.0, 534.0, 236.0, 18.0], qnZD8_wIat, 6491568]
[paragraph, [11.0, 552.0, 236.0, 18.0], qnZD8_wIat, 6491568]
[paragraph, [11.0, 570.0, 236.0, 18.0], qnZD8_wIat, 6491568]
[paragraph, [251.0, 498.0, 222.0, 18.0], Tvc3gqKp4k, 6491568]
[paragraph, [251.0, 516.0, 222.0, 18.0], Tvc3gqKp4k, 6491568]
[paragraph, [251.0, 534.0, 222.0, 18.0], Tvc3gqKp4k, 6491568]
[paragraph, [251.0, 552.0, 222.0, 18.0], Tvc3gqKp4k, 6491568]
[paragraph, [251.0, 570.0, 222.0, 18.0], Tvc3gqKp4k, 6491568]
[paragraph, [14.0, 599.0, 231.0, 18.0], sdj4HDi4jp, 6491568]
[paragraph, [251.0, 599.0, 224.0, 18.0], hXQO1-W3cn, 6491568]
