[1642, 1012]
[paragraph, [62.0, 120.0, 466.0, 36.0], shoonya_3sUNPNK5D4JAPI, 5654644]
[paragraph, [62.0, 156.0, 466.0, 36.0], shoonya_3sUNPNK5D4JAPI, 5654644]
[paragraph, [62.0, 192.0, 466.0, 36.0], shoonya_3sUNPNK5D4JAPI, 5654644]
[paragraph, [543.0, 131.0, 437.0, 36.0], shoonya_2sD8ID1RT4LSMK, 5654644]
[paragraph, [543.0, 167.0, 437.0, 36.0], shoonya_2sD8ID1RT4LSMK, 5654644]
[paragraph, [543.0, 203.0, 437.0, 36.0], shoonya_2sD8ID1RT4LSMK, 5654644]
[paragraph, [543.0, 239.0, 437.0, 36.0], shoonya_2sD8ID1RT4LSMK, 5654644]
[paragraph, [93.0, 238.0, 440.0, 36.0], VXAaSzczDK, 5654644]
[paragraph, [93.0, 274.0, 440.0, 36.0], VXAaSzczDK, 5654644]
[paragraph, [93.0, 310.0, 440.0, 36.0], VXAaSzczDK, 5654644]
[paragraph, [93.0, 346.0, 440.0, 36.0], VXAaSzczDK, 5654644]
[paragraph, [93.0, 382.0, 440.0, 36.0], VXAaSzczDK, 5654644]
[paragraph, [93.0, 418.0, 440.0, 36.0], VXAaSzczDK, 5654644]
[paragraph, [93.0, 454.0, 440.0, 36.0], VXAaSzczDK, 5654644]
[paragraph, [93.0, 490.0, 440.0, 36.0], VXAaSzczDK, 5654644]
[paragraph, [93.0, 526.0, 440.0, 36.0], VXAaSzczDK, 5654644]
[paragraph, [93.0, 562.0, 440.0, 36.0], VXAaSzczDK, 5654644]
[paragraph, [93.0, 598.0, 440.0, 36.0], VXAaSzczDK, 5654644]
[paragraph, [93.0, 634.0, 440.0, 36.0], VXAaSzczDK, 5654644]
[paragraph, [93.0, 670.0, 440.0, 36.0], VXAaSzczDK, 5654644]
[paragraph, [93.0, 706.0, 440.0, 36.0], VXAaSzczDK, 5654644]
[paragraph, [93.0, 742.0, 440.0, 36.0], VXAaSzczDK, 5654644]
[paragraph, [93.0, 778.0, 440.0, 36.0], VXAaSzczDK, 5654644]
[paragraph, [93.0, 814.0, 440.0, 36.0], VXAaSzczDK, 5654644]
[paragraph, [93.0, 850.0, 440.0, 36.0], VXAaSzczDK, 5654644]
[paragraph, [93.0, 886.0, 440.0, 36.0], VXAaSzczDK, 5654644]
[paragraph, [539.0, 293.0, 433.0, 36.0], SS9gitpDyx, 5654644]
[paragraph, [539.0, 329.0, 433.0, 36.0], SS9gitpDyx, 5654644]
[paragraph, [539.0, 365.0, 433.0, 36.0], SS9gitpDyx, 5654644]
[paragraph, [539.0, 401.0, 433.0, 36.0], SS9gitpDyx, 5654644]
[paragraph, [539.0, 437.0, 433.0, 36.0], SS9gitpDyx, 5654644]
[paragraph, [539.0, 473.0, 433.0, 36.0], SS9gitpDyx, 5654644]
[paragraph, [539.0, 509.0, 433.0, 36.0], SS9gitpDyx, 5654644]
[paragraph, [539.0, 545.0, 433.0, 36.0], SS9gitpDyx, 5654644]
[paragraph, [539.0, 581.0, 433.0, 36.0], SS9gitpDyx, 5654644]
[paragraph, [539.0, 617.0, 433.0, 36.0], SS9gitpDyx, 5654644]
[paragraph, [539.0, 653.0, 433.0, 36.0], SS9gitpDyx, 5654644]
[paragraph, [539.0, 689.0, 433.0, 36.0], SS9gitpDyx, 5654644]
[paragraph, [539.0, 725.0, 433.0, 36.0], SS9gitpDyx, 5654644]
[paragraph, [539.0, 761.0, 433.0, 36.0], SS9gitpDyx, 5654644]
[paragraph, [539.0, 797.0, 433.0, 36.0], SS9gitpDyx, 5654644]
[paragraph, [539.0, 833.0, 433.0, 36.0], SS9gitpDyx, 5654644]
[paragraph, [539.0, 869.0, 433.0, 36.0], SS9gitpDyx, 5654644]
