[1754, 1241]
[paragraph, [212.0, 144.0, 896.0, 36.0], shoonya_0sPS1PUSG9HZ8T, 6470979]
[paragraph, [212.0, 180.0, 896.0, 36.0], shoonya_0sPS1PUSG9HZ8T, 6470979]
[paragraph, [212.0, 216.0, 896.0, 36.0], shoonya_0sPS1PUSG9HZ8T, 6470979]
[paragraph, [212.0, 252.0, 896.0, 36.0], shoonya_0sPS1PUSG9HZ8T, 6470979]
[paragraph, [212.0, 288.0, 896.0, 36.0], shoonya_0sPS1PUSG9HZ8T, 6470979]
[paragraph, [212.0, 324.0, 896.0, 36.0], shoonya_0sPS1PUSG9HZ8T, 6470979]
[paragraph, [212.0, 360.0, 896.0, 36.0], shoonya_0sPS1PUSG9HZ8T, 6470979]
[paragraph, [212.0, 396.0, 896.0, 36.0], shoonya_0sPS1PUSG9HZ8T, 6470979]
[paragraph, [212.0, 432.0, 896.0, 36.0], shoonya_0sPS1PUSG9HZ8T, 6470979]
[paragraph, [212.0, 468.0, 896.0, 36.0], shoonya_0sPS1PUSG9HZ8T, 6470979]
[paragraph, [212.0, 504.0, 896.0, 36.0], shoonya_0sPS1PUSG9HZ8T, 6470979]
[paragraph, [212.0, 540.0, 896.0, 36.0], shoonya_0sPS1PUSG9HZ8T, 6470979]
[paragraph, [212.0, 576.0, 896.0, 36.0], shoonya_0sPS1PUSG9HZ8T, 6470979]
