[850, 612]
[folio, [294.0, 123.0, 89.0, 18.0], 2rfNG19Y_x, 6460009]
[paragraph, [171.0, 157.0, 331.0, 18.0], shoonya_0sHWQ2JIYPFO15, 6460009]
[paragraph, [171.0, 175.0, 331.0, 18.0], shoonya_0sHWQ2JIYPFO15, 6460009]
[paragraph, [171.0, 193.0, 331.0, 18.0], shoonya_0sHWQ2JIYPFO15, 6460009]
[paragraph, [171.0, 211.0, 331.0, 18.0], shoonya_0sHWQ2JIYPFO15, 6460009]
[paragraph, [171.0, 229.0, 331.0, 18.0], shoonya_0sHWQ2JIYPFO15, 6460009]
[paragraph, [171.0, 247.0, 331.0, 18.0], shoonya_0sHWQ2JIYPFO15, 6460009]
[paragraph, [171.0, 265.0, 331.0, 18.0], shoonya_0sHWQ2JIYPFO15, 6460009]
[paragraph, [171.0, 283.0, 331.0, 18.0], shoonya_0sHWQ2JIYPFO15, 6460009]
[paragraph, [171.0, 301.0, 331.0, 18.0], shoonya_0sHWQ2JIYPFO15, 6460009]
[paragraph, [171.0, 319.0, 331.0, 18.0], shoonya_0sHWQ2JIYPFO15, 6460009]
[paragraph, [171.0, 337.0, 331.0, 18.0], shoonya_0sHWQ2JIYPFO15, 6460009]
[paragraph, [171.0, 355.0, 331.0, 18.0], shoonya_0sHWQ2JIYPFO15, 6460009]
[paragraph, [172.0, 376.0, 330.0, 18.0], A4wHXaUj_k, 6460009]
[paragraph, [172.0, 394.0, 330.0, 18.0], A4wHXaUj_k, 6460009]
[paragraph, [172.0, 412.0, 330.0, 18.0], A4wHXaUj_k, 6460009]
[paragraph, [172.0, 430.0, 330.0, 18.0], A4wHXaUj_k, 6460009]
[paragraph, [172.0, 448.0, 330.0, 18.0], A4wHXaUj_k, 6460009]
[paragraph, [172.0, 466.0, 330.0, 18.0], A4wHXaUj_k, 6460009]
[paragraph, [172.0, 484.0, 330.0, 18.0], A4wHXaUj_k, 6460009]
[paragraph, [172.0, 502.0, 330.0, 18.0], A4wHXaUj_k, 6460009]
[paragraph, [172.0, 520.0, 330.0, 18.0], A4wHXaUj_k, 6460009]
[paragraph, [172.0, 538.0, 330.0, 18.0], A4wHXaUj_k, 6460009]
[paragraph, [172.0, 556.0, 330.0, 18.0], A4wHXaUj_k, 6460009]
[paragraph, [172.0, 574.0, 330.0, 18.0], A4wHXaUj_k, 6460009]
[paragraph, [172.0, 592.0, 330.0, 18.0], A4wHXaUj_k, 6460009]
[paragraph, [172.0, 610.0, 330.0, 18.0], A4wHXaUj_k, 6460009]
[paragraph, [172.0, 628.0, 330.0, 18.0], A4wHXaUj_k, 6460009]
[paragraph, [172.0, 646.0, 330.0, 18.0], A4wHXaUj_k, 6460009]
[paragraph, [172.0, 664.0, 330.0, 18.0], A4wHXaUj_k, 6460009]
[paragraph, [172.0, 682.0, 330.0, 18.0], A4wHXaUj_k, 6460009]
