[792, 612]
[section-title, [316.0, 252.0, 154.0, 30.0], shoonya_5sV5D8JIRTZD3P, 6515967]
[author, [242.0, 302.0, 64.0, 18.0], shoonya_1sKGN86WTSU0C3, 6515967]
[paragraph, [244.0, 335.0, 285.0, 18.0], shoonya_7sGMU9T8148Y2J, 6515967]
[paragraph, [244.0, 353.0, 285.0, 18.0], shoonya_7sGMU9T8148Y2J, 6515967]
[paragraph, [244.0, 371.0, 285.0, 18.0], shoonya_7sGMU9T8148Y2J, 6515967]
[paragraph, [244.0, 389.0, 285.0, 18.0], shoonya_7sGMU9T8148Y2J, 6515967]
[paragraph, [244.0, 407.0, 285.0, 18.0], shoonya_7sGMU9T8148Y2J, 6515967]
[paragraph, [231.0, 443.0, 150.0, 18.0], shoonya_2sS1L9J5HGUOPW, 6515967]
[paragraph, [231.0, 461.0, 150.0, 18.0], shoonya_2sS1L9J5HGUOPW, 6515967]
[paragraph, [231.0, 479.0, 150.0, 18.0], shoonya_2sS1L9J5HGUOPW, 6515967]
[paragraph, [231.0, 497.0, 150.0, 18.0], shoonya_2sS1L9J5HGUOPW, 6515967]
[paragraph, [231.0, 515.0, 150.0, 18.0], shoonya_2sS1L9J5HGUOPW, 6515967]
[paragraph, [231.0, 533.0, 150.0, 18.0], shoonya_2sS1L9J5HGUOPW, 6515967]
[paragraph, [231.0, 551.0, 150.0, 18.0], shoonya_2sS1L9J5HGUOPW, 6515967]
[paragraph, [231.0, 569.0, 150.0, 18.0], shoonya_2sS1L9J5HGUOPW, 6515967]
[paragraph, [389.0, 444.0, 147.0, 18.0], shoonya_0sSWU3AI3GHPJM, 6515967]
[paragraph, [389.0, 462.0, 147.0, 18.0], shoonya_0sSWU3AI3GHPJM, 6515967]
[paragraph, [387.0, 488.0, 148.0, 18.0], 3z9eaEZOjK, 6515967]
[paragraph, [387.0, 506.0, 148.0, 18.0], 3z9eaEZOjK, 6515967]
[paragraph, [387.0, 524.0, 148.0, 18.0], 3z9eaEZOjK, 6515967]
[paragraph, [387.0, 542.0, 148.0, 18.0], 3z9eaEZOjK, 6515967]
[paragraph, [387.0, 560.0, 148.0, 18.0], 3z9eaEZOjK, 6515967]
[paragraph, [387.0, 578.0, 148.0, 18.0], 3z9eaEZOjK, 6515967]
[paragraph, [387.0, 596.0, 148.0, 18.0], 3z9eaEZOjK, 6515967]
[paragraph, [387.0, 614.0, 148.0, 18.0], 3z9eaEZOjK, 6515967]
[paragraph, [232.0, 590.0, 149.0, 18.0], shoonya_3sOE4M369THW2G, 6515967]
[paragraph, [232.0, 608.0, 149.0, 18.0], shoonya_3sOE4M369THW2G, 6515967]
