[1518, 1075]
[paragraph, [106.0, 172.0, 440.0, 36.0], shoonya_0sOLRUIOYQGC4L, 5722848]
[paragraph, [106.0, 208.0, 440.0, 36.0], shoonya_0sOLRUIOYQGC4L, 5722848]
[paragraph, [106.0, 244.0, 440.0, 36.0], shoonya_0sOLRUIOYQGC4L, 5722848]
[paragraph, [106.0, 280.0, 440.0, 36.0], shoonya_0sOLRUIOYQGC4L, 5722848]
[paragraph, [106.0, 316.0, 440.0, 36.0], shoonya_0sOLRUIOYQGC4L, 5722848]
[paragraph, [106.0, 352.0, 440.0, 36.0], shoonya_0sOLRUIOYQGC4L, 5722848]
[paragraph, [106.0, 388.0, 440.0, 36.0], shoonya_0sOLRUIOYQGC4L, 5722848]
[paragraph, [106.0, 424.0, 440.0, 36.0], shoonya_0sOLRUIOYQGC4L, 5722848]
[paragraph, [106.0, 460.0, 440.0, 36.0], shoonya_0sOLRUIOYQGC4L, 5722848]
[paragraph, [106.0, 496.0, 440.0, 36.0], shoonya_0sOLRUIOYQGC4L, 5722848]
[paragraph, [106.0, 532.0, 440.0, 36.0], shoonya_0sOLRUIOYQGC4L, 5722848]
[paragraph, [106.0, 568.0, 440.0, 36.0], shoonya_0sOLRUIOYQGC4L, 5722848]
[paragraph, [106.0, 604.0, 440.0, 36.0], shoonya_0sOLRUIOYQGC4L, 5722848]
[paragraph, [106.0, 640.0, 440.0, 36.0], shoonya_0sOLRUIOYQGC4L, 5722848]
[paragraph, [106.0, 676.0, 440.0, 36.0], shoonya_0sOLRUIOYQGC4L, 5722848]
[paragraph, [556.0, 173.0, 438.0, 36.0], Kj5Sz_BDQJ, 5722848]
[paragraph, [556.0, 209.0, 438.0, 36.0], Kj5Sz_BDQJ, 5722848]
[paragraph, [556.0, 245.0, 438.0, 36.0], Kj5Sz_BDQJ, 5722848]
[paragraph, [556.0, 281.0, 438.0, 36.0], Kj5Sz_BDQJ, 5722848]
[paragraph, [556.0, 317.0, 438.0, 36.0], Kj5Sz_BDQJ, 5722848]
[paragraph, [556.0, 353.0, 438.0, 36.0], Kj5Sz_BDQJ, 5722848]
[paragraph, [556.0, 389.0, 438.0, 36.0], Kj5Sz_BDQJ, 5722848]
[paragraph, [556.0, 425.0, 438.0, 36.0], Kj5Sz_BDQJ, 5722848]
[paragraph, [556.0, 461.0, 438.0, 36.0], Kj5Sz_BDQJ, 5722848]
[paragraph, [556.0, 497.0, 438.0, 36.0], Kj5Sz_BDQJ, 5722848]
[paragraph, [556.0, 533.0, 438.0, 36.0], Kj5Sz_BDQJ, 5722848]
[paragraph, [556.0, 569.0, 438.0, 36.0], Kj5Sz_BDQJ, 5722848]
[paragraph, [556.0, 605.0, 438.0, 36.0], Kj5Sz_BDQJ, 5722848]
[paragraph, [556.0, 641.0, 438.0, 36.0], Kj5Sz_BDQJ, 5722848]
[paragraph, [556.0, 677.0, 438.0, 36.0], Kj5Sz_BDQJ, 5722848]
[paragraph, [556.0, 713.0, 438.0, 36.0], Kj5Sz_BDQJ, 5722848]
[paragraph, [556.0, 749.0, 438.0, 36.0], Kj5Sz_BDQJ, 5722848]
[paragraph, [556.0, 785.0, 438.0, 36.0], Kj5Sz_BDQJ, 5722848]
[paragraph, [556.0, 821.0, 438.0, 36.0], Kj5Sz_BDQJ, 5722848]
[paragraph, [556.0, 857.0, 438.0, 36.0], Kj5Sz_BDQJ, 5722848]
[paragraph, [556.0, 893.0, 438.0, 36.0], Kj5Sz_BDQJ, 5722848]
[paragraph, [556.0, 929.0, 438.0, 36.0], Kj5Sz_BDQJ, 5722848]
[paragraph, [556.0, 965.0, 438.0, 36.0], Kj5Sz_BDQJ, 5722848]
[paragraph, [556.0, 1001.0, 438.0, 36.0], Kj5Sz_BDQJ, 5722848]
[paragraph, [102.0, 776.0, 446.0, 36.0], j19WEIKtvh, 5722848]
[paragraph, [102.0, 812.0, 446.0, 36.0], j19WEIKtvh, 5722848]
[paragraph, [102.0, 848.0, 446.0, 36.0], j19WEIKtvh, 5722848]
[paragraph, [102.0, 884.0, 446.0, 36.0], j19WEIKtvh, 5722848]
[paragraph, [102.0, 920.0, 446.0, 36.0], j19WEIKtvh, 5722848]
[paragraph, [102.0, 956.0, 446.0, 36.0], j19WEIKtvh, 5722848]
[paragraph, [102.0, 992.0, 446.0, 36.0], j19WEIKtvh, 5722848]
[paragraph, [102.0, 1028.0, 446.0, 36.0], j19WEIKtvh, 5722848]
[paragraph, [102.0, 1064.0, 446.0, 36.0], j19WEIKtvh, 5722848]
[paragraph, [102.0, 1100.0, 446.0, 36.0], j19WEIKtvh, 5722848]
[paragraph, [102.0, 1136.0, 446.0, 36.0], j19WEIKtvh, 5722848]
[paragraph, [102.0, 1172.0, 446.0, 36.0], j19WEIKtvh, 5722848]
[paragraph, [102.0, 1208.0, 446.0, 36.0], j19WEIKtvh, 5722848]
[paragraph, [102.0, 1244.0, 446.0, 36.0], j19WEIKtvh, 5722848]
[paragraph, [102.0, 1280.0, 446.0, 36.0], j19WEIKtvh, 5722848]
[paragraph, [554.0, 1068.0, 436.0, 36.0], BzsPWRTC1Q, 5722848]
[paragraph, [554.0, 1104.0, 436.0, 36.0], BzsPWRTC1Q, 5722848]
[paragraph, [554.0, 1140.0, 436.0, 36.0], BzsPWRTC1Q, 5722848]
[paragraph, [554.0, 1176.0, 436.0, 36.0], BzsPWRTC1Q, 5722848]
[paragraph, [554.0, 1212.0, 436.0, 36.0], BzsPWRTC1Q, 5722848]
[paragraph, [554.0, 1248.0, 436.0, 36.0], BzsPWRTC1Q, 5722848]
[paragraph, [554.0, 1284.0, 436.0, 36.0], BzsPWRTC1Q, 5722848]
