[1437, 878]
[folio, [375.0, 64.0, 173.0, 18.0], tGANpju00W, 5770012]
[folio, [375.0, 82.0, 173.0, 18.0], tGANpju00W, 5770012]
[folio, [375.0, 100.0, 173.0, 18.0], tGANpju00W, 5770012]
[paragraph, [73.0, 137.0, 363.0, 18.0], Rk3yN_xexx, 5770012]
[paragraph, [73.0, 155.0, 363.0, 18.0], Rk3yN_xexx, 5770012]
[paragraph, [73.0, 173.0, 363.0, 18.0], Rk3yN_xexx, 5770012]
[paragraph, [73.0, 191.0, 363.0, 18.0], Rk3yN_xexx, 5770012]
[paragraph, [73.0, 209.0, 363.0, 18.0], Rk3yN_xexx, 5770012]
[paragraph, [73.0, 227.0, 363.0, 18.0], Rk3yN_xexx, 5770012]
[paragraph, [73.0, 245.0, 363.0, 18.0], Rk3yN_xexx, 5770012]
[paragraph, [73.0, 263.0, 363.0, 18.0], Rk3yN_xexx, 5770012]
[paragraph, [73.0, 281.0, 363.0, 18.0], Rk3yN_xexx, 5770012]
[paragraph, [73.0, 299.0, 363.0, 18.0], Rk3yN_xexx, 5770012]
[paragraph, [73.0, 317.0, 363.0, 18.0], Rk3yN_xexx, 5770012]
[paragraph, [73.0, 335.0, 363.0, 18.0], Rk3yN_xexx, 5770012]
[section-title, [450.0, 139.0, 102.0, 30.0], xBHScmmZ-Q, 5770012]
[paragraph, [451.0, 172.0, 363.0, 18.0], tp7GgMcNNW, 5770012]
[paragraph, [451.0, 190.0, 363.0, 18.0], tp7GgMcNNW, 5770012]
[paragraph, [451.0, 208.0, 363.0, 18.0], tp7GgMcNNW, 5770012]
[paragraph, [451.0, 226.0, 363.0, 18.0], tp7GgMcNNW, 5770012]
[paragraph, [451.0, 244.0, 363.0, 18.0], tp7GgMcNNW, 5770012]
[paragraph, [451.0, 262.0, 363.0, 18.0], tp7GgMcNNW, 5770012]
[paragraph, [451.0, 280.0, 363.0, 18.0], tp7GgMcNNW, 5770012]
[paragraph, [451.0, 298.0, 363.0, 18.0], tp7GgMcNNW, 5770012]
[paragraph, [451.0, 316.0, 363.0, 18.0], tp7GgMcNNW, 5770012]
[paragraph, [451.0, 334.0, 363.0, 18.0], tp7GgMcNNW, 5770012]
[paragraph, [451.0, 352.0, 363.0, 18.0], tp7GgMcNNW, 5770012]
[paragraph, [451.0, 370.0, 363.0, 18.0], tp7GgMcNNW, 5770012]
[paragraph, [451.0, 388.0, 363.0, 18.0], tp7GgMcNNW, 5770012]
[paragraph, [451.0, 406.0, 363.0, 18.0], tp7GgMcNNW, 5770012]
[paragraph, [451.0, 424.0, 363.0, 18.0], tp7GgMcNNW, 5770012]
[paragraph, [451.0, 442.0, 363.0, 18.0], tp7GgMcNNW, 5770012]
[paragraph, [451.0, 460.0, 363.0, 18.0], tp7GgMcNNW, 5770012]
[paragraph, [451.0, 478.0, 363.0, 18.0], tp7GgMcNNW, 5770012]
[paragraph, [451.0, 496.0, 363.0, 18.0], tp7GgMcNNW, 5770012]
[paragraph, [451.0, 514.0, 363.0, 18.0], tp7GgMcNNW, 5770012]
[paragraph, [451.0, 532.0, 363.0, 18.0], tp7GgMcNNW, 5770012]
[paragraph, [451.0, 550.0, 363.0, 18.0], tp7GgMcNNW, 5770012]
[paragraph, [451.0, 568.0, 363.0, 18.0], tp7GgMcNNW, 5770012]
[paragraph, [451.0, 586.0, 363.0, 18.0], tp7GgMcNNW, 5770012]
[paragraph, [76.0, 367.0, 358.0, 18.0], shoonya_0sT923ZFRGAOI2, 5770012]
[paragraph, [76.0, 385.0, 358.0, 18.0], shoonya_0sT923ZFRGAOI2, 5770012]
[paragraph, [76.0, 403.0, 358.0, 18.0], shoonya_0sT923ZFRGAOI2, 5770012]
[paragraph, [76.0, 421.0, 358.0, 18.0], shoonya_0sT923ZFRGAOI2, 5770012]
[paragraph, [76.0, 439.0, 358.0, 18.0], shoonya_0sT923ZFRGAOI2, 5770012]
[paragraph, [76.0, 457.0, 358.0, 18.0], shoonya_0sT923ZFRGAOI2, 5770012]
[paragraph, [76.0, 475.0, 358.0, 18.0], shoonya_0sT923ZFRGAOI2, 5770012]
[paragraph, [76.0, 493.0, 358.0, 18.0], shoonya_0sT923ZFRGAOI2, 5770012]
[paragraph, [76.0, 511.0, 358.0, 18.0], shoonya_0sT923ZFRGAOI2, 5770012]
[paragraph, [76.0, 529.0, 358.0, 18.0], shoonya_0sT923ZFRGAOI2, 5770012]
[paragraph, [76.0, 547.0, 358.0, 18.0], shoonya_0sT923ZFRGAOI2, 5770012]
[paragraph, [76.0, 565.0, 358.0, 18.0], shoonya_0sT923ZFRGAOI2, 5770012]
