[2200, 1700]
[section-title, [219.0, 365.0, 625.0, 52.5], vY2E5OpaQj, 5685589]
[paragraph, [206.0, 472.0, 1295.0, 36.0], 3DvQQaUC9k, 5685589]
[paragraph, [206.0, 508.0, 1295.0, 36.0], 3DvQQaUC9k, 5685589]
[paragraph, [206.0, 544.0, 1295.0, 36.0], 3DvQQaUC9k, 5685589]
[paragraph, [206.0, 580.0, 1295.0, 36.0], 3DvQQaUC9k, 5685589]
[paragraph, [206.0, 616.0, 1295.0, 36.0], 3DvQQaUC9k, 5685589]
[paragraph, [206.0, 652.0, 1295.0, 36.0], 3DvQQaUC9k, 5685589]
[paragraph, [206.0, 688.0, 1295.0, 36.0], 3DvQQaUC9k, 5685589]
[paragraph, [206.0, 724.0, 1295.0, 36.0], 3DvQQaUC9k, 5685589]
[reference, [199.0, 1954.0, 1307.0, 36.0], shoonya_2sVULA4QMPEC9A, 5685589]
[reference, [199.0, 1990.0, 1307.0, 36.0], shoonya_2sVULA4QMPEC9A, 5685589]
