[1650, 1000]
[chapter-title, [106.0, 143.0, 804.0, 58.5], shoonya_1s6I1KFGTWLPGQ, 5732655]
[paragraph, [84.0, 221.0, 847.0, 36.0], shoonya_0sG6YYAVN2M3GO, 5732655]
[paragraph, [84.0, 257.0, 847.0, 36.0], shoonya_0sG6YYAVN2M3GO, 5732655]
[paragraph, [84.0, 293.0, 847.0, 36.0], shoonya_0sG6YYAVN2M3GO, 5732655]
[paragraph, [84.0, 329.0, 847.0, 36.0], shoonya_0sG6YYAVN2M3GO, 5732655]
[paragraph, [84.0, 365.0, 847.0, 36.0], shoonya_0sG6YYAVN2M3GO, 5732655]
[paragraph, [84.0, 401.0, 847.0, 36.0], shoonya_0sG6YYAVN2M3GO, 5732655]
[paragraph, [84.0, 437.0, 847.0, 36.0], shoonya_0sG6YYAVN2M3GO, 5732655]
[paragraph, [84.0, 473.0, 847.0, 36.0], shoonya_0sG6YYAVN2M3GO, 5732655]
[paragraph, [84.0, 509.0, 847.0, 36.0], shoonya_0sG6YYAVN2M3GO, 5732655]
[paragraph, [84.0, 545.0, 847.0, 36.0], shoonya_0sG6YYAVN2M3GO, 5732655]
[paragraph, [84.0, 581.0, 847.0, 36.0], shoonya_0sG6YYAVN2M3GO, 5732655]
[paragraph, [84.0, 617.0, 847.0, 36.0], shoonya_0sG6YYAVN2M3GO, 5732655]
[paragraph, [84.0, 653.0, 847.0, 36.0], shoonya_0sG6YYAVN2M3GO, 5732655]
[paragraph, [84.0, 689.0, 847.0, 36.0], shoonya_0sG6YYAVN2M3GO, 5732655]
[paragraph, [77.0, 757.0, 618.0, 36.0], shoonya_3sCHTUOW97ZRTN, 5732655]
[ordered-list, [75.0, 813.0, 854.0, 36.0], PinMH0XIk7, 5732655]
[ordered-list, [75.0, 849.0, 854.0, 36.0], PinMH0XIk7, 5732655]
[ordered-list, [75.0, 885.0, 854.0, 36.0], PinMH0XIk7, 5732655]
[ordered-list, [75.0, 921.0, 854.0, 36.0], PinMH0XIk7, 5732655]
[ordered-list, [75.0, 957.0, 854.0, 36.0], PinMH0XIk7, 5732655]
[ordered-list, [75.0, 993.0, 854.0, 36.0], PinMH0XIk7, 5732655]
[ordered-list, [75.0, 1029.0, 854.0, 36.0], PinMH0XIk7, 5732655]
[ordered-list, [75.0, 1065.0, 854.0, 36.0], PinMH0XIk7, 5732655]
[ordered-list, [75.0, 1101.0, 854.0, 36.0], PinMH0XIk7, 5732655]
[ordered-list, [75.0, 1137.0, 854.0, 36.0], PinMH0XIk7, 5732655]
[ordered-list, [75.0, 1173.0, 854.0, 36.0], PinMH0XIk7, 5732655]
[ordered-list, [75.0, 1209.0, 854.0, 36.0], PinMH0XIk7, 5732655]
[ordered-list, [75.0, 1245.0, 854.0, 36.0], PinMH0XIk7, 5732655]
[ordered-list, [75.0, 1281.0, 854.0, 36.0], PinMH0XIk7, 5732655]
[ordered-list, [75.0, 1317.0, 854.0, 36.0], PinMH0XIk7, 5732655]
[ordered-list, [75.0, 1353.0, 854.0, 36.0], PinMH0XIk7, 5732655]
[ordered-list, [75.0, 1389.0, 854.0, 36.0], PinMH0XIk7, 5732655]
[ordered-list, [75.0, 1425.0, 854.0, 36.0], PinMH0XIk7, 5732655]
[ordered-list, [75.0, 1461.0, 854.0, 36.0], PinMH0XIk7, 5732655]
