[670, 443]
[folio, [160.0, 51.0, 94.0, 18.0], SpIlX7mtun, 6463613]
[paragraph, [47.0, 87.0, 324.0, 18.0], shoonya_0s2OVTYSMSCOVD, 6463613]
[paragraph, [47.0, 105.0, 324.0, 18.0], shoonya_0s2OVTYSMSCOVD, 6463613]
[paragraph, [47.0, 123.0, 324.0, 18.0], shoonya_0s2OVTYSMSCOVD, 6463613]
[paragraph, [47.0, 141.0, 324.0, 18.0], shoonya_0s2OVTYSMSCOVD, 6463613]
[paragraph, [47.0, 159.0, 324.0, 18.0], shoonya_0s2OVTYSMSCOVD, 6463613]
[paragraph, [47.0, 177.0, 324.0, 18.0], shoonya_0s2OVTYSMSCOVD, 6463613]
[paragraph, [47.0, 195.0, 324.0, 18.0], shoonya_0s2OVTYSMSCOVD, 6463613]
[paragraph, [47.0, 213.0, 324.0, 18.0], shoonya_0s2OVTYSMSCOVD, 6463613]
[paragraph, [47.0, 231.0, 324.0, 18.0], shoonya_0s2OVTYSMSCOVD, 6463613]
[paragraph, [47.0, 249.0, 324.0, 18.0], shoonya_0s2OVTYSMSCOVD, 6463613]
[paragraph, [47.0, 267.0, 324.0, 18.0], shoonya_0s2OVTYSMSCOVD, 6463613]
[paragraph, [47.0, 285.0, 324.0, 18.0], shoonya_0s2OVTYSMSCOVD, 6463613]
[paragraph, [47.0, 303.0, 324.0, 18.0], shoonya_0s2OVTYSMSCOVD, 6463613]
[paragraph, [47.0, 321.0, 324.0, 18.0], shoonya_0s2OVTYSMSCOVD, 6463613]
[paragraph, [47.0, 339.0, 324.0, 18.0], shoonya_0s2OVTYSMSCOVD, 6463613]
[paragraph, [47.0, 357.0, 324.0, 18.0], shoonya_0s2OVTYSMSCOVD, 6463613]
[paragraph, [47.0, 375.0, 324.0, 18.0], shoonya_0s2OVTYSMSCOVD, 6463613]
[paragraph, [47.0, 393.0, 324.0, 18.0], shoonya_0s2OVTYSMSCOVD, 6463613]
[paragraph, [47.0, 411.0, 324.0, 18.0], shoonya_0s2OVTYSMSCOVD, 6463613]
[paragraph, [47.0, 429.0, 324.0, 18.0], shoonya_0s2OVTYSMSCOVD, 6463613]
[paragraph, [47.0, 447.0, 324.0, 18.0], shoonya_0s2OVTYSMSCOVD, 6463613]
[paragraph, [47.0, 465.0, 324.0, 18.0], shoonya_0s2OVTYSMSCOVD, 6463613]
[paragraph, [47.0, 483.0, 324.0, 18.0], shoonya_0s2OVTYSMSCOVD, 6463613]
[paragraph, [47.0, 501.0, 324.0, 18.0], shoonya_0s2OVTYSMSCOVD, 6463613]
[paragraph, [47.0, 519.0, 324.0, 18.0], shoonya_0s2OVTYSMSCOVD, 6463613]
[paragraph, [47.0, 537.0, 324.0, 18.0], shoonya_0s2OVTYSMSCOVD, 6463613]
[paragraph, [47.0, 555.0, 324.0, 18.0], shoonya_0s2OVTYSMSCOVD, 6463613]
[footnote, [79.0, 637.0, 275.0, 18.0], shoonya_1sPV6UYWGOE52H, 6463613]
