[789, 571]
[folio, [230.0, 50.0, 122.0, 18.0], shoonya_1s9334LUKD78QF, 5701576]
[paragraph, [46.0, 86.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 104.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 122.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 140.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 158.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 176.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 194.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 212.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 230.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 248.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 266.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 284.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 302.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 320.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 338.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 356.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 374.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 392.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 410.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 428.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 446.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 464.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 482.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 500.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 518.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 536.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 554.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 572.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 590.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 608.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 626.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 644.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 662.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 680.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
[paragraph, [46.0, 698.0, 460.0, 18.0], shoonya_0s8SZDG6CHBXPH, 5701576]
