[3835, 2318]
[paragraph, [74.0, 378.0, 2178.0, 52.5], shoonya_0sTEGQHVYQZNCM, 5720734]
[paragraph, [74.0, 430.5, 2178.0, 52.5], shoonya_0sTEGQHVYQZNCM, 5720734]
[paragraph, [74.0, 483.0, 2178.0, 52.5], shoonya_0sTEGQHVYQZNCM, 5720734]
[paragraph, [74.0, 535.5, 2178.0, 52.5], shoonya_0sTEGQHVYQZNCM, 5720734]
[paragraph, [74.0, 588.0, 2178.0, 52.5], shoonya_0sTEGQHVYQZNCM, 5720734]
[paragraph, [74.0, 640.5, 2178.0, 52.5], shoonya_0sTEGQHVYQZNCM, 5720734]
[paragraph, [74.0, 693.0, 2178.0, 52.5], shoonya_0sTEGQHVYQZNCM, 5720734]
[paragraph, [74.0, 745.5, 2178.0, 52.5], shoonya_0sTEGQHVYQZNCM, 5720734]
[paragraph, [74.0, 798.0, 2178.0, 52.5], shoonya_0sTEGQHVYQZNCM, 5720734]
[paragraph, [74.0, 850.5, 2178.0, 52.5], shoonya_0sTEGQHVYQZNCM, 5720734]
[paragraph, [74.0, 903.0, 2178.0, 52.5], shoonya_0sTEGQHVYQZNCM, 5720734]
[paragraph, [74.0, 955.5, 2178.0, 52.5], shoonya_0sTEGQHVYQZNCM, 5720734]
[paragraph, [74.0, 1008.0, 2178.0, 52.5], shoonya_0sTEGQHVYQZNCM, 5720734]
[paragraph, [72.0, 1099.0, 2184.0, 52.5], _hXWLGvIE1, 5720734]
[paragraph, [72.0, 1151.5, 2184.0, 52.5], _hXWLGvIE1, 5720734]
[paragraph, [72.0, 1204.0, 2184.0, 52.5], _hXWLGvIE1, 5720734]
[paragraph, [72.0, 1256.5, 2184.0, 52.5], _hXWLGvIE1, 5720734]
[paragraph, [72.0, 1309.0, 2184.0, 52.5], _hXWLGvIE1, 5720734]
[paragraph, [72.0, 1361.5, 2184.0, 52.5], _hXWLGvIE1, 5720734]
[paragraph, [72.0, 1414.0, 2184.0, 52.5], _hXWLGvIE1, 5720734]
[paragraph, [72.0, 1466.5, 2184.0, 52.5], _hXWLGvIE1, 5720734]
[paragraph, [72.0, 1519.0, 2184.0, 52.5], _hXWLGvIE1, 5720734]
[paragraph, [72.0, 1571.5, 2184.0, 52.5], _hXWLGvIE1, 5720734]
[paragraph, [72.0, 1624.0, 2184.0, 52.5], _hXWLGvIE1, 5720734]
[paragraph, [72.0, 1676.5, 2184.0, 52.5], _hXWLGvIE1, 5720734]
[paragraph, [72.0, 1729.0, 2184.0, 52.5], _hXWLGvIE1, 5720734]
[paragraph, [72.0, 1781.5, 2184.0, 52.5], _hXWLGvIE1, 5720734]
[paragraph, [72.0, 1834.0, 2184.0, 52.5], _hXWLGvIE1, 5720734]
[section-title, [874.0, 2403.0, 617.0, 93.0], shoonya_2s32HKRBOK4DBA, 5720734]
[paragraph, [107.0, 2636.0, 2175.0, 52.5], uaGZkVAjrq, 5720734]
[paragraph, [107.0, 2688.5, 2175.0, 52.5], uaGZkVAjrq, 5720734]
[paragraph, [107.0, 2741.0, 2175.0, 52.5], uaGZkVAjrq, 5720734]
[paragraph, [107.0, 2793.5, 2175.0, 52.5], uaGZkVAjrq, 5720734]
[paragraph, [107.0, 2846.0, 2175.0, 52.5], uaGZkVAjrq, 5720734]
[paragraph, [107.0, 2898.5, 2175.0, 52.5], uaGZkVAjrq, 5720734]
[paragraph, [107.0, 2951.0, 2175.0, 52.5], uaGZkVAjrq, 5720734]
[paragraph, [107.0, 3003.5, 2175.0, 52.5], uaGZkVAjrq, 5720734]
[paragraph, [107.0, 3056.0, 2175.0, 52.5], uaGZkVAjrq, 5720734]
[paragraph, [107.0, 3108.5, 2175.0, 52.5], uaGZkVAjrq, 5720734]
[paragraph, [107.0, 3161.0, 2175.0, 52.5], uaGZkVAjrq, 5720734]
[paragraph, [107.0, 3213.5, 2175.0, 52.5], uaGZkVAjrq, 5720734]
[paragraph, [107.0, 3266.0, 2175.0, 52.5], uaGZkVAjrq, 5720734]
[paragraph, [107.0, 3318.5, 2175.0, 52.5], uaGZkVAjrq, 5720734]
[paragraph, [101.0, 3402.0, 2187.0, 52.5], XYKK4BXCix, 5720734]
[paragraph, [101.0, 3454.5, 2187.0, 52.5], XYKK4BXCix, 5720734]
[paragraph, [101.0, 3507.0, 2187.0, 52.5], XYKK4BXCix, 5720734]
[paragraph, [101.0, 3559.5, 2187.0, 52.5], XYKK4BXCix, 5720734]
[paragraph, [101.0, 3612.0, 2187.0, 52.5], XYKK4BXCix, 5720734]
