[2000, 1414]
[sidebar, [67.0, 95.0, 941.0, 36.0], shoonya_5sF3DZK0N5Y4YA, 6534204]
[sidebar, [67.0, 131.0, 941.0, 36.0], shoonya_5sF3DZK0N5Y4YA, 6534204]
[sidebar, [67.0, 167.0, 941.0, 36.0], shoonya_5sF3DZK0N5Y4YA, 6534204]
[sidebar, [67.0, 203.0, 941.0, 36.0], shoonya_5sF3DZK0N5Y4YA, 6534204]
[sidebar, [67.0, 239.0, 941.0, 36.0], shoonya_5sF3DZK0N5Y4YA, 6534204]
[sidebar, [67.0, 275.0, 941.0, 36.0], shoonya_5sF3DZK0N5Y4YA, 6534204]
[sidebar, [67.0, 311.0, 941.0, 36.0], shoonya_5sF3DZK0N5Y4YA, 6534204]
[sidebar, [67.0, 347.0, 941.0, 36.0], shoonya_5sF3DZK0N5Y4YA, 6534204]
[paragraph, [709.0, 1262.0, 296.0, 36.0], H3y6E-SoOj, 6534204]
[paragraph, [709.0, 1298.0, 296.0, 36.0], H3y6E-SoOj, 6534204]
[paragraph, [709.0, 1334.0, 296.0, 36.0], H3y6E-SoOj, 6534204]
[paragraph, [709.0, 1370.0, 296.0, 36.0], H3y6E-SoOj, 6534204]
[paragraph, [709.0, 1406.0, 296.0, 36.0], H3y6E-SoOj, 6534204]
[paragraph, [709.0, 1442.0, 296.0, 36.0], H3y6E-SoOj, 6534204]
[paragraph, [709.0, 1478.0, 296.0, 36.0], H3y6E-SoOj, 6534204]
[paragraph, [709.0, 1514.0, 296.0, 36.0], H3y6E-SoOj, 6534204]
[paragraph, [709.0, 1550.0, 296.0, 36.0], H3y6E-SoOj, 6534204]
[paragraph, [709.0, 1586.0, 296.0, 36.0], H3y6E-SoOj, 6534204]
[paragraph, [709.0, 1622.0, 296.0, 36.0], H3y6E-SoOj, 6534204]
[paragraph, [709.0, 1658.0, 296.0, 36.0], H3y6E-SoOj, 6534204]
[paragraph, [709.0, 1694.0, 296.0, 36.0], H3y6E-SoOj, 6534204]
[paragraph, [709.0, 1730.0, 296.0, 36.0], H3y6E-SoOj, 6534204]
[paragraph, [1043.0, 1263.0, 291.0, 36.0], 7IV4qBVCD_, 6534204]
[paragraph, [1043.0, 1299.0, 291.0, 36.0], 7IV4qBVCD_, 6534204]
[paragraph, [1043.0, 1335.0, 291.0, 36.0], 7IV4qBVCD_, 6534204]
[paragraph, [1043.0, 1371.0, 291.0, 36.0], 7IV4qBVCD_, 6534204]
[paragraph, [1043.0, 1407.0, 291.0, 36.0], 7IV4qBVCD_, 6534204]
[paragraph, [1043.0, 1443.0, 291.0, 36.0], 7IV4qBVCD_, 6534204]
[paragraph, [1043.0, 1479.0, 291.0, 36.0], 7IV4qBVCD_, 6534204]
[paragraph, [1043.0, 1515.0, 291.0, 36.0], 7IV4qBVCD_, 6534204]
[paragraph, [1043.0, 1551.0, 291.0, 36.0], 7IV4qBVCD_, 6534204]
[paragraph, [1043.0, 1587.0, 291.0, 36.0], 7IV4qBVCD_, 6534204]
[paragraph, [1043.0, 1623.0, 291.0, 36.0], 7IV4qBVCD_, 6534204]
[paragraph, [1043.0, 1659.0, 291.0, 36.0], 7IV4qBVCD_, 6534204]
[paragraph, [1043.0, 1695.0, 291.0, 36.0], 7IV4qBVCD_, 6534204]
[paragraph, [1043.0, 1731.0, 291.0, 36.0], 7IV4qBVCD_, 6534204]
[paragraph, [1043.0, 1767.0, 291.0, 36.0], 7IV4qBVCD_, 6534204]
[paragraph, [69.0, 1507.0, 296.0, 36.0], shoonya_0s1X4YA4A6L4H0, 6534204]
[paragraph, [69.0, 1543.0, 296.0, 36.0], shoonya_0s1X4YA4A6L4H0, 6534204]
[paragraph, [69.0, 1579.0, 296.0, 36.0], shoonya_0s1X4YA4A6L4H0, 6534204]
[paragraph, [69.0, 1615.0, 296.0, 36.0], shoonya_0s1X4YA4A6L4H0, 6534204]
[paragraph, [69.0, 1651.0, 296.0, 36.0], shoonya_0s1X4YA4A6L4H0, 6534204]
[paragraph, [69.0, 1687.0, 296.0, 36.0], shoonya_0s1X4YA4A6L4H0, 6534204]
[paragraph, [69.0, 1723.0, 296.0, 36.0], shoonya_0s1X4YA4A6L4H0, 6534204]
[paragraph, [69.0, 1759.0, 296.0, 36.0], shoonya_0s1X4YA4A6L4H0, 6534204]
[paragraph, [69.0, 1795.0, 296.0, 36.0], shoonya_0s1X4YA4A6L4H0, 6534204]
[paragraph, [397.0, 1507.0, 296.0, 36.0], C7fUXrvUZF, 6534204]
[paragraph, [397.0, 1543.0, 296.0, 36.0], C7fUXrvUZF, 6534204]
[paragraph, [397.0, 1579.0, 296.0, 36.0], C7fUXrvUZF, 6534204]
[paragraph, [397.0, 1615.0, 296.0, 36.0], C7fUXrvUZF, 6534204]
[paragraph, [397.0, 1651.0, 296.0, 36.0], C7fUXrvUZF, 6534204]
[paragraph, [397.0, 1687.0, 296.0, 36.0], C7fUXrvUZF, 6534204]
[paragraph, [397.0, 1723.0, 296.0, 36.0], C7fUXrvUZF, 6534204]
[paragraph, [397.0, 1759.0, 296.0, 36.0], C7fUXrvUZF, 6534204]
[paragraph, [397.0, 1795.0, 296.0, 36.0], C7fUXrvUZF, 6534204]
