[1787, 1218]
[paragraph, [111.0, 99.0, 999.0, 36.0], shoonya_1sZQQ8DVF05KRN, 5650966]
[paragraph, [111.0, 135.0, 999.0, 36.0], shoonya_1sZQQ8DVF05KRN, 5650966]
[paragraph, [111.0, 171.0, 999.0, 36.0], shoonya_1sZQQ8DVF05KRN, 5650966]
[paragraph, [111.0, 207.0, 999.0, 36.0], shoonya_1sZQQ8DVF05KRN, 5650966]
[paragraph, [111.0, 250.0, 995.0, 36.0], shoonya_0s2U8RIW82IT6Q, 5650966]
[paragraph, [111.0, 286.0, 995.0, 36.0], shoonya_0s2U8RIW82IT6Q, 5650966]
[paragraph, [111.0, 322.0, 995.0, 36.0], shoonya_0s2U8RIW82IT6Q, 5650966]
[paragraph, [111.0, 358.0, 995.0, 36.0], shoonya_0s2U8RIW82IT6Q, 5650966]
[paragraph, [111.0, 394.0, 995.0, 36.0], shoonya_0s2U8RIW82IT6Q, 5650966]
[paragraph, [111.0, 430.0, 995.0, 36.0], shoonya_0s2U8RIW82IT6Q, 5650966]
[paragraph, [111.0, 466.0, 995.0, 36.0], shoonya_0s2U8RIW82IT6Q, 5650966]
[paragraph, [103.0, 524.0, 1001.0, 36.0], shoonya_2sH1HH5CY3WW19, 5650966]
[paragraph, [103.0, 560.0, 1001.0, 36.0], shoonya_2sH1HH5CY3WW19, 5650966]
[paragraph, [103.0, 596.0, 1001.0, 36.0], shoonya_2sH1HH5CY3WW19, 5650966]
[paragraph, [102.0, 637.0, 1011.0, 36.0], shoonya_4sRXL1DSPAWS4X, 5650966]
[paragraph, [102.0, 673.0, 1011.0, 36.0], shoonya_4sRXL1DSPAWS4X, 5650966]
[paragraph, [102.0, 709.0, 1011.0, 36.0], shoonya_4sRXL1DSPAWS4X, 5650966]
[paragraph, [102.0, 745.0, 1011.0, 36.0], shoonya_4sRXL1DSPAWS4X, 5650966]
[paragraph, [102.0, 781.0, 1011.0, 36.0], shoonya_4sRXL1DSPAWS4X, 5650966]
[paragraph, [105.0, 835.0, 1002.0, 36.0], shoonya_3sKMGPTGHENT2H, 5650966]
[paragraph, [105.0, 871.0, 1002.0, 36.0], shoonya_3sKMGPTGHENT2H, 5650966]
[paragraph, [105.0, 907.0, 1002.0, 36.0], shoonya_3sKMGPTGHENT2H, 5650966]
[paragraph, [105.0, 943.0, 1002.0, 36.0], shoonya_3sKMGPTGHENT2H, 5650966]
[paragraph, [105.0, 979.0, 1002.0, 36.0], shoonya_3sKMGPTGHENT2H, 5650966]
[paragraph, [105.0, 1015.0, 1002.0, 36.0], shoonya_3sKMGPTGHENT2H, 5650966]
[paragraph, [105.0, 1051.0, 1002.0, 36.0], shoonya_3sKMGPTGHENT2H, 5650966]
[paragraph, [106.0, 1107.0, 1001.0, 36.0], wbOLCHba46, 5650966]
[paragraph, [106.0, 1143.0, 1001.0, 36.0], wbOLCHba46, 5650966]
[paragraph, [149.0, 1183.0, 595.0, 36.0], JMVjrXlbOo, 5650966]
[paragraph, [158.0, 1226.0, 779.0, 36.0], VQIdPGrmwu, 5650966]
[paragraph, [105.0, 1270.0, 1001.0, 36.0], Ew1KIvb5GM, 5650966]
[paragraph, [105.0, 1306.0, 1001.0, 36.0], Ew1KIvb5GM, 5650966]
[paragraph, [103.0, 1345.0, 1004.0, 36.0], 2WHrZMhKP8, 5650966]
[paragraph, [103.0, 1381.0, 1004.0, 36.0], 2WHrZMhKP8, 5650966]
[paragraph, [103.0, 1417.0, 1004.0, 36.0], 2WHrZMhKP8, 5650966]
[paragraph, [103.0, 1453.0, 1004.0, 36.0], 2WHrZMhKP8, 5650966]
[paragraph, [159.0, 1503.0, 548.0, 36.0], y_tYQqCZro, 5650966]
[paragraph, [156.0, 1541.0, 674.0, 36.0], DsJmukckHF, 5650966]
