[612, 792]
[paragraph, [86.0, 53.0, 628.0, 18.0], shoonya_0sM3BKZCQTEEIP, 6532743]
[paragraph, [86.0, 71.0, 628.0, 18.0], shoonya_0sM3BKZCQTEEIP, 6532743]
[paragraph, [86.0, 89.0, 628.0, 18.0], shoonya_0sM3BKZCQTEEIP, 6532743]
[paragraph, [86.0, 107.0, 628.0, 18.0], shoonya_0sM3BKZCQTEEIP, 6532743]
[paragraph, [86.0, 125.0, 628.0, 18.0], shoonya_0sM3BKZCQTEEIP, 6532743]
[paragraph, [86.0, 143.0, 628.0, 18.0], shoonya_0sM3BKZCQTEEIP, 6532743]
[paragraph, [86.0, 161.0, 628.0, 18.0], shoonya_0sM3BKZCQTEEIP, 6532743]
[paragraph, [86.0, 179.0, 628.0, 18.0], shoonya_0sM3BKZCQTEEIP, 6532743]
[paragraph, [86.0, 197.0, 628.0, 18.0], shoonya_0sM3BKZCQTEEIP, 6532743]
[paragraph, [86.0, 215.0, 628.0, 18.0], shoonya_0sM3BKZCQTEEIP, 6532743]
[paragraph, [88.0, 251.0, 625.0, 18.0], xz69j33YJA, 6532743]
[paragraph, [88.0, 269.0, 625.0, 18.0], xz69j33YJA, 6532743]
[paragraph, [88.0, 287.0, 625.0, 18.0], xz69j33YJA, 6532743]
[paragraph, [88.0, 305.0, 625.0, 18.0], xz69j33YJA, 6532743]
[paragraph, [88.0, 323.0, 625.0, 18.0], xz69j33YJA, 6532743]
[paragraph, [88.0, 341.0, 625.0, 18.0], xz69j33YJA, 6532743]
[paragraph, [88.0, 359.0, 625.0, 18.0], xz69j33YJA, 6532743]
[paragraph, [79.0, 390.0, 632.0, 18.0], 7GVvEDr1sl, 6532743]
[paragraph, [79.0, 408.0, 632.0, 18.0], 7GVvEDr1sl, 6532743]
[paragraph, [79.0, 426.0, 632.0, 18.0], 7GVvEDr1sl, 6532743]
[paragraph, [85.0, 470.0, 633.0, 18.0], ztT3940nza, 6532743]
[paragraph, [85.0, 488.0, 633.0, 18.0], ztT3940nza, 6532743]
[paragraph, [85.0, 506.0, 633.0, 18.0], ztT3940nza, 6532743]
