[1951, 1219]
[folio, [234.0, 116.0, 226.0, 36.0], E-Q6C15tPd, 5682543]
[paragraph, [106.0, 212.0, 990.0, 36.0], C7i8hRiQzn, 5682543]
[paragraph, [106.0, 248.0, 990.0, 36.0], C7i8hRiQzn, 5682543]
[paragraph, [106.0, 284.0, 990.0, 36.0], C7i8hRiQzn, 5682543]
[paragraph, [106.0, 320.0, 990.0, 36.0], C7i8hRiQzn, 5682543]
[paragraph, [106.0, 356.0, 990.0, 36.0], C7i8hRiQzn, 5682543]
[paragraph, [106.0, 392.0, 990.0, 36.0], C7i8hRiQzn, 5682543]
[paragraph, [106.0, 428.0, 990.0, 36.0], C7i8hRiQzn, 5682543]
[paragraph, [106.0, 464.0, 990.0, 36.0], C7i8hRiQzn, 5682543]
[paragraph, [102.0, 509.0, 994.0, 36.0], 5WbJfCIM1C, 5682543]
[paragraph, [102.0, 545.0, 994.0, 36.0], 5WbJfCIM1C, 5682543]
[paragraph, [102.0, 581.0, 994.0, 36.0], 5WbJfCIM1C, 5682543]
[paragraph, [102.0, 617.0, 994.0, 36.0], 5WbJfCIM1C, 5682543]
[paragraph, [100.0, 679.0, 996.0, 36.0], BFOeP1w6eh, 5682543]
[paragraph, [100.0, 715.0, 996.0, 36.0], BFOeP1w6eh, 5682543]
[paragraph, [98.0, 792.0, 1006.0, 36.0], ylcMSPbigS, 5682543]
[paragraph, [98.0, 828.0, 1006.0, 36.0], ylcMSPbigS, 5682543]
[paragraph, [98.0, 864.0, 1006.0, 36.0], ylcMSPbigS, 5682543]
[paragraph, [98.0, 900.0, 1006.0, 36.0], ylcMSPbigS, 5682543]
[paragraph, [98.0, 936.0, 1006.0, 36.0], ylcMSPbigS, 5682543]
[paragraph, [98.0, 972.0, 1006.0, 36.0], ylcMSPbigS, 5682543]
[paragraph, [98.0, 1008.0, 1006.0, 36.0], ylcMSPbigS, 5682543]
[paragraph, [98.0, 1044.0, 1006.0, 36.0], ylcMSPbigS, 5682543]
[paragraph, [98.0, 1080.0, 1006.0, 36.0], ylcMSPbigS, 5682543]
[paragraph, [98.0, 1116.0, 1006.0, 36.0], ylcMSPbigS, 5682543]
[paragraph, [98.0, 1152.0, 1006.0, 36.0], ylcMSPbigS, 5682543]
[paragraph, [98.0, 1188.0, 1006.0, 36.0], ylcMSPbigS, 5682543]
[paragraph, [98.0, 1255.0, 1004.0, 36.0], 9uTk3eQ086, 5682543]
[paragraph, [98.0, 1291.0, 1004.0, 36.0], 9uTk3eQ086, 5682543]
[paragraph, [98.0, 1327.0, 1004.0, 36.0], 9uTk3eQ086, 5682543]
[paragraph, [98.0, 1363.0, 1004.0, 36.0], 9uTk3eQ086, 5682543]
[paragraph, [98.0, 1399.0, 1004.0, 36.0], 9uTk3eQ086, 5682543]
[paragraph, [98.0, 1435.0, 1004.0, 36.0], 9uTk3eQ086, 5682543]
[paragraph, [98.0, 1471.0, 1004.0, 36.0], 9uTk3eQ086, 5682543]
[paragraph, [98.0, 1507.0, 1004.0, 36.0], 9uTk3eQ086, 5682543]
[paragraph, [98.0, 1543.0, 1004.0, 36.0], 9uTk3eQ086, 5682543]
[paragraph, [98.0, 1579.0, 1004.0, 36.0], 9uTk3eQ086, 5682543]
[paragraph, [98.0, 1615.0, 1004.0, 36.0], 9uTk3eQ086, 5682543]
[paragraph, [96.0, 1666.0, 1004.0, 36.0], mtAbCStT9x, 5682543]
[paragraph, [96.0, 1702.0, 1004.0, 36.0], mtAbCStT9x, 5682543]
[paragraph, [96.0, 1738.0, 1004.0, 36.0], mtAbCStT9x, 5682543]
[paragraph, [96.0, 1774.0, 1004.0, 36.0], mtAbCStT9x, 5682543]
