[2337, 1642]
[paragraph, [138.0, 140.0, 1359.0, 36.0], shoonya_2s1N8I2MVUF75J, 5753184]
[paragraph, [138.0, 176.0, 1359.0, 36.0], shoonya_2s1N8I2MVUF75J, 5753184]
[paragraph, [138.0, 212.0, 1359.0, 36.0], shoonya_2s1N8I2MVUF75J, 5753184]
[paragraph, [138.0, 248.0, 1359.0, 36.0], shoonya_2s1N8I2MVUF75J, 5753184]
[paragraph, [138.0, 284.0, 1359.0, 36.0], shoonya_2s1N8I2MVUF75J, 5753184]
[paragraph, [138.0, 320.0, 1359.0, 36.0], shoonya_2s1N8I2MVUF75J, 5753184]
[paragraph, [138.0, 356.0, 1359.0, 36.0], shoonya_2s1N8I2MVUF75J, 5753184]
[paragraph, [138.0, 392.0, 1359.0, 36.0], shoonya_2s1N8I2MVUF75J, 5753184]
[paragraph, [138.0, 428.0, 1359.0, 36.0], shoonya_2s1N8I2MVUF75J, 5753184]
[paragraph, [138.0, 464.0, 1359.0, 36.0], shoonya_2s1N8I2MVUF75J, 5753184]
[paragraph, [138.0, 500.0, 1359.0, 36.0], shoonya_2s1N8I2MVUF75J, 5753184]
[paragraph, [138.0, 536.0, 1359.0, 36.0], shoonya_2s1N8I2MVUF75J, 5753184]
[paragraph, [125.0, 613.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 649.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 685.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 721.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 757.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 793.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 829.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 865.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 901.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 937.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 973.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 1009.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 1045.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 1081.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 1117.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 1153.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 1189.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 1225.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 1261.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 1297.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 1333.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 1369.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 1405.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 1441.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 1477.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 1513.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 1549.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 1585.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 1621.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 1657.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 1693.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 1729.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 1765.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 1801.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 1837.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 1873.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 1909.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 1945.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 1981.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 2017.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[paragraph, [125.0, 2053.0, 1380.0, 36.0], shoonya_0sZO7UHZN84TKE, 5753184]
[website-link, [541.0, 2262.0, 561.0, 18.0], MryMbrEwxb, 5753184]
[website-link, [541.0, 2280.0, 561.0, 18.0], MryMbrEwxb, 5753184]
[website-link, [541.0, 2298.0, 561.0, 18.0], MryMbrEwxb, 5753184]
