[1650, 1275]
[paragraph, [240.0, 138.0, 861.0, 36.0], shoonya_1sTWYMC2E6ZL53, 6471182]
[paragraph, [240.0, 174.0, 861.0, 36.0], shoonya_1sTWYMC2E6ZL53, 6471182]
[paragraph, [240.0, 210.0, 861.0, 36.0], shoonya_1sTWYMC2E6ZL53, 6471182]
[paragraph, [240.0, 246.0, 861.0, 36.0], shoonya_1sTWYMC2E6ZL53, 6471182]
[paragraph, [240.0, 282.0, 861.0, 36.0], shoonya_1sTWYMC2E6ZL53, 6471182]
[paragraph, [240.0, 318.0, 861.0, 36.0], shoonya_1sTWYMC2E6ZL53, 6471182]
[paragraph, [240.0, 354.0, 861.0, 36.0], shoonya_1sTWYMC2E6ZL53, 6471182]
[paragraph, [240.0, 390.0, 861.0, 36.0], shoonya_1sTWYMC2E6ZL53, 6471182]
[paragraph, [240.0, 426.0, 861.0, 36.0], shoonya_1sTWYMC2E6ZL53, 6471182]
[paragraph, [240.0, 462.0, 861.0, 36.0], shoonya_1sTWYMC2E6ZL53, 6471182]
[paragraph, [240.0, 498.0, 861.0, 36.0], shoonya_1sTWYMC2E6ZL53, 6471182]
[paragraph, [240.0, 534.0, 861.0, 36.0], shoonya_1sTWYMC2E6ZL53, 6471182]
[paragraph, [240.0, 570.0, 861.0, 36.0], shoonya_1sTWYMC2E6ZL53, 6471182]
[paragraph, [240.0, 606.0, 861.0, 36.0], shoonya_1sTWYMC2E6ZL53, 6471182]
[paragraph, [238.0, 691.0, 864.0, 36.0], shoonya_0sDLX7VSKDPRHS, 6471182]
[paragraph, [238.0, 727.0, 864.0, 36.0], shoonya_0sDLX7VSKDPRHS, 6471182]
[paragraph, [238.0, 763.0, 864.0, 36.0], shoonya_0sDLX7VSKDPRHS, 6471182]
[paragraph, [238.0, 799.0, 864.0, 36.0], shoonya_0sDLX7VSKDPRHS, 6471182]
[paragraph, [238.0, 835.0, 864.0, 36.0], shoonya_0sDLX7VSKDPRHS, 6471182]
[paragraph, [238.0, 871.0, 864.0, 36.0], shoonya_0sDLX7VSKDPRHS, 6471182]
[paragraph, [238.0, 907.0, 864.0, 36.0], shoonya_0sDLX7VSKDPRHS, 6471182]
[paragraph, [238.0, 943.0, 864.0, 36.0], shoonya_0sDLX7VSKDPRHS, 6471182]
[paragraph, [238.0, 979.0, 864.0, 36.0], shoonya_0sDLX7VSKDPRHS, 6471182]
[paragraph, [238.0, 1015.0, 864.0, 36.0], shoonya_0sDLX7VSKDPRHS, 6471182]
[paragraph, [238.0, 1051.0, 864.0, 36.0], shoonya_0sDLX7VSKDPRHS, 6471182]
[paragraph, [238.0, 1087.0, 864.0, 36.0], shoonya_0sDLX7VSKDPRHS, 6471182]
[paragraph, [238.0, 1123.0, 864.0, 36.0], shoonya_0sDLX7VSKDPRHS, 6471182]
[paragraph, [238.0, 1159.0, 864.0, 36.0], shoonya_0sDLX7VSKDPRHS, 6471182]
[paragraph, [238.0, 1195.0, 864.0, 36.0], shoonya_0sDLX7VSKDPRHS, 6471182]
[paragraph, [238.0, 1231.0, 864.0, 36.0], shoonya_0sDLX7VSKDPRHS, 6471182]
[paragraph, [238.0, 1267.0, 864.0, 36.0], shoonya_0sDLX7VSKDPRHS, 6471182]
[paragraph, [238.0, 1303.0, 864.0, 36.0], shoonya_0sDLX7VSKDPRHS, 6471182]
[paragraph, [238.0, 1339.0, 864.0, 36.0], shoonya_0sDLX7VSKDPRHS, 6471182]
