[1755, 1240]
[paragraph, [249.0, 182.0, 822.0, 36.0], VUKbZ9kKq3, 5703840]
[paragraph, [249.0, 218.0, 822.0, 36.0], VUKbZ9kKq3, 5703840]
[paragraph, [249.0, 254.0, 822.0, 36.0], VUKbZ9kKq3, 5703840]
[paragraph, [249.0, 290.0, 822.0, 36.0], VUKbZ9kKq3, 5703840]
[paragraph, [252.0, 377.0, 815.0, 36.0], bgLUTXpf6d, 5703840]
[paragraph, [252.0, 413.0, 815.0, 36.0], bgLUTXpf6d, 5703840]
[paragraph, [252.0, 449.0, 815.0, 36.0], bgLUTXpf6d, 5703840]
[paragraph, [179.0, 521.0, 879.0, 36.0], shoonya_1sS4NKC4TB4OL8, 5703840]
[paragraph, [179.0, 557.0, 879.0, 36.0], shoonya_1sS4NKC4TB4OL8, 5703840]
[paragraph, [179.0, 593.0, 879.0, 36.0], shoonya_1sS4NKC4TB4OL8, 5703840]
[paragraph, [179.0, 629.0, 879.0, 36.0], shoonya_1sS4NKC4TB4OL8, 5703840]
[paragraph, [179.0, 665.0, 879.0, 36.0], shoonya_1sS4NKC4TB4OL8, 5703840]
[paragraph, [179.0, 701.0, 879.0, 36.0], shoonya_1sS4NKC4TB4OL8, 5703840]
[paragraph, [179.0, 737.0, 879.0, 36.0], shoonya_1sS4NKC4TB4OL8, 5703840]
[paragraph, [179.0, 773.0, 879.0, 36.0], shoonya_1sS4NKC4TB4OL8, 5703840]
[paragraph, [179.0, 809.0, 879.0, 36.0], shoonya_1sS4NKC4TB4OL8, 5703840]
[paragraph, [179.0, 845.0, 879.0, 36.0], shoonya_1sS4NKC4TB4OL8, 5703840]
[paragraph, [179.0, 881.0, 879.0, 36.0], shoonya_1sS4NKC4TB4OL8, 5703840]
[paragraph, [179.0, 917.0, 879.0, 36.0], shoonya_1sS4NKC4TB4OL8, 5703840]
[paragraph, [179.0, 953.0, 879.0, 36.0], shoonya_1sS4NKC4TB4OL8, 5703840]
[paragraph, [179.0, 989.0, 879.0, 36.0], shoonya_1sS4NKC4TB4OL8, 5703840]
[paragraph, [179.0, 1025.0, 879.0, 36.0], shoonya_1sS4NKC4TB4OL8, 5703840]
[paragraph, [179.0, 1061.0, 879.0, 36.0], shoonya_1sS4NKC4TB4OL8, 5703840]
[paragraph, [179.0, 1097.0, 879.0, 36.0], shoonya_1sS4NKC4TB4OL8, 5703840]
[paragraph, [179.0, 1169.0, 882.0, 36.0], shoonya_0s6U4BHSSIZGE2, 5703840]
[paragraph, [179.0, 1205.0, 882.0, 36.0], shoonya_0s6U4BHSSIZGE2, 5703840]
[paragraph, [179.0, 1241.0, 882.0, 36.0], shoonya_0s6U4BHSSIZGE2, 5703840]
[paragraph, [179.0, 1277.0, 882.0, 36.0], shoonya_0s6U4BHSSIZGE2, 5703840]
[paragraph, [179.0, 1313.0, 882.0, 36.0], shoonya_0s6U4BHSSIZGE2, 5703840]
[paragraph, [179.0, 1349.0, 882.0, 36.0], shoonya_0s6U4BHSSIZGE2, 5703840]
[paragraph, [179.0, 1385.0, 882.0, 36.0], shoonya_0s6U4BHSSIZGE2, 5703840]
[paragraph, [179.0, 1421.0, 882.0, 36.0], shoonya_0s6U4BHSSIZGE2, 5703840]
[paragraph, [179.0, 1457.0, 882.0, 36.0], shoonya_0s6U4BHSSIZGE2, 5703840]
[paragraph, [179.0, 1493.0, 882.0, 36.0], shoonya_0s6U4BHSSIZGE2, 5703840]
