[1650, 1275]
[paragraph, [137.0, 135.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 171.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 207.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 243.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 279.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 315.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 351.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 387.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 423.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 459.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 495.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 531.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 567.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 603.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 639.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 675.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 711.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 747.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 783.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 819.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 855.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 891.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 927.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 963.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 999.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 1035.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 1071.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 1107.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 1143.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 1179.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 1215.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 1251.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 1287.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 1323.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 1359.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 1395.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
[paragraph, [137.0, 1431.0, 998.0, 36.0], shoonya_0sJLV5LCOP2NYM, 5703729]
