[1754, 1241]
[paragraph, [153.0, 213.0, 921.0, 36.0], shoonya_1sNQTAHRE3KKL8, 5778443]
[paragraph, [153.0, 249.0, 921.0, 36.0], shoonya_1sNQTAHRE3KKL8, 5778443]
[paragraph, [153.0, 285.0, 921.0, 36.0], shoonya_1sNQTAHRE3KKL8, 5778443]
[paragraph, [153.0, 321.0, 921.0, 36.0], shoonya_1sNQTAHRE3KKL8, 5778443]
[paragraph, [153.0, 357.0, 921.0, 36.0], shoonya_1sNQTAHRE3KKL8, 5778443]
[paragraph, [153.0, 393.0, 921.0, 36.0], shoonya_1sNQTAHRE3KKL8, 5778443]
[paragraph, [153.0, 429.0, 921.0, 36.0], shoonya_1sNQTAHRE3KKL8, 5778443]
[paragraph, [153.0, 465.0, 921.0, 36.0], shoonya_1sNQTAHRE3KKL8, 5778443]
[paragraph, [153.0, 501.0, 921.0, 36.0], shoonya_1sNQTAHRE3KKL8, 5778443]
[paragraph, [153.0, 537.0, 921.0, 36.0], shoonya_1sNQTAHRE3KKL8, 5778443]
[paragraph, [153.0, 573.0, 921.0, 36.0], shoonya_1sNQTAHRE3KKL8, 5778443]
[paragraph, [153.0, 609.0, 921.0, 36.0], shoonya_1sNQTAHRE3KKL8, 5778443]
[paragraph, [153.0, 645.0, 921.0, 36.0], shoonya_1sNQTAHRE3KKL8, 5778443]
[paragraph, [153.0, 681.0, 921.0, 36.0], shoonya_1sNQTAHRE3KKL8, 5778443]
[paragraph, [153.0, 717.0, 921.0, 36.0], shoonya_1sNQTAHRE3KKL8, 5778443]
[paragraph, [153.0, 753.0, 921.0, 36.0], shoonya_1sNQTAHRE3KKL8, 5778443]
[paragraph, [153.0, 789.0, 921.0, 36.0], shoonya_1sNQTAHRE3KKL8, 5778443]
[paragraph, [153.0, 825.0, 921.0, 36.0], shoonya_1sNQTAHRE3KKL8, 5778443]
[paragraph, [153.0, 861.0, 921.0, 36.0], shoonya_1sNQTAHRE3KKL8, 5778443]
[paragraph, [153.0, 897.0, 921.0, 36.0], shoonya_1sNQTAHRE3KKL8, 5778443]
[paragraph, [153.0, 933.0, 921.0, 36.0], shoonya_1sNQTAHRE3KKL8, 5778443]
[paragraph, [153.0, 969.0, 921.0, 36.0], shoonya_1sNQTAHRE3KKL8, 5778443]
[paragraph, [153.0, 1005.0, 921.0, 36.0], shoonya_1sNQTAHRE3KKL8, 5778443]
[paragraph, [153.0, 1041.0, 921.0, 36.0], shoonya_1sNQTAHRE3KKL8, 5778443]
[paragraph, [153.0, 1077.0, 921.0, 36.0], shoonya_1sNQTAHRE3KKL8, 5778443]
[paragraph, [162.0, 1143.0, 928.0, 36.0], shoonya_0sNHUNJTKIHMN8, 5778443]
[paragraph, [162.0, 1179.0, 928.0, 36.0], shoonya_0sNHUNJTKIHMN8, 5778443]
[paragraph, [162.0, 1215.0, 928.0, 36.0], shoonya_0sNHUNJTKIHMN8, 5778443]
[paragraph, [162.0, 1251.0, 928.0, 36.0], shoonya_0sNHUNJTKIHMN8, 5778443]
[paragraph, [162.0, 1287.0, 928.0, 36.0], shoonya_0sNHUNJTKIHMN8, 5778443]
[paragraph, [162.0, 1323.0, 928.0, 36.0], shoonya_0sNHUNJTKIHMN8, 5778443]
[paragraph, [162.0, 1359.0, 928.0, 36.0], shoonya_0sNHUNJTKIHMN8, 5778443]
[paragraph, [162.0, 1395.0, 928.0, 36.0], shoonya_0sNHUNJTKIHMN8, 5778443]
[paragraph, [162.0, 1431.0, 928.0, 36.0], shoonya_0sNHUNJTKIHMN8, 5778443]
[paragraph, [162.0, 1467.0, 928.0, 36.0], shoonya_0sNHUNJTKIHMN8, 5778443]
