[2806, 1984]
[folio, [786.0, 188.0, 421.0, 46.5], cRNc2Dn-eV, 5699177]
[section-title, [716.0, 342.0, 545.0, 79.5], ohPRaTvCw7, 5699177]
[paragraph, [188.0, 477.0, 793.0, 46.5], XvkS-8x5-9, 5699177]
[answer, [222.0, 672.0, 810.0, 46.5], shoonya_3sKXSYTA5C3FYU, 5699177]
[answer, [200.0, 1002.0, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 1048.5, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 1095.0, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 1141.5, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 1188.0, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 1234.5, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 1281.0, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 1327.5, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 1374.0, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 1420.5, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 1467.0, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 1513.5, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 1560.0, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 1606.5, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 1653.0, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 1699.5, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 1746.0, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 1792.5, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 1839.0, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 1885.5, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 1932.0, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 1978.5, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 2025.0, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 2071.5, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 2118.0, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 2164.5, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 2211.0, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 2257.5, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 2304.0, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 2350.5, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 2397.0, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 2443.5, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 2490.0, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 2536.5, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[answer, [200.0, 2583.0, 1584.0, 46.5], 3OrNHIcKFI, 5699177]
[ordered-list, [215.0, 1172.0, 1561.0, 46.5], shoonya_0sUGRSFCP7PSDG, 5699177]
[ordered-list, [215.0, 1218.5, 1561.0, 46.5], shoonya_0sUGRSFCP7PSDG, 5699177]
[ordered-list, [215.0, 1265.0, 1561.0, 46.5], shoonya_0sUGRSFCP7PSDG, 5699177]
[ordered-list, [215.0, 1311.5, 1561.0, 46.5], shoonya_0sUGRSFCP7PSDG, 5699177]
[ordered-list, [215.0, 1358.0, 1561.0, 46.5], shoonya_0sUGRSFCP7PSDG, 5699177]
[ordered-list, [215.0, 1404.5, 1561.0, 46.5], shoonya_0sUGRSFCP7PSDG, 5699177]
[ordered-list, [215.0, 1451.0, 1561.0, 46.5], shoonya_0sUGRSFCP7PSDG, 5699177]
[ordered-list, [215.0, 1497.5, 1561.0, 46.5], shoonya_0sUGRSFCP7PSDG, 5699177]
[ordered-list, [215.0, 1544.0, 1561.0, 46.5], shoonya_0sUGRSFCP7PSDG, 5699177]
[ordered-list, [215.0, 1590.5, 1561.0, 46.5], shoonya_0sUGRSFCP7PSDG, 5699177]
[ordered-list, [215.0, 1637.0, 1561.0, 46.5], shoonya_0sUGRSFCP7PSDG, 5699177]
[ordered-list, [215.0, 1683.5, 1561.0, 46.5], shoonya_0sUGRSFCP7PSDG, 5699177]
[ordered-list, [215.0, 1730.0, 1561.0, 46.5], shoonya_0sUGRSFCP7PSDG, 5699177]
[ordered-list, [215.0, 1776.5, 1561.0, 46.5], shoonya_0sUGRSFCP7PSDG, 5699177]
[ordered-list, [215.0, 1823.0, 1561.0, 46.5], shoonya_0sUGRSFCP7PSDG, 5699177]
[ordered-list, [215.0, 1869.5, 1561.0, 46.5], shoonya_0sUGRSFCP7PSDG, 5699177]
[ordered-list, [215.0, 1916.0, 1561.0, 46.5], shoonya_0sUGRSFCP7PSDG, 5699177]
[ordered-list, [215.0, 1962.5, 1561.0, 46.5], shoonya_0sUGRSFCP7PSDG, 5699177]
[ordered-list, [215.0, 2009.0, 1561.0, 46.5], shoonya_0sUGRSFCP7PSDG, 5699177]
[ordered-list, [215.0, 2055.5, 1561.0, 46.5], shoonya_0sUGRSFCP7PSDG, 5699177]
[ordered-list, [215.0, 2102.0, 1561.0, 46.5], shoonya_0sUGRSFCP7PSDG, 5699177]
